v,Bakugo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Deku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Endeavor,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Hawks,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Shigaraki,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Veku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Akeno,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Rias,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kuneko,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jin Mori,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Unohana,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Range ,25.3,,Range ,46.2,56050,,,,Range ,22.0,,Range ,25.6,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,28.6,,Range ,44.0,56050,,,,Range ,18.7,,Range ,28.6,56050,,,,Range ,16.5,,Range ,23.1,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,17.6,,Range ,29.7,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,18.7,,Range ,27.5,56050,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.3,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,5.4,,SPA,4.1,56050,,,,SPA,5.4,,SPA,6.8,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,5.4,,SPA,9.0,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,7.2,,SPA,8.2,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,20101,,Damage,430747,56050,1384,88631.11111,,Damage,22887,,Damage,631767,56050,1618,111422.7556,,Damage,26501,,Damage,728957,56050,1392,134992,,Damage,15794,,Damage,227436,56050,1268,62396.74733,,Damage,29818,,Damage,357850,56050,1523,129591.6247,,Damage,6720,,Damage,96000,56050,941,19753.08642,,Damage,34459,,Damage,689194,56050,886,70904.69136,,Damage,22838,,Damage,315878,56050,749,38997.33333,,Damage,25838,,Damage,373176,56050,1130,51190.12346,,Damage,26508,,Damage,154628,56050,641,23862.39259,,Damage,17672,,Damage,242987,56050,945,54619.4083
,Range ,27.8,,Range ,50.8,56050,,,,Range ,24.2,,Range ,28.2,56050,,,,Range ,25.4,,Range ,39.9,56050,,,,Range ,31.5,,Range ,48.4,56050,,,,Range ,20.6,,Range ,31.5,56050,,,,Range ,18.2,,Range ,25.4,56050,,,,Range ,21.8,,Range ,38.7,56050,,,,Range ,18.2,,Range ,26.6,56050,,,,Range ,19.4,,Range ,32.7,56050,,,,Range ,18.2,,Range ,36.3,56050,,,,Range ,20.6,,Range ,30.3,56050,,
,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.9,,SPA,5.7,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,4.9,,SPA,3.6,56050,,,,SPA,4.9,,SPA,6.1,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,6.5,,SPA,9.7,56050,,,,SPA,4.9,,SPA,8.1,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,6.5,,SPA,6.7,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,6030,,Damage,129224,56050,415,106357.3333,,Damage,6866,,Damage,189530,56050,486,133707.3067,,Damage,7950,,Damage,218687,56050,418,121492.8,,Damage,4738,,Damage,68231,56050,380,74876.09679,,Damage,8945,,Damage,107355,56050,457,116632.4622,,Damage,2016,,Damage,28800,56050,282,29629.62963,,Damage,10338,,Damage,206758,56050,266,63814.22222,,Damage,6852,,Damage,94764,56050,225,35097.6,,Damage,7752,,Damage,111953,56050,339,76785.18519,,Damage,7952,,Damage,46388,56050,192,28634.87111,,Damage,5302,,Damage,72896,56050,256,44405.57895
,Range ,30.4,,Range ,55.4,56050,,,,Range ,26.4,,Range ,30.8,56050,,,,Range ,27.7,,Range ,43.6,56050,,,,Range ,34.3,,Range ,52.8,56050,,,,Range ,22.4,,Range ,34.3,56050,,,,Range ,19.8,,Range ,27.7,56050,,,,Range ,23.8,,Range ,42.2,56050,,,,Range ,19.8,,Range ,29.0,56050,,,,Range ,21.1,,Range ,35.6,56050,,,,Range ,19.8,,Range ,39.6,56050,,,,Range ,22.4,,Range ,33.0,56050,,
,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.9,,SPA,5.7,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,4.9,,SPA,3.6,56050,,,,SPA,4.9,,SPA,6.1,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,6.5,,SPA,9.7,56050,,,,SPA,4.9,,SPA,8.1,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,6.5,,SPA,7.4,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,5528,,Damage,118455,56050,411,105293.76,,Damage,6294,,Damage,173736,56050,481,132370.2336,,Damage,7288,,Damage,200463,56050,413,120277.872,,Damage,4343,,Damage,62545,56050,377,74127.33582,,Damage,8200,,Damage,98409,56050,452,115466.1376,,Damage,1848,,Damage,26400,56050,279,29333.33333,,Damage,9476,,Damage,189528,56050,263,63176.08,,Damage,6281,,Damage,86867,56050,223,34746.624,,Damage,7106,,Damage,102623,56050,336,76017.33333,,Damage,7290,,Damage,42523,56050,190,28348.5224,,Damage,4860,,Damage,66822,56050,254,43961.52316
,Range ,25.3,,Range ,50.8,56050,,,,Range ,22.0,,Range ,28.2,56050,,,,Range ,23.1,,Range ,39.9,56050,,,,Range ,28.6,,Range ,48.4,56050,,,,Range ,18.7,,Range ,31.5,56050,,,,Range ,16.5,,Range ,25.4,56050,,,,Range ,19.8,,Range ,38.7,56050,,,,Range ,16.5,,Range ,26.6,56050,,,,Range ,17.6,,Range ,32.7,56050,,,,Range ,16.5,,Range ,36.3,56050,,,,Range ,18.7,,Range ,30.3,56050,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.3,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,5.4,,SPA,4.1,56050,,,,SPA,5.4,,SPA,6.8,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,5.4,,SPA,9.0,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,7.2,,SPA,8.2,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,6533,,Damage,139993,56050,405,103698.4,,Damage,7438,,Damage,205324,56050,473,130364.624,,Damage,8613,,Damage,236911,56050,407,118455.48,,Damage,5133,,Damage,73917,56050,371,73004.19437,,Damage,9691,,Damage,116301,56050,445,113716.6507,,Damage,2184,,Damage,31200,56050,275,28888.88889,,Damage,11199,,Damage,223988,56050,259,62218.86667,,Damage,7422,,Damage,102660,56050,219,34220.16,,Damage,8397,,Damage,121282,56050,331,74865.55556,,Damage,8615,,Damage,50254,56050,187,27918.99933,,Damage,5743,,Damage,78971,56050,250,43295.43947
,Range ,25.3,,Range ,46.2,56050,,,,Range ,22.0,,Range ,25.6,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,28.6,,Range ,44.0,56050,,,,Range ,18.7,,Range ,28.6,56050,,,,Range ,16.5,,Range ,23.1,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,17.6,,Range ,29.7,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,18.7,,Range ,27.5,56050,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.3,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,5.4,,SPA,4.1,56050,,,,SPA,5.4,,SPA,6.8,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,5.4,,SPA,9.0,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,7.2,,SPA,8.2,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,5025,,Damage,107687,56050,389,99710,,Damage,5722,,Damage,157942,56050,455,125350.6,,Damage,6625,,Damage,182239,56050,391,113899.5,,Damage,3949,,Damage,56859,56050,357,70196.34074,,Damage,7454,,Damage,89462,56050,428,109342.9333,,Damage,1680,,Damage,24000,56050,265,27777.77778,,Damage,8615,,Damage,172298,56050,249,59825.83333,,Damage,5710,,Damage,78970,56050,211,32904,,Damage,6460,,Damage,93294,56050,318,71986.11111,,Damage,6627,,Damage,38657,56050,180,26845.19167,,Damage,4418,,Damage,60747,56050,240,41630.23026
,Range ,25.3,,Range ,46.2,56050,,,,Range ,22.0,,Range ,25.6,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,28.6,,Range ,44.0,56050,,,,Range ,18.7,,Range ,28.6,56050,,,,Range ,16.5,,Range ,23.1,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,17.6,,Range ,29.7,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,18.7,,Range ,27.5,56050,,
,SPA,5.0,,SPA,4.3,56050,,,,SPA,4.3,,SPA,5.0,56050,,,,SPA,5.8,,SPA,7.2,56050,,,,SPA,4.3,,SPA,3.2,56050,,,,SPA,4.3,,SPA,5.4,56050,,,,SPA,5.0,,SPA,4.3,56050,,,,SPA,5.8,,SPA,8.6,56050,,,,SPA,4.3,,SPA,7.2,56050,,,,SPA,5.0,,SPA,6.5,56050,,,,SPA,5.0,,SPA,5.8,56050,,,,SPA,5.8,,SPA,6.6,56050,,
,,,,Max Upgrade,,64050,,4,,,,,Max Upgrade,,68850,,4,,,,,Max Upgrade,,97000,,3,,,,,Max Upgrade,,49200,,4,,,,,Max Upgrade,,85100,,3,,,,,Max Upgrade,,21000,,5,,,,,Max Upgrade,,80000,,3,,,,,Max Upgrade,,52050,,3,,,,,Max Upgrade,,45300,,5,,,,,Max Upgrade,,37250,,4,,,,,Max Upgrade,,57800,,3
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,5025,,Damage,107687,56050,311,79768,,Damage,5722,,Damage,157942,56050,364,100280.48,,Damage,6625,,Damage,182239,56050,313,91119.6,,Damage,3949,,Damage,56859,56050,285,56157.07259,,Damage,7454,,Damage,89462,56050,343,87474.34667,,Damage,1680,,Damage,24000,56050,212,22222.22222,,Damage,8615,,Damage,172298,56050,199,47860.66667,,Damage,5710,,Damage,78970,56050,169,26323.2,,Damage,6460,,Damage,93294,56050,254,57588.88889,,Damage,6627,,Damage,38657,56050,144,21476.15333,,Damage,4418,,Damage,60747,56050,192,33304.18421
,Range ,31.6,,Range ,57.8,56050,,,,Range ,27.5,,Range ,32.0,56050,,,,Range ,28.9,,Range ,45.4,56050,,,,Range ,35.8,,Range ,55.0,56050,,,,Range ,23.4,,Range ,35.8,56050,,,,Range ,20.6,,Range ,28.9,56050,,,,Range ,24.8,,Range ,44.0,56050,,,,Range ,20.6,,Range ,30.3,56050,,,,Range ,22.0,,Range ,37.1,56050,,,,Range ,20.6,,Range ,41.3,56050,,,,Range ,23.4,,Range ,34.4,56050,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.3,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,5.4,,SPA,4.1,56050,,,,SPA,5.4,,SPA,6.8,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,5.4,,SPA,9.0,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,7.2,,SPA,8.2,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,5779,,Damage,123840,56050,358,91733.2,,Damage,6580,,Damage,181633,56050,419,115322.552,,Damage,7619,,Damage,209575,56050,360,104787.54,,Damage,4541,,Damage,65388,56050,328,64580.63348,,Damage,8573,,Damage,102882,56050,394,100595.4987,,Damage,1932,,Damage,27600,56050,243,25555.55556,,Damage,9907,,Damage,198143,56050,229,55039.76667,,Damage,6566,,Damage,90815,56050,194,30271.68,,Damage,7429,,Damage,107288,56050,292,66227.22222,,Damage,7621,,Damage,44456,56050,166,24697.57633,,Damage,5081,,Damage,69859,56050,221,38299.81184
,Range ,25.3,,Range ,46.2,56050,,,,Range ,22.0,,Range ,25.6,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,28.6,,Range ,44.0,56050,,,,Range ,18.7,,Range ,28.6,56050,,,,Range ,16.5,,Range ,23.1,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,17.6,,Range ,29.7,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,18.7,,Range ,27.5,56050,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.3,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,5.4,,SPA,4.1,56050,,,,SPA,5.4,,SPA,6.8,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,5.4,,SPA,9.0,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,7.2,,SPA,8.2,56050,,
,,,,,,64050,,4,,,,,,,68850,,4,,,,,,,97000,,3,,,,,,,49200,,4,,,,,,,85100,,3,,,,,,,21000,,5,,,,,,,80000,,3,,,,,,,52050,,3,,,,,,,45300,,5,,,,,,,37250,,4,,,,,,,57800,,3
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,5653,,Damage,121148,56050,350,89739,,Damage,6437,,Damage,177684,56050,410,112815.54,,Damage,7453,,Damage,205019,56050,352,102509.55,,Damage,4442,,Damage,63966,56050,321,63176.70667,,Damage,8386,,Damage,100645,56050,385,98408.64,,Damage,1890,,Damage,27000,56050,238,25000,,Damage,9692,,Damage,193836,56050,224,53843.25,,Damage,6423,,Damage,88841,56050,190,29613.6,,Damage,7267,,Damage,104956,56050,286,64787.5,,Damage,7455,,Damage,43489,56050,162,24160.6725,,Damage,4970,,Damage,68340,56050,216,37467.20724
,Range ,25.3,,Range ,46.2,56050,,,,Range ,22.0,,Range ,25.6,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,28.6,,Range ,44.0,56050,,,,Range ,18.7,,Range ,28.6,56050,,,,Range ,16.5,,Range ,23.1,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,17.6,,Range ,29.7,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,18.7,,Range ,27.5,56050,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.3,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,5.4,,SPA,4.1,56050,,,,SPA,5.4,,SPA,6.8,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,5.4,,SPA,9.0,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,7.2,,SPA,8.2,56050,,
