,Geto,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gojo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kent,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Megumi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sukuna,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yuta,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,3015,,Damage,76386,56050,195,45266.00462,,Damage,5384,,Damage,75381,56050,230,41878.49467,,Damage,2068,,Damage,43075,56050,161,39884.28889,,Damage,2929,,Damage,60305,56050,135,33502.794,,Damage,4307,,Damage,139993,56050,249,46664.28,,Damage,3231,,Damage,296158,56050,167,54844.13639
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,2319,,Damage,58759,56050,188,43525.00444,,Damage,4142,,Damage,57986,56050,221,40267.78333,,Damage,1590,,Damage,33135,56050,155,38350.27778,,Damage,2253,,Damage,46388,56050,130,32214.225,,Damage,3313,,Damage,107687,56050,239,44869.5,,Damage,2485,,Damage,227814,56050,161,52734.74653
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,4.7,,SPA,5.4,56050,,,,SPA,5.8,,SPA,4.3,56050,,,,SPA,5.0,,SPA,4.3,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.0,,SPA,7.2,56050,,,,SPA,4.3,,SPA,13.0,56050,,
,,,,Max Upgrade,,58000,,4,,,,,Max Upgrade,,60600,,3,,,,,Max Upgrade,,61950,,4,,,,,Max Upgrade,,61850,,4,,,,,Max Upgrade,,62500,,3,,,,,Max Upgrade,,109300,,3
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,2319,,Damage,58759,56050,150,34820.00356,,Damage,4142,,Damage,57986,56050,177,32214.22667,,Damage,1590,,Damage,33135,56050,124,30680.22222,,Damage,2253,,Damage,46388,56050,104,25771.38,,Damage,3313,,Damage,107687,56050,191,35895.6,,Damage,2485,,Damage,227814,56050,129,42187.79722
,Range ,27.5,,Range ,41.3,56050,,,,Range ,16.5,,Range ,55.0,56050,,,,Range ,23.4,,Range ,41.3,56050,,,,Range ,22.0,,Range ,31.6,56050,,,,Range ,24.8,,Range ,46.8,56050,,,,Range ,23.4,,Range ,75.6,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,2667,,Damage,67573,56050,173,40043.00409,,Damage,4763,,Damage,66683,56050,204,37046.36067,,Damage,1829,,Damage,38105,56050,142,35282.25556,,Damage,2591,,Damage,53347,56050,120,29637.087,,Damage,3810,,Damage,123840,56050,220,41279.94,,Damage,2858,,Damage,261986,56050,148,48515.96681
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,2609,,Damage,66104,56050,169,39172.504,,Damage,4660,,Damage,65234,56050,199,36241.005,,Damage,1789,,Damage,37276,56050,139,34515.25,,Damage,2535,,Damage,52187,56050,117,28992.8025,,Damage,3727,,Damage,121148,56050,215,40382.55,,Damage,2796,,Damage,256291,56050,145,47461.27188
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,2551,,Damage,64635,56050,165,38302.00391,,Damage,4556,,Damage,63784,56050,195,35435.64933,,Damage,1750,,Damage,36448,56050,136,33748.24444,,Damage,2478,,Damage,51027,56050,115,28348.518,,Damage,3644,,Damage,118455,56050,211,39485.16,,Damage,2734,,Damage,250596,56050,142,46406.57694
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,2319,,Damage,58759,56050,172,39794.28978,,Damage,4142,,Damage,57986,56050,203,36816.25905,,Damage,1590,,Damage,33135,56050,141,35063.11111,,Damage,2253,,Damage,46388,56050,119,29453.00571,,Damage,3313,,Damage,107687,56050,219,41023.54286,,Damage,2485,,Damage,227814,56050,147,48214.6254
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.1,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.7,56050,,,,SPA,5.5,,SPA,4.7,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.5,,SPA,7.9,56050,,,,SPA,4.7,,SPA,14.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,2319,,Damage,58759,56050,162,37643.24709,,Damage,4142,,Damage,57986,56050,192,34826.19099,,Damage,1590,,Damage,33135,56050,134,33167.80781,,Damage,2253,,Damage,46388,56050,113,27860.95135,,Damage,3313,,Damage,107687,56050,207,38806.05405,,Damage,2485,,Damage,227814,56050,139,45608.42943
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.4,,SPA,6.2,56050,,,,SPA,6.7,,SPA,5.0,56050,,,,SPA,5.8,,SPA,5.0,56050,,,,SPA,6.7,,SPA,6.7,56050,,,,SPA,5.8,,SPA,8.3,56050,,,,SPA,5.0,,SPA,15.0,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,2319,,Damage,58759,56050,158,36652.63532,,Damage,4142,,Damage,57986,56050,187,33909.71228,,Damage,1590,,Damage,33135,56050,130,32294.97076,,Damage,2253,,Damage,46388,56050,110,27127.76842,,Damage,3313,,Damage,107687,56050,202,37784.84211,,Damage,2485,,Damage,227814,56050,135,44408.2076
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.6,,SPA,6.4,56050,,,,SPA,6.8,,SPA,5.1,56050,,,,SPA,6.0,,SPA,5.1,56050,,,,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.0,,SPA,8.6,56050,,,,SPA,5.1,,SPA,15.4,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,2319,,Damage,58759,56050,150,34820.00356,,Damage,4142,,Damage,57986,56050,177,32214.22667,,Damage,1590,,Damage,33135,56050,124,30680.22222,,Damage,2253,,Damage,46388,56050,104,25771.38,,Damage,3313,,Damage,107687,56050,191,35895.6,,Damage,2485,,Damage,227814,56050,129,42187.79722
,Range ,25.3,,Range ,38.0,56050,,,,Range ,15.2,,Range ,50.6,56050,,,,Range ,21.5,,Range ,38.0,56050,,,,Range ,20.2,,Range ,29.1,56050,,,,Range ,22.8,,Range ,43.0,56050,,,,Range ,21.5,,Range ,69.6,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,2319,,Damage,58759,56050,150,34820.00356,,Damage,4142,,Damage,57986,56050,177,32214.22667,,Damage,1590,,Damage,33135,56050,124,30680.22222,,Damage,2253,,Damage,46388,56050,104,25771.38,,Damage,3313,,Damage,107687,56050,191,35895.6,,Damage,2485,,Damage,227814,56050,129,42187.79722
,Range ,24.8,,Range ,37.1,56050,,,,Range ,14.9,,Range ,49.5,56050,,,,Range ,21.0,,Range ,37.1,56050,,,,Range ,19.8,,Range ,28.5,56050,,,,Range ,22.3,,Range ,42.1,56050,,,,Range ,21.0,,Range ,68.1,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,2319,,Damage,58759,56050,150,34820.00356,,Damage,4142,,Damage,57986,56050,177,32214.22667,,Damage,1590,,Damage,33135,56050,124,30680.22222,,Damage,2253,,Damage,46388,56050,104,25771.38,,Damage,3313,,Damage,107687,56050,191,35895.6,,Damage,2485,,Damage,227814,56050,129,42187.79722
,Range ,24.2,,Range ,36.3,56050,,,,Range ,14.5,,Range ,48.4,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,19.4,,Range ,27.8,56050,,,,Range ,21.8,,Range ,41.1,56050,,,,Range ,20.6,,Range ,66.6,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Damage,16567,,Damage,231942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Range ,14.5,,Range ,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SPA,6.6,,SPA,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Limitless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,255136,,Buff,574056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,278330,,Buff,626243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,301525,,Buff,678430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,324719,,Buff,730617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,347913,,Buff,782804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6,371107,,Buff,834991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,394301,,Buff,887178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8,417496,,Buff,939365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9,440690,,Buff,991552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10,463884,,Buff,1043739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Divine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Damage,4970,,Damage,69583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Range ,15.8,,Range ,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SPA,6.5,,SPA,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
