v,Alucard,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Cid,,,True ,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Hidan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Caesar,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Hinami,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,SPA,7.3,,SPA,7.3,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,4.9,,SPA,5.3,56050,,,,SPA,9.7,,SPA,8.9,56050,,,,SPA,5.7,,SPA,5.7,56050,,,
,,,,Health,1855536,118000,58 MIL,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,18553,,Damage,556661,56050,647,229079,,Damage,27832,,Damage,463884,56050,531,171809,,Damage,7420,,Damage,139164,56050,663,165708.816,,Damage,6261,,Damage,143139,56050,371,74995.29479,,Damage,11926,,Damage,238569,56050,750,168303,
,Range ,26.4,,Range ,43.6,56050,,,,Range ,21.1,,Range ,46.2,56050,,,,Range ,25.1,,Range ,39.6,56050,,,,Range ,30.4,,Range ,39.6,56050,,,,Range ,26.4,,Range ,46.2,56050,,,
,SPA,7.3,,SPA,7.3,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,4.9,,SPA,5.3,56050,,,,SPA,9.7,,SPA,8.9,56050,,,,SPA,5.7,,SPA,5.7,56050,,,
,,,,Health,556661,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,17007,,Damage,510272,56050,641,226787.7333,,Damage,25513,,Damage,425227,56050,526,170090.976,,Damage,6802,,Damage,127567,56050,684,170940.3696,,Damage,5739,,Damage,131211,56050,311,62855.198,,Damage,10932,,Damage,218688,56050,743,166619.7029,
,Range ,22.0,,Range ,39.9,56050,,,,Range ,17.6,,Range ,42.4,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,22.0,,Range ,42.4,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,510272,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,20099,,Damage,603049,56050,631,223351.5556,,Damage,30152,,Damage,502542,56050,518,167513.84,,Damage,8039,,Damage,150762,56050,674,168350.364,,Damage,6783,,Damage,155067,56050,368,74283.41582,,Damage,12920,,Damage,258450,56050,731,164095.1619,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,603049,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,15461,,Damage,463884,56050,607,214761.1111,,Damage,23194,,Damage,386570,56050,498,161071,,Damage,6184,,Damage,115970,56050,596,148828.68,,Damage,5218,,Damage,119282,56050,343,69189.81636,,Damage,9938,,Damage,198808,56050,703,157783.8095,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.0,,SPA,7.2,56050,,,,SPA,4.3,,SPA,4.7,56050,,,,SPA,8.6,,SPA,7.9,56050,,,,SPA,5.0,,SPA,5.0,56050,,,
,,,,Health,463884,118000,,3,,,,,Max Upgrade,,107800,,3,,,,,Max Upgrade,,83250,,3,,,,,Max Upgrade,,50500,,4,,,,,Max Upgrade,,56100,,4,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,15461,,Damage,463884,56050,485,171808.8889,,Damage,23194,,Damage,386570,56050,398,128856.8,,Damage,6184,,Damage,115970,56050,519,129500.28,,Damage,5218,,Damage,119282,56050,283,57141.08909,,Damage,9938,,Damage,198808,56050,563,126227.0476,
,Range ,27.5,,Range ,45.4,56050,,,,Range ,22.0,,Range ,48.1,56050,,,,Range ,26.1,,Range ,41.3,56050,,,,Range ,31.6,,Range ,41.3,56050,,,,Range ,27.5,,Range ,48.1,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,17780,,Damage,533467,56050,558,197580.2222,,Damage,26673,,Damage,444556,56050,458,148185.32,,Damage,7111,,Damage,133366,56050,596,148925.322,,Damage,6000,,Damage,137175,56050,325,65712.25245,,Damage,11429,,Damage,228629,56050,647,145161.1048,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,533467,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,17393,,Damage,521870,56050,546,193285,,Damage,26093,,Damage,434892,56050,448,144963.9,,Damage,6957,,Damage,130467,56050,583,145687.815,,Damage,5870,,Damage,134193,56050,318,64283.72523,,Damage,11181,,Damage,223659,56050,633,142005.4286,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,521870,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,17007,,Damage,510272,56050,534,188989.7778,,Damage,25513,,Damage,425227,56050,438,141742.48,,Damage,6802,,Damage,127567,56050,570,142450.308,,Damage,5739,,Damage,131211,56050,311,62855.198,,Damage,10932,,Damage,218688,56050,619,138849.7524,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,510272,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,15461,,Damage,463884,56050,555,196353.0159,,Damage,23194,,Damage,386570,56050,455,147264.9143,,Damage,6184,,Damage,115970,56050,563,140545.08,,Damage,5218,,Damage,119282,56050,317,64026.0761,,Damage,9938,,Damage,198808,56050,643,144259.483,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,7.1,,SPA,7.1,56050,,,,SPA,5.5,,SPA,7.9,56050,,,,SPA,4.7,,SPA,5.1,56050,,,,SPA,9.5,,SPA,8.7,56050,,,,SPA,5.5,,SPA,5.5,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,15461,,Damage,463884,56050,525,185739.3393,,Damage,23194,,Damage,386570,56050,431,139304.6486,,Damage,6184,,Damage,115970,56050,544,135768.9503,,Damage,5218,,Damage,119282,56050,302,61048.78442,,Damage,9938,,Damage,198808,56050,608,136461.6731,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,7.5,,SPA,7.5,56050,,,,SPA,5.8,,SPA,8.3,56050,,,,SPA,5.0,,SPA,5.4,56050,,,,SPA,10.0,,SPA,9.2,56050,,,,SPA,5.8,,SPA,5.8,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,15461,,Damage,463884,56050,511,180851.462,,Damage,23194,,Damage,386570,56050,419,135638.7368,,Damage,6184,,Damage,115970,56050,535,133569.4168,,Damage,5218,,Damage,119282,56050,295,59677.66325,,Damage,9938,,Damage,198808,56050,592,132870.5764,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,7.7,,SPA,7.7,56050,,,,SPA,6.0,,SPA,8.6,56050,,,,SPA,5.1,,SPA,5.6,56050,,,,SPA,10.3,,SPA,9.4,56050,,,,SPA,6.0,,SPA,6.0,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,15461,,Damage,463884,56050,485,171808.8889,,Damage,23194,,Damage,386570,56050,398,128856.8,,Damage,6184,,Damage,115970,56050,519,129500.28,,Damage,5218,,Damage,119282,56050,283,57141.08909,,Damage,9938,,Damage,198808,56050,563,126227.0476,
,Range ,25.3,,Range ,41.7,56050,,,,Range ,20.2,,Range ,44.3,56050,,,,Range ,24.0,,Range ,38.0,56050,,,,Range ,29.1,,Range ,38.0,56050,,,,Range ,25.3,,Range ,44.3,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,15461,,Damage,463884,56050,485,171808.8889,,Damage,23194,,Damage,386570,56050,398,128856.8,,Damage,6184,,Damage,115970,56050,519,129500.28,,Damage,5218,,Damage,119282,56050,283,57141.08909,,Damage,9938,,Damage,198808,56050,563,126227.0476,
,Range ,24.8,,Range ,40.8,56050,,,,Range ,19.8,,Range ,43.3,56050,,,,Range ,23.5,,Range ,37.1,56050,,,,Range ,28.5,,Range ,37.1,56050,,,,Range ,24.8,,Range ,43.3,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
,Damage,15461,,Damage,463884,56050,485,171808.8889,,Damage,23194,,Damage,386570,56050,398,128856.8,,Damage,6184,,Damage,115970,56050,519,129500.28,,Damage,5218,,Damage,119282,56050,283,57141.08909,,Damage,9938,,Damage,198808,56050,563,126227.0476,
,Range ,24.2,,Range ,39.9,56050,,,,Range ,19.4,,Range ,42.4,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,27.8,,Range ,36.3,56050,,,,Range ,24.2,,Range ,42.4,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,463884,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,
,,,,,,,,,,,,,,,,,,,Unique Hidan DPS,,,,,,,,,Unique Caesar DPS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,WITH POWER,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DMG,,,Bleed DMG,,, DPS,,,DMG,,,Poison DMG,,, DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,463882,,,231941,,,,,,477130,,,178924,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,320851,,,,,,,,,182900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Attacks,SPA,Bleed Time,,Ticks,,200% DPS,,,Attacks,SPA,Poison Time,,Ticks,,200% DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,0,2,,3,,,,,1,0,42,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2,4.7,6.7,,3,,702007,,,2,7.9,49.9,,8,,604364,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,9.4,11.4,,3,,,,,3,15.8,57.8,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4,14.1,16.1,,3,,300% DPS,,,4,23.7,65.7,,6,,300% DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5,18.8,20.8,,3,,,,,5,31.6,73.6,,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6,23.5,25.5,,3,,1143468,,,6,39.5,81.5,,3,,1264393,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,7,28.2,30.2,,3,,,,,7,47.4,89.4,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,8,32.9,34.9,,3,,,,,8,55.3,97.3,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,9,37.6,39.6,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,10,42.3,44.3,,3,,Dmg,Bleed,,,,,,,,Dmg,Poison,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,11,47,49,,3,,927763,556658,,,,,,,,954259,715694,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,12,51.7,53.7,,3,,1391645,974151,,,,,,,,1431389,1610312,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,13,56.4,58.4,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Aoe DPS,,,,,,,,,Aoe DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,100%,5823454,,,,,,,,100%,2377696,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,200%,12741436,,,,,,,,200%,7856734,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,39,,300%,20753947,,,,,,40,,300%,16437115,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56050,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divine Caesar DPS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG,,,Poison DMG,,, DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,143139,,,53677,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219480,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacks,SPA,Poison Time,,Ticks,,200% DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,42,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.9,49.9,,8,,725237,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15.8,57.8,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23.7,65.7,,6,,300% DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31.6,73.6,,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,39.5,81.5,,3,,1517272,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,47.4,89.4,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,55.3,97.3,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dmg,Poison,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286278,214708,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429417,483094,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aoe DPS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,2853235,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200%,9428081,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,300%,19724538,,,,,,,,,,
