,Aizen(Final),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Aizen(Fusion),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Ging,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Ichigo(Dusk),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kenpachi,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Soi Fan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yamamoto,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,4970,,Damage,265077,56050,181,73144.88742,,Damage,3313,,Damage,99404,56050,203,63720.45385,,Damage,2900,,Damage,34294,56050,193,43300.93939,,Damage,4639,,Damage,54119,56050,191,46255.58974,,Damage,3866,,Damage,92777,56050,200,35142.79545,,Damage,2872,,Damage,43074,56050,197,49854.65278,,Damage,4142,,Damage,115971,56050,127,48321.34
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,5.8,,SPA,10.9,56050,,,,SPA,5.8,,SPA,4.7,56050,,,,SPA,5.0,,SPA,4.0,56050,,,,SPA,4.7,,SPA,4.7,56050,,,,SPA,5.4,,SPA,7.9,56050,,,,SPA,5.0,,SPA,4.3,56050,,,,SPA,5.0,,SPA,9.4,56050,,
,,,,Max Upgrade,,134800,,3,,,,,Max Upgrade,,104800,,3,,,,,Max Upgrade,,56100,,4,,,,,Max Upgrade,,60600,,4,,,,,Max Upgrade,,58550,,3,,,,,Max Upgrade,,50700,,5,,,,,Max Upgrade,,126950,,3
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,4970,,Damage,265077,56050,145,58515.90993,,Damage,3313,,Damage,99404,56050,162,50976.36308,,Damage,2900,,Damage,34294,56050,154,34640.75152,,Damage,4639,,Damage,54119,56050,153,37004.47179,,Damage,3866,,Damage,92777,56050,160,28114.23636,,Damage,2872,,Damage,43074,56050,157,39883.72222,,Damage,4142,,Damage,115971,56050,102,38657.072
,Range ,27.5,,Range ,41.3,56050,,,,Range ,27.5,,Range ,39.9,56050,,,,Range ,27.5,,Range ,61.9,56050,,,,Range ,23.4,,Range ,61.9,56050,,,,Range ,24.1,,Range ,34.4,56050,,,,Range ,28.9,,Range ,55.0,56050,,,,Range ,27.5,,Range ,48.1,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,5716,,Damage,304839,56050,166,67293.29642,,Damage,3810,,Damage,114314,56050,186,58622.81754,,Damage,3335,,Damage,39438,56050,178,39836.86424,,Damage,5335,,Damage,62237,56050,176,42555.14256,,Damage,4446,,Damage,106694,56050,184,32331.37182,,Damage,3302,,Damage,49536,56050,181,45866.28056,,Damage,4763,,Damage,133367,56050,117,44455.6328
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,5591,,Damage,298212,56050,163,65830.39868,,Damage,3728,,Damage,111829,56050,182,57348.40846,,Damage,3263,,Damage,38581,56050,174,38970.84545,,Damage,5219,,Damage,60884,56050,172,41630.03077,,Damage,4349,,Damage,104374,56050,180,31628.51591,,Damage,3231,,Damage,48459,56050,177,44869.1875,,Damage,4660,,Damage,130468,56050,114,43489.206
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,5467,,Damage,291585,56050,159,64367.50093,,Damage,3645,,Damage,109344,56050,178,56073.99938,,Damage,3190,,Damage,37724,56050,170,38104.82667,,Damage,5103,,Damage,59531,56050,168,40704.91897,,Damage,4252,,Damage,102055,56050,176,30925.66,,Damage,3159,,Damage,47382,56050,173,43872.09444,,Damage,4556,,Damage,127568,56050,112,42522.7792
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,4970,,Damage,265077,56050,165,66875.32564,,Damage,3313,,Damage,99404,56050,185,58258.70066,,Damage,2900,,Damage,34294,56050,176,39589.4303,,Damage,4639,,Damage,54119,56050,174,42290.82491,,Damage,3866,,Damage,92777,56050,183,32130.55584,,Damage,2872,,Damage,43074,56050,180,45581.39683,,Damage,4142,,Damage,115971,56050,116,44179.51086
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,6.3,,SPA,11.9,56050,,,,SPA,6.3,,SPA,5.1,56050,,,,SPA,5.5,,SPA,4.3,56050,,,,SPA,5.1,,SPA,5.1,56050,,,,SPA,5.9,,SPA,8.7,56050,,,,SPA,5.5,,SPA,4.7,56050,,,,SPA,5.5,,SPA,10.2,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,4970,,Damage,265077,56050,156,63260.44317,,Damage,3313,,Damage,99404,56050,175,55109.5817,,Damage,2900,,Damage,34294,56050,167,37449.4611,,Damage,4639,,Damage,54119,56050,165,40004.83437,,Damage,3866,,Damage,92777,56050,173,30393.76904,,Damage,2872,,Damage,43074,56050,170,43117.53754,,Damage,4142,,Damage,115971,56050,110,41791.42919
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,6.7,,SPA,12.6,56050,,,,SPA,6.7,,SPA,5.4,56050,,,,SPA,5.8,,SPA,4.6,56050,,,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.2,,SPA,9.2,56050,,,,SPA,5.8,,SPA,5.0,56050,,,,SPA,5.8,,SPA,10.8,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,4970,,Damage,265077,56050,152,61595.69467,,Damage,3313,,Damage,99404,56050,171,53659.32955,,Damage,2900,,Damage,34294,56050,162,36463.94896,,Damage,4639,,Damage,54119,56050,161,38952.07557,,Damage,3866,,Damage,92777,56050,168,29593.93301,,Damage,2872,,Damage,43074,56050,166,41982.8655,,Damage,4142,,Damage,115971,56050,107,40691.65474
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,6.8,,SPA,12.9,56050,,,,SPA,6.8,,SPA,5.6,56050,,,,SPA,6.0,,SPA,4.7,56050,,,,SPA,5.6,,SPA,5.6,56050,,,,SPA,6.4,,SPA,9.4,56050,,,,SPA,6.0,,SPA,5.1,56050,,,,SPA,6.0,,SPA,11.1,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,4970,,Damage,265077,56050,145,58515.90993,,Damage,3313,,Damage,99404,56050,162,50976.36308,,Damage,2900,,Damage,34294,56050,154,34640.75152,,Damage,4639,,Damage,54119,56050,153,37004.47179,,Damage,3866,,Damage,92777,56050,160,28114.23636,,Damage,2872,,Damage,43074,56050,157,39883.72222,,Damage,4142,,Damage,115971,56050,102,38657.072
,Range ,25.3,,Range ,38.0,56050,,,,Range ,25.3,,Range ,36.7,56050,,,,Range ,25.3,,Range ,56.9,56050,,,,Range ,21.5,,Range ,56.9,56050,,,,Range ,22.1,,Range ,31.6,56050,,,,Range ,26.6,,Range ,50.6,56050,,,,Range ,25.3,,Range ,44.3,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,4970,,Damage,265077,56050,145,58515.90993,,Damage,3313,,Damage,99404,56050,162,50976.36308,,Damage,2900,,Damage,34294,56050,154,34640.75152,,Damage,4639,,Damage,54119,56050,153,37004.47179,,Damage,3866,,Damage,92777,56050,160,28114.23636,,Damage,2872,,Damage,43074,56050,157,39883.72222,,Damage,4142,,Damage,115971,56050,102,38657.072
,Range ,24.8,,Range ,37.1,56050,,,,Range ,24.8,,Range ,35.9,56050,,,,Range ,24.8,,Range ,55.7,56050,,,,Range ,21.0,,Range ,55.7,56050,,,,Range ,21.7,,Range ,30.9,56050,,,,Range ,26.0,,Range ,49.5,56050,,,,Range ,24.8,,Range ,43.3,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
