,Boros,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Genos,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Silver Fang,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sonic,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Tatsumaki,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Metal Knight,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Damage,11293,,Damage,256655,56050,366,114069.0443,,Damage,6352,,Damage,114439,56050,334,82650.28373,,Damage,8615,,Damage,71074,56050,275,52647.24978,,Damage,5169,,Damage,86150,56050,338,85466.31786,,Damage,6533,,Damage,205324,56050,205,52647.252,,Damage,8077,,Damage,188453,56050,309,72994.50906
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,8687,,Damage,197427,56050,352,109681.7733,,Damage,4886,,Damage,88030,56050,321,79471.42667,,Damage,6627,,Damage,54672,56050,264,50622.35556,,Damage,3976,,Damage,66269,56050,325,82179.15179,,Damage,5025,,Damage,157942,56050,197,50622.35769,,Damage,6213,,Damage,144964,56050,290,68539.70953
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,5.4,,SPA,5.4,56050,,,,SPA,5.0,,SPA,5.8,56050,,,,SPA,5.0,,SPA,4.3,56050,,,,SPA,5.0,,SPA,5.0,56050,,,,SPA,5.0,,SPA,9.4,56050,,,,SPA,5.0,,SPA,4.7,56050,,
,,,,Max Upgrade,,104000,,3,,,,,Max Upgrade,,61800,,4,,,,,Max Upgrade,,47850,,4,,,,,Max Upgrade,,50500,,5,,,,,Max Upgrade,,85450,,3,,,,,Max Upgrade,,118250,,2
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,8687,,Damage,197427,56050,281,87745.41867,,Damage,4886,,Damage,88030,56050,257,63577.14133,,Damage,6627,,Damage,54672,56050,212,40497.88444,,Damage,3976,,Damage,66269,56050,260,65743.32143,,Damage,5025,,Damage,157942,56050,158,40497.88615,,Damage,6213,,Damage,144964,56050,237,56149.62235
,Range ,13.1,,Range ,55.0,56050,,,,Range ,23.4,,Range ,61.9,56050,,,,Range ,30.3,,Range ,45.4,56050,,,,Range ,30.3,,Range ,37.1,56050,,,,Range ,20.6,,Range ,59.1,56050,,,,Range ,30.3,,Range ,53.6,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,9990,,Damage,227041,56050,323,100907.2315,,Damage,5619,,Damage,101234,56050,296,73113.71253,,Damage,7621,,Damage,62873,56050,243,46572.56711,,Damage,4573,,Damage,76210,56050,299,75604.81964,,Damage,5779,,Damage,181633,56050,182,46572.56908,,Damage,7145,,Damage,166709,56050,273,64572.06571
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,9773,,Damage,222106,56050,316,98713.596,,Damage,5497,,Damage,99034,56050,289,71524.284,,Damage,7455,,Damage,61506,56050,238,45560.12,,Damage,4473,,Damage,74553,56050,293,73961.23661,,Damage,5654,,Damage,177684,56050,178,45560.12192,,Damage,6989,,Damage,163085,56050,267,63168.32515
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,9555,,Damage,217170,56050,309,96519.96053,,Damage,5375,,Damage,96833,56050,283,69934.85547,,Damage,7290,,Damage,60139,56050,233,44547.67289,,Damage,4374,,Damage,72896,56050,286,72317.65357,,Damage,5528,,Damage,173736,56050,174,44547.67477,,Damage,6834,,Damage,159460,56050,261,61764.58459
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,8687,,Damage,197427,56050,321,100280.4785,,Damage,4886,,Damage,88030,56050,294,72659.5901,,Damage,6627,,Damage,54672,56050,242,46283.29651,,Damage,3976,,Damage,66269,56050,298,75135.22449,,Damage,5025,,Damage,157942,56050,181,46283.29846,,Damage,6213,,Damage,144964,56050,267,63229.67217
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,5.9,,SPA,5.9,56050,,,,SPA,5.5,,SPA,6.3,56050,,,,SPA,5.5,,SPA,4.7,56050,,,,SPA,5.5,,SPA,5.5,56050,,,,SPA,5.5,,SPA,10.2,56050,,,,SPA,5.5,,SPA,5.1,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,8687,,Damage,197427,56050,304,94859.91207,,Damage,4886,,Damage,88030,56050,278,68732.04468,,Damage,6627,,Damage,54672,56050,229,43781.4967,,Damage,3976,,Damage,66269,56050,281,71073.861,,Damage,5025,,Damage,157942,56050,171,43781.49854,,Damage,6213,,Damage,144964,56050,254,60168.02901
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.2,,SPA,6.2,56050,,,,SPA,5.8,,SPA,6.7,56050,,,,SPA,5.8,,SPA,5.0,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.8,,SPA,10.8,56050,,,,SPA,5.8,,SPA,5.4,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,8687,,Damage,197427,56050,296,92363.5986,,Damage,4886,,Damage,88030,56050,271,66923.30667,,Damage,6627,,Damage,54672,56050,223,42629.35205,,Damage,3976,,Damage,66269,56050,274,69203.49624,,Damage,5025,,Damage,157942,56050,166,42629.35385,,Damage,6213,,Damage,144964,56050,248,58758.06176
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.4,,SPA,6.4,56050,,,,SPA,6.0,,SPA,6.8,56050,,,,SPA,6.0,,SPA,5.1,56050,,,,SPA,6.0,,SPA,6.0,56050,,,,SPA,6.0,,SPA,11.1,56050,,,,SPA,6.0,,SPA,5.6,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,8687,,Damage,197427,56050,211,87745.41867,,Damage,4886,,Damage,88030,56050,257,63577.14133,,Damage,6627,,Damage,54672,56050,212,40497.88444,,Damage,3976,,Damage,66269,56050,325,65743.32143,,Damage,5025,,Damage,157942,56050,118,40497.88615,,Damage,6213,,Damage,144964,56050,119,56149.62235
,Range ,12.0,,Range ,50.6,56050,,,,Range ,21.5,,Range ,56.9,56050,,,,Range ,27.8,,Range ,41.7,56050,,,,Range ,27.8,,Range ,34.2,56050,,,,Range ,19.0,,Range ,54.4,56050,,,,Range ,27.8,,Range ,49.3,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,8687,,Damage,197427,56050,281,87745.41867,,Damage,4886,,Damage,88030,56050,257,63577.14133,,Damage,6627,,Damage,54672,56050,212,40497.88444,,Damage,3976,,Damage,66269,56050,260,65743.32143,,Damage,5025,,Damage,157942,56050,158,40497.88615,,Damage,6213,,Damage,144964,56050,237,56149.62235
,Range ,11.8,,Range ,49.5,56050,,,,Range ,21.0,,Range ,55.7,56050,,,,Range ,27.2,,Range ,40.8,56050,,,,Range ,27.2,,Range ,33.4,56050,,,,Range ,18.6,,Range ,53.2,56050,,,,Range ,27.2,,Range ,48.3,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,8687,,Damage,197427,56050,281,87745.41867,,Damage,4886,,Damage,88030,56050,257,63577.14133,,Damage,6627,,Damage,54672,56050,212,40497.88444,,Damage,3976,,Damage,66269,56050,260,65743.32143,,Damage,5025,,Damage,157942,56050,158,40497.88615,,Damage,6213,,Damage,144964,56050,237,56149.62235
,Range ,11.5,,Range ,48.4,56050,,,,Range ,20.6,,Range ,54.5,56050,,,,Range ,26.6,,Range ,39.9,56050,,,,Range ,26.6,,Range ,32.7,56050,,,,Range ,18.2,,Range ,52.0,56050,,,,Range ,26.6,,Range ,47.2,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
