,Akainu,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Katakuri,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Shanks,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Whitebeard,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Lulu,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,3446,,Damage,68920,56050,138,29496.64332,,Damage,1988,,Damage,39763,56050,123,33230.2441,,Damage,1491,,Damage,19881,56050,78,14726.50667,,Damage,3877,,Damage,43937,56050,77,16272.78933,,Damage,663,,Damage,6627,56050,30,1487.515152
,Range ,26.4,,Range ,63.4,56050,,,,Range ,23.8,,Range ,33.0,56050,,,,Range ,19.8,,Range ,29.0,56050,,,,Range ,15.8,,Range ,33.0,56050,,,,Range ,26.4,,Range ,26.4,56050,,
,SPA,6.5,,SPA,12.2,56050,,,,SPA,6.1,,SPA,5.3,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,5.7,,SPA,4.5,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,3159,,Damage,63177,56050,137,29201.67689,,Damage,1822,,Damage,36449,56050,121,32897.94166,,Damage,1367,,Damage,18224,56050,77,14579.2416,,Damage,3554,,Damage,40275,56050,76,16110.06144,,Damage,607,,Damage,6075,56050,30,1472.64
,Range ,22.0,,Range ,58.1,56050,,,,Range ,19.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,26.6,56050,,,,Range ,13.2,,Range ,30.3,56050,,,,Range ,22.0,,Range ,24.2,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,3733,,Damage,74663,56050,135,28759.22724,,Damage,2154,,Damage,43077,56050,120,32399.488,,Damage,1615,,Damage,21538,56050,76,14358.344,,Damage,4200,,Damage,47598,56050,75,15865.9696,,Damage,718,,Damage,7179,56050,30,1450.327273
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,2872,,Damage,57433,56050,130,27653.10311,,Damage,1657,,Damage,33136,56050,115,31153.35385,,Damage,1243,,Damage,16567,56050,73,13806.1,,Damage,3231,,Damage,36614,56050,72,15255.74,,Damage,552,,Damage,5522,56050,28,1394.545455
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,5.8,,SPA,10.8,56050,,,,SPA,5.4,,SPA,4.7,56050,,,,SPA,5.0,,SPA,3.6,56050,,,,SPA,5.8,,SPA,7.2,56050,,,,SPA,5.0,,SPA,4.0,56050,,
,,,,Max Upgrade,,53250,,4,,,,,Max Upgrade,,67750,,4,,,,,Max Upgrade,,63000,,3,,,,,Max Upgrade,,70250,,3,,,,,Max Upgrade,,49000,,1
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,2872,,Damage,57433,56050,104,22122.48249,,Damage,1657,,Damage,33136,56050,92,24922.68308,,Damage,1243,,Damage,16567,56050,58,11044.88,,Damage,3231,,Damage,36614,56050,58,12204.592,,Damage,552,,Damage,5522,56050,23,1115.636364
,Range ,27.5,,Range ,66.0,56050,,,,Range ,24.8,,Range ,34.4,56050,,,,Range ,20.6,,Range ,30.3,56050,,,,Range ,16.5,,Range ,34.4,56050,,,,Range ,27.5,,Range ,27.5,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,3302,,Damage,66048,56050,119,25440.85486,,Damage,1905,,Damage,38106,56050,106,28661.08554,,Damage,1429,,Damage,19052,56050,67,12701.612,,Damage,3715,,Damage,42106,56050,67,14035.2808,,Damage,635,,Damage,6351,56050,26,1282.981818
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,3231,,Damage,64613,56050,117,24887.7928,,Damage,1864,,Damage,37278,56050,103,28038.01846,,Damage,1398,,Damage,18638,56050,66,12425.49,,Damage,3634,,Damage,41190,56050,65,13730.166,,Damage,621,,Damage,6213,56050,26,1255.090909
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,3159,,Damage,63177,56050,114,24334.73074,,Damage,1822,,Damage,36449,56050,101,27414.95138,,Damage,1367,,Damage,18224,56050,64,12149.368,,Damage,3554,,Damage,40275,56050,64,13425.0512,,Damage,607,,Damage,6075,56050,25,1227.2
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,2872,,Damage,57433,56050,119,25282.83713,,Damage,1657,,Damage,33136,56050,105,28483.06637,,Damage,1243,,Damage,16567,56050,67,12622.72,,Damage,3231,,Damage,36614,56050,66,13948.10514,,Damage,552,,Damage,5522,56050,26,1275.012987
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,6.3,,SPA,11.8,56050,,,,SPA,5.9,,SPA,5.1,56050,,,,SPA,5.5,,SPA,3.9,56050,,,,SPA,6.3,,SPA,7.9,56050,,,,SPA,5.5,,SPA,4.3,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,2872,,Damage,57433,56050,112,23916.19729,,Damage,1657,,Damage,33136,56050,99,26943.44116,,Damage,1243,,Damage,16567,56050,63,11940.41081,,Damage,3231,,Damage,36614,56050,63,13194.15351,,Damage,552,,Damage,5522,56050,25,1206.093366
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,6.7,,SPA,12.5,56050,,,,SPA,6.2,,SPA,5.4,56050,,,,SPA,5.8,,SPA,4.2,56050,,,,SPA,6.7,,SPA,8.3,56050,,,,SPA,5.8,,SPA,4.6,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,2872,,Damage,57433,56050,109,23286.82367,,Damage,1657,,Damage,33136,56050,97,26234.40324,,Damage,1243,,Damage,16567,56050,62,11626.18947,,Damage,3231,,Damage,36614,56050,61,12846.93895,,Damage,552,,Damage,5522,56050,24,1174.354067
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,6.8,,SPA,12.8,56050,,,,SPA,6.4,,SPA,5.6,56050,,,,SPA,6.0,,SPA,4.3,56050,,,,SPA,6.8,,SPA,8.6,56050,,,,SPA,6.0,,SPA,4.7,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,2872,,Damage,57433,56050,104,22122.48249,,Damage,1657,,Damage,33136,56050,92,24922.68308,,Damage,1243,,Damage,16567,56050,58,11044.88,,Damage,3231,,Damage,36614,56050,58,12204.592,,Damage,552,,Damage,5522,56050,23,1115.636364
,Range ,25.3,,Range ,60.7,56050,,,,Range ,22.8,,Range ,31.6,56050,,,,Range ,19.0,,Range ,27.8,56050,,,,Range ,15.2,,Range ,31.6,56050,,,,Range ,25.3,,Range ,25.3,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,2872,,Damage,57433,56050,104,22122.48249,,Damage,1657,,Damage,33136,56050,92,24922.68308,,Damage,1243,,Damage,16567,56050,58,11044.88,,Damage,3231,,Damage,36614,56050,58,12204.592,,Damage,552,,Damage,5522,56050,23,1115.636364
,Range ,24.8,,Range ,59.4,56050,,,,Range ,22.3,,Range ,30.9,56050,,,,Range ,18.6,,Range ,27.2,56050,,,,Range ,14.9,,Range ,30.9,56050,,,,Range ,24.8,,Range ,24.8,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,2872,,Damage,57433,56050,104,22122.48249,,Damage,1657,,Damage,33136,56050,92,24922.68308,,Damage,1243,,Damage,16567,56050,58,11044.88,,Damage,3231,,Damage,36614,56050,58,12204.592,,Damage,552,,Damage,5522,56050,23,1115.636364
,Range ,24.2,,Range ,58.1,56050,,,,Range ,21.8,,Range ,30.3,56050,,,,Range ,18.2,,Range ,26.6,56050,,,,Range ,14.5,,Range ,30.3,56050,,,,Range ,24.2,,Range ,24.2,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
