,Ban,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Meliodas,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Diane,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,King,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gowther,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,2650,,Damage,79522,56050,585,149278.1812,,Damage,5411,,Damage,231942,56050,482,122720.4825,,Damage,3451,,Damage,262315,56050,300,62456.05429,,Damage,2982,,Damage,70079,56050,238,63563.59184,,Damage,3181,,Damage,84824,56050,234,46162.72327
,Range ,24.2,,Range ,36.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,27.5,,Range ,41.3,56050,,,,Range ,38.5,,Range ,55.0,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,5.5,,SPA,5.5,56050,,,,SPA,4.7,,SPA,7.1,56050,,,,SPA,6.3,,SPA,12.6,56050,,,,SPA,6.3,,SPA,5.5,56050,,,,SPA,5.1,,SPA,5.5,56050,,
,,,,,,63750,,4,,,,,,,84800,,3,,,,,,,69400,,3,,,,,,,53350,,5,,,,,,,65750,,3
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,2650,,Damage,79522,56050,554,141209.0903,,Damage,5411,,Damage,231942,56050,456,116086.9429,,Damage,3451,,Damage,262315,56050,284,59080.05135,,Damage,2982,,Damage,70079,56050,225,60127.72201,,Damage,3181,,Damage,84824,56050,221,43667.44093
,Range ,24.2,,Range ,36.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,27.5,,Range ,41.3,56050,,,,Range ,38.5,,Range ,55.0,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.0,,SPA,7.5,56050,,,,SPA,6.7,,SPA,13.3,56050,,,,SPA,6.7,,SPA,5.8,56050,,,,SPA,5.4,,SPA,5.8,56050,,
,,,,,,63750,,4,,,,,,,84800,,3,,,,,,,69400,,3,,,,,,,53350,,5,,,,,,,65750,,3
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,2650,,Damage,79522,56050,539,137493.0616,,Damage,5411,,Damage,231942,56050,444,113032.0234,,Damage,3451,,Damage,262315,56050,276,57525.31316,,Damage,2982,,Damage,70079,56050,219,58545.41353,,Damage,3181,,Damage,84824,56050,216,42518.29774
,Range ,24.2,,Range ,36.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,27.5,,Range ,41.3,56050,,,,Range ,38.5,,Range ,55.0,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,6.0,,SPA,6.0,56050,,,,SPA,5.1,,SPA,7.7,56050,,,,SPA,6.8,,SPA,13.7,56050,,,,SPA,6.8,,SPA,6.0,56050,,,,SPA,5.6,,SPA,6.0,56050,,
,,,,,,63750,,4,,,,,,,84800,,3,,,,,,,69400,,3,,,,,,,53350,,5,,,,,,,65750,,3
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,2650,,Damage,79522,56050,512,130618.4086,,Damage,5411,,Damage,231942,56050,317,107380.4222,,Damage,3451,,Damage,262315,56050,197,54649.0475,,Damage,2982,,Damage,70079,56050,261,55618.14286,,Damage,3181,,Damage,84824,56050,154,40392.38286
,Range ,27.8,,Range ,41.7,56050,,,,Range ,19.0,,Range ,38.0,56050,,,,Range ,31.6,,Range ,47.4,56050,,,,Range ,44.3,,Range ,63.3,56050,,,,Range ,30.4,,Range ,50.6,56050,,
,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,14.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,5.9,,SPA,6.3,56050,,
,,,,,,63750,,4,,,,,,,84800,,3,,,,,,,69400,,3,,,,,,,53350,,5,,,,,,,65750,,3
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,2650,,Damage,79522,56050,512,130618.4086,,Damage,5411,,Damage,231942,56050,422,107380.4222,,Damage,3451,,Damage,262315,56050,262,54649.0475,,Damage,2982,,Damage,70079,56050,209,55618.14286,,Damage,3181,,Damage,84824,56050,205,40392.38286
,Range ,27.2,,Range ,40.8,56050,,,,Range ,18.6,,Range ,37.1,56050,,,,Range ,30.9,,Range ,46.4,56050,,,,Range ,43.3,,Range ,61.9,56050,,,,Range ,29.7,,Range ,49.5,56050,,
,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,14.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,5.9,,SPA,6.3,56050,,
,,,,,,63750,,4,,,,,,,84800,,3,,,,,,,69400,,3,,,,,,,53350,,5,,,,,,,65750,,3
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,2650,,Damage,79522,56050,512,130618.4086,,Damage,5411,,Damage,231942,56050,422,107380.4222,,Damage,3451,,Damage,262315,56050,262,54649.0475,,Damage,2982,,Damage,70079,56050,209,55618.14286,,Damage,3181,,Damage,84824,56050,205,40392.38286
,Range ,26.6,,Range ,39.9,56050,,,,Range ,18.2,,Range ,36.3,56050,,,,Range ,30.3,,Range ,45.4,56050,,,,Range ,42.4,,Range ,60.5,56050,,,,Range ,29.0,,Range ,48.4,56050,,
,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,14.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,5.9,,SPA,6.3,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
