,Aki(Kon),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Angel,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Denji,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Himeno,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kobeni,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Power,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,6627,,Damage,186061,56050,252,57426.22593,,Damage,14358,,Damage,229733,56050,657,136746.1071,,Damage,2585,,Damage,77535,56050,293,76014.75294,,Damage,2872,,Damage,63413,56050,223,54198.74872,,Damage,2872,,Damage,61741,56050,255,59549.44444,,Damage,2474,,Damage,88911,56050,225,54883.4963
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,7.9,,SPA,9.7,56050,,,,SPA,5.4,,SPA,5.0,56050,,,,SPA,5.0,,SPA,6.1,56050,,,,SPA,5.4,,SPA,4.7,56050,,,,SPA,5.0,,SPA,6.5,56050,,,,SPA,5.0,,SPA,6.5,56050,,
,,,,Max Upgrade,,76100,,3,,,,,Max Upgrade,,69400,,3,,,,,Max Upgrade,,64750,,4,,,,,Max Upgrade,,60850,,4,,,,,Max Upgrade,,46650,,5,,,,,Max Upgrade,,61000,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,6627,,Damage,186061,56050,201,45940.98074,,Damage,14358,,Damage,229733,56050,525,109396.8857,,Damage,2585,,Damage,77535,56050,235,60811.80235,,Damage,2872,,Damage,63413,56050,178,43358.99897,,Damage,2872,,Damage,61741,56050,204,47639.55556,,Damage,2474,,Damage,88911,56050,180,43906.79704
,Range ,27.5,,Range ,35.8,56050,,,,Range ,26.1,,Range ,48.1,56050,,,,Range ,26.1,,Range ,34.4,56050,,,,Range ,26.1,,Range ,41.3,56050,,,,Range ,24.8,,Range ,44.0,56050,,,,Range ,26.1,,Range ,45.4,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,7621,,Damage,213970,56050,231,52832.12785,,Damage,16512,,Damage,264193,56050,604,125806.4186,,Damage,2972,,Damage,89165,56050,270,69933.57271,,Damage,3302,,Damage,72924,56050,205,49862.84882,,Damage,3302,,Damage,71002,56050,235,54785.48889,,Damage,2845,,Damage,102248,56050,207,50492.81659
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,7455,,Damage,209319,56050,226,51683.60333,,Damage,16153,,Damage,258450,56050,591,123071.4964,,Damage,2908,,Damage,87227,56050,264,68413.27765,,Damage,3231,,Damage,71339,56050,200,48778.87385,,Damage,3231,,Damage,69458,56050,230,53594.5,,Damage,2783,,Damage,100025,56050,202,49395.14667
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,7290,,Damage,204667,56050,221,50535.07881,,Damage,15794,,Damage,252707,56050,578,120336.5743,,Damage,2843,,Damage,85289,56050,258,66892.98259,,Damage,3159,,Damage,69754,56050,196,47694.89887,,Damage,3159,,Damage,67915,56050,225,52403.51111,,Damage,2721,,Damage,97802,56050,198,48297.47674
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,6627,,Damage,186061,56050,230,52503.97799,,Damage,14358,,Damage,229733,56050,601,125025.0122,,Damage,2585,,Damage,77535,56050,268,69499.20269,,Damage,2872,,Damage,63413,56050,204,49553.14168,,Damage,2872,,Damage,61741,56050,233,54445.20635,,Damage,2474,,Damage,88911,56050,206,50179.19661
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,8.7,,SPA,10.6,56050,,,,SPA,5.9,,SPA,5.5,56050,,,,SPA,5.5,,SPA,6.7,56050,,,,SPA,5.9,,SPA,5.1,56050,,,,SPA,5.5,,SPA,7.1,56050,,,,SPA,5.5,,SPA,7.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,6627,,Damage,186061,56050,218,49665.92513,,Damage,14358,,Damage,229733,56050,568,118266.9035,,Damage,2585,,Damage,77535,56050,254,65742.48903,,Damage,2872,,Damage,63413,56050,193,46874.59349,,Damage,2872,,Damage,61741,56050,221,51502.22222,,Damage,2474,,Damage,88911,56050,195,47466.80761
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.2,,SPA,11.2,56050,,,,SPA,6.2,,SPA,5.8,56050,,,,SPA,5.8,,SPA,7.1,56050,,,,SPA,6.2,,SPA,5.4,56050,,,,SPA,5.8,,SPA,7.5,56050,,,,SPA,5.8,,SPA,7.5,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,6627,,Damage,186061,56050,212,48358.9271,,Damage,14358,,Damage,229733,56050,553,115154.6165,,Damage,2585,,Damage,77535,56050,247,64012.42353,,Damage,2872,,Damage,63413,56050,188,45641.05155,,Damage,2872,,Damage,61741,56050,215,50146.90058,,Damage,2474,,Damage,88911,56050,189,46217.68109
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.4,,SPA,11.5,56050,,,,SPA,6.4,,SPA,6.0,56050,,,,SPA,6.0,,SPA,7.3,56050,,,,SPA,6.4,,SPA,5.6,56050,,,,SPA,6.0,,SPA,7.7,56050,,,,SPA,6.0,,SPA,7.7,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,6627,,Damage,186061,56050,151,45940.98074,,Damage,14358,,Damage,229733,56050,394,109396.8857,,Damage,2585,,Damage,77535,56050,235,60811.80235,,Damage,2872,,Damage,63413,56050,178,43358.99897,,Damage,2872,,Damage,61741,56050,255,47639.55556,,Damage,2474,,Damage,88911,56050,180,43906.79704
,Range ,25.3,,Range ,32.9,56050,,,,Range ,24.0,,Range ,44.3,56050,,,,Range ,24.0,,Range ,31.6,56050,,,,Range ,24.0,,Range ,38.0,56050,,,,Range ,22.8,,Range ,40.5,56050,,,,Range ,24.0,,Range ,41.7,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,6627,,Damage,186061,56050,201,45940.98074,,Damage,14358,,Damage,229733,56050,525,109396.8857,,Damage,2585,,Damage,77535,56050,235,60811.80235,,Damage,2872,,Damage,63413,56050,178,43358.99897,,Damage,2872,,Damage,61741,56050,204,47639.55556,,Damage,2474,,Damage,88911,56050,180,43906.79704
,Range ,24.8,,Range ,32.2,56050,,,,Range ,23.5,,Range ,43.3,56050,,,,Range ,23.5,,Range ,30.9,56050,,,,Range ,23.5,,Range ,37.1,56050,,,,Range ,22.3,,Range ,39.6,56050,,,,Range ,23.5,,Range ,40.8,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,6627,,Damage,186061,56050,201,45940.98074,,Damage,14358,,Damage,229733,56050,525,109396.8857,,Damage,2585,,Damage,77535,56050,235,60811.80235,,Damage,2872,,Damage,63413,56050,178,43358.99897,,Damage,2872,,Damage,61741,56050,204,47639.55556,,Damage,2474,,Damage,88911,56050,180,43906.79704
,Range ,24.2,,Range ,31.5,56050,,,,Range ,23.0,,Range ,42.4,56050,,,,Range ,23.0,,Range ,30.3,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,21.8,,Range ,38.7,56050,,,,Range ,23.0,,Range ,39.9,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
