v,Guts,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Griffith Reincarnation,,,Magic,Cost Per Unit,¥,Placement Limit,v,Griffith Ascension,,Griffith Darkness,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Skull Knight,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Sengoku,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chad,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Gabimaru,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Issei,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,,,Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Range ,18.7,,Range ,30.8,56050,,,,Range ,7.7,,Range ,7.7,56050,,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,22.0,,Range ,45.1,56050,,,,Range ,27.5,,Range ,41.8,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,22.0,,Range ,60.5,56050,,,,,,,DPS,616444,,,,240000,240%,55.64,1253436,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,240%,55.64,1253414
,SPA,6.3,,SPA,11.7,56050,,,,SPA,0.0,,SPA,0.0,56050,,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.9,56050,,,,SPA,9.9,,SPA,13.5,56050,,,,SPA,5.9,,SPA,4.5,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,7.2,,SPA,8.1,56050,,,,,,,DPS,640076,,,,260000,260%,57.78,1301489,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,260%,57.78,1301466
,,,,,,125950,,3,,,,,,,30000,3,,,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,662764,,,,280000,280%,59.83,1347619,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,280%,59.82,1347595
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,Unique DPS,,Darkness,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,,,,DPS,684607,,,,300000,300%,61.80,1392034,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,300%,61.80,1392010
,Damage,26505,,Damage,1259112,56050,1187,149467.2365,,Damage,0,,Damage,0,56050,0,,Deals dmg based on how much yen in UNITS is sacrificed to the tower,,Damage,22526,,Damage,830621,56050,1282,128182.2644,,Damage,40635,,Damage,1360727,56050,2112,258447.6444,,Damage,44224,,Damage,1768944,56050,1881,145592.0988,,Damage,21706,,Damage,298205,56050,1314,73630.81481,,Damage,25838,,Damage,442234,56050,1953,109193.4815,,Damage,30917,,Damage,742214,56050,2016,101812.6749,,,,,DPS,705691,,,,320000,320%,63.70,1434906,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000,320%,63.70,1434880
,Range ,20.6,,Range ,33.9,56050,,,,Range ,8.5,,Range ,8.5,56050,,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,24.2,,Range ,49.6,56050,,,,Range ,30.3,,Range ,46.0,56050,,,,Range ,25.4,,Range ,39.9,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,24.2,,Range ,66.6,56050,,,,,,,DPS,726088,,,,340000,340%,65.54,1476380,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000,340%,65.54,1476353
,SPA,5.7,,SPA,10.5,56050,,,,SPA,0.0,,SPA,0.0,56050,,,,,SPA,6.1,,SPA,6.5,56050,,,,SPA,5.7,,SPA,5.3,56050,,,,SPA,8.9,,SPA,12.2,56050,,,,SPA,5.3,,SPA,4.1,56050,,,,SPA,6.5,,SPA,5.7,56050,,,,SPA,6.5,,SPA,7.3,56050,,,,,,,DPS,745859,,,,360000,360%,67.33,1516579,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000,360%,67.32,1516552
,,,,,,125950,,3,,,,,,,30000,3,,He needs a minimum of 100k sacrificed to transform and do damage,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,765055,,,,380000,380%,69.06,1555612,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000,380%,69.06,1555584
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,Divine DPS,,,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,,,,DPS,783723,,,,400000,400%,70.74,1593570,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,400%,70.74,1593542
,Damage,7952,,Damage,377734,56050,356,134520.5128,,Damage,0,,Damage,0,56050,0,,,,Damage,6758,,Damage,249186,56050,385,115364.038,,Damage,12191,,Damage,408218,56050,634,155068.5867,,Damage,13267,,Damage,530683,56050,564,131032.8889,,Damage,6512,,Damage,89461,56050,394,88356.97778,,Damage,7752,,Damage,132670,56050,586,131032.1778,,Damage,9275,,Damage,222664,56050,605,122175.2099,,,,,DPS,801902,,,,420000,420%,72.38,1630535,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000,420%,72.38,1630506
,Range ,22.4,,Range ,37.0,56050,,,,Range ,9.2,,Range ,9.2,56050,,,,,Range ,26.4,,Range ,52.8,56050,,,,Range ,26.4,,Range ,54.1,56050,,,,Range ,33.0,,Range ,50.2,56050,,,,Range ,27.7,,Range ,43.6,56050,,,,Range ,25.1,,Range ,39.6,56050,,,,Range ,26.4,,Range ,72.6,56050,,,,,,,DPS,819629,,,,440000,440%,73.98,1666578,,,,,,,,,,,,,,,,,,,,,,,,,,,,440000,440%,73.98,1666549
,SPA,5.7,,SPA,10.5,56050,,,,SPA,0.0,,SPA,0.0,56050,,,Reincarnation,,SPA,6.1,,SPA,6.5,56050,,,,SPA,5.7,,SPA,5.3,56050,,,,SPA,8.9,,SPA,12.2,56050,,,,SPA,5.3,,SPA,4.1,56050,,,,SPA,6.5,,SPA,5.7,56050,,,,SPA,6.5,,SPA,7.3,56050,,,,,,,DPS,836933,,,,460000,460%,75.55,1701763,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000,460%,75.55,1701733
,,,,,,125950,,3,,,,,,,30000,3,,Need to sacrifice 30k of BUFF units,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,853842,,,,480000,480%,77.07,1736146,,,,,,,,,,,,,,,,,,,,,,,,,,,,480000,480%,77.07,1736116
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,Celestial DPS,,,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,,,,DPS,870383,,,,500000,500%,78.57,1769778,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,500%,78.56,1769747
,Damage,7289,,Damage,346256,56050,352,133175.3077,,Damage,0,,Damage,0,56050,0,,Gives MAPWIDE 100% base dmg increase,,Damage,6195,,Damage,228421,56050,381,114210.3976,,Damage,11175,,Damage,374200,56050,627,153517.9008,,Damage,12162,,Damage,486460,56050,559,129722.56,,Damage,5969,,Damage,82006,56050,390,87473.408,,Damage,7106,,Damage,121614,56050,580,129721.856,,Damage,8502,,Damage,204109,56050,599,120953.4578,,,,,DPS,886576,,,,520000,520%,80.03,1802704,,,,,,,,,,,,,,,,,,,,,,,,,,,,520000,520%,80.03,1802672
,Range ,18.7,,Range ,33.9,56050,,,,Range ,7.7,,Range ,8.5,56050,,,,,Range ,22.0,,Range ,48.4,56050,,,,Range ,22.0,,Range ,49.6,56050,,,,Range ,27.5,,Range ,46.0,56050,,,,Range ,23.1,,Range ,39.9,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,22.0,,Range ,66.6,56050,,,,,,,DPS,902442,,,,540000,540%,81.46,1834966,,,,,,,,,,,,,,,,,,,,,,,,,,,,540000,540%,81.46,1834933
,SPA,6.3,,SPA,11.7,56050,,,,SPA,0.0,,SPA,0.0,56050,,,Does not stack,,SPA,6.8,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.9,56050,,,,SPA,9.9,,SPA,13.5,56050,,,,SPA,5.9,,SPA,4.5,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,7.2,,SPA,8.1,56050,,,,,,,DPS,918000,,,,560000,560%,82.86,1866600,,,,,,,,,,,,,,,,,,,,,,,,,,,,560000,560%,82.86,1866567
,,,,,,125950,,3,,,,,,,30000,3,,,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,933266,,,,580000,580%,84.24,1897641,,,,,,,,,,,,,,,,,,,,,,,,,,,,580000,580%,84.24,1897608
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,Golden DPS,,,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,,,,DPS,948256,,,,600000,600%,85.60,1928120,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000,600%,85.59,1928086
,Damage,8614,,Damage,409211,56050,347,131157.5,,Damage,0,,Damage,0,56050,0,,,,Damage,7321,,Damage,269952,56050,375,112479.937,,Damage,13206,,Damage,442236,56050,618,151191.872,,Damage,14373,,Damage,574907,56050,550,127757.0667,,Damage,7054,,Damage,96917,56050,384,86148.05333,,Damage,8397,,Damage,143726,56050,571,127756.3733,,Damage,10048,,Damage,241220,56050,590,119120.8296,,,,,DPS,962983,,,,620000,620%,86.92,1958065,,,,,,,,,,,,,,,,,,,,,,,,,,,,620000,620%,86.92,1958030
,Range ,18.7,,Range ,30.8,56050,,,,Range ,7.7,,Range ,7.7,56050,,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,22.0,,Range ,45.1,56050,,,,Range ,27.5,,Range ,41.8,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,22.0,,Range ,60.5,56050,,,,,,,DPS,977460,,,,640000,640%,88.23,1987502,,,,,,,,,,,,,,,,,,,,,,,,,,,,640000,640%,88.23,1987467
,SPA,6.3,,SPA,11.7,56050,,,,SPA,0.0,,SPA,0.0,56050,,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.9,56050,,,,SPA,9.9,,SPA,13.5,56050,,,,SPA,5.9,,SPA,4.5,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,7.2,,SPA,8.1,56050,,,,,,,DPS,991699,,,,660000,660%,89.52,2016455,,,,,,,,,,,,,,,,,,,,,,,,,,,,660000,660%,89.52,2016419
,,,,,,125950,,3,,,,,,,30000,3,,,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,1005712,,,,680000,680%,90.78,2044947,,,,,,,,,,,,,,,,,,,,,,,,,,,,680000,680%,90.78,2044911
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,Godspeed DPS,,,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,,,,DPS,1019508,,,,700000,700%,92.03,2072999,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000,700%,92.03,2072962
,Damage,6626,,Damage,314778,56050,334,126112.9808,,Damage,0,,Damage,0,56050,0,,,,Damage,5632,,Damage,207655,56050,361,108153.7856,,Damage,10159,,Damage,340182,56050,594,145376.8,,Damage,11056,,Damage,442236,56050,529,122843.3333,,Damage,5426,,Damage,74551,56050,369,82834.66667,,Damage,6460,,Damage,110558,56050,549,122842.6667,,Damage,7729,,Damage,185554,56050,567,114539.2593,,,,,DPS,1033096,,,,720000,720%,93.25,2100628,,,,,,,,,,,,,,,,,,,,,,,,,,,,720000,720%,93.25,2100591
,Range ,18.7,,Range ,30.8,56050,,,,Range ,7.7,,Range ,7.7,56050,,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,22.0,,Range ,45.1,56050,,,,Range ,27.5,,Range ,41.8,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,22.0,,Range ,60.5,56050,,,,,,,DPS,1046486,,,,740000,740%,94.46,2127854,,,,,,,,,,,,,,,,,,,,,,,,,,,,740000,740%,94.46,2127816
,SPA,5.0,,SPA,9.4,56050,,,,SPA,0.0,,SPA,0.0,56050,,,,,SPA,5.4,,SPA,5.8,56050,,,,SPA,5.0,,SPA,4.7,56050,,,,SPA,7.9,,SPA,10.8,56050,,,,SPA,4.7,,SPA,3.6,56050,,,,SPA,5.8,,SPA,5.0,56050,,,,SPA,5.8,,SPA,6.5,56050,,,,,,,DPS,1059685,,,,760000,760%,95.65,2154693,,,,,,,,,,,,,,,,,,,,,,,,,,,,760000,760%,95.65,2154654
,,,,Max Upgrade,,125950,,3,,,,,Max Upgrade,,30000,3,,,,,,,Max Upgrade,,100000,,3,,,,,Max Upgrade,,122350,,2,,,,,Max Upgrade,,77400,,3,,,,,Max Upgrade,,56050,,4,,,,,Max Upgrade,,55900,,4,,,,,Max Upgrade,,50500,,4,,,,,DPS,1072701,,,,780000,780%,96.83,2181159,,,,,,,,,,,,,,,,,,,,,,,,,,,,780000,780%,96.83,2181121
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,Sniper DPS,,,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,,,,DPS,1085542,,,,800000,800%,97.99,2207269,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000,800%,97.99,2207230
,Damage,6626,,Damage,314778,56050,267,100890.3846,,Damage,0,,Damage,0,56050,0,,,,Damage,5632,,Damage,207655,56050,288,86523.02849,,Damage,10159,,Damage,340182,56050,475,116301.44,,Damage,11056,,Damage,442236,56050,423,98274.66667,,Damage,5426,,Damage,74551,56050,296,66267.73333,,Damage,6460,,Damage,110558,56050,440,98274.13333,,Damage,7729,,Damage,185554,56050,454,91631.40741,,,,,DPS,1098214,,,,820000,820%,99.13,2233035,,Percent Sacrificed,,,,,,,,,,,,,,,,,,,,,,,,,,820000,820%,99.13,2232995
,Range ,23.4,,Range ,38.5,56050,,,,Range ,9.6,,Range ,9.6,56050,,,,,Range ,27.5,,Range ,55.0,56050,,,,Range ,27.5,,Range ,56.4,56050,,,,Range ,34.4,,Range ,52.3,56050,,,,Range ,28.9,,Range ,45.4,56050,,,,Range ,26.1,,Range ,41.3,56050,,,,Range ,27.5,,Range ,75.6,56050,,,,,,,DPS,1110723,,,,840000,840%,100.26,2258469,,,,,,,,,,,,,,,,,,,,,,,,,,,,840000,840%,100.26,2258429
,SPA,6.3,,SPA,11.7,56050,,,,SPA,0.0,,SPA,0.0,56050,,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.9,56050,,,,SPA,9.9,,SPA,13.5,56050,,,,SPA,5.9,,SPA,4.5,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,7.2,,SPA,8.1,56050,,,,,,,DPS,1123075,,,,860000,860%,101.38,2283585,,,,,,,,,,,,,,,,,,,,,,,,,,,,860000,860%,101.37,2283545
,,,,,,125950,,3,,,,,,,30000,3,,,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,1135275,,,,880000,880%,102.48,2308393,,,,,,,,,,,,,,,,,,,,,,,,,,,,880000,880%,102.48,2308352
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,Superior 3 DPS,,,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,,,,DPS,1147330,,,,900000,900%,103.56,2332904,,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,900%,103.56,2332863
,Damage,7620,,Damage,361995,56050,307,116023.9423,,Damage,0,,Damage,0,56050,0,,,,Damage,6476,,Damage,238804,56050,332,99501.48276,,Damage,11683,,Damage,391209,56050,547,133746.656,,Damage,12714,,Damage,508571,56050,487,113015.8667,,Damage,6240,,Damage,85734,56050,340,76207.89333,,Damage,7429,,Damage,127142,56050,505,113015.2533,,Damage,8889,,Damage,213387,56050,522,105376.1185,,,,,DPS,1159243,,,,920000,920%,104.64,2357128,,,,,,,,,,,,,,,,,,,,,,,,,,,,920000,920%,104.64,2357086
,Range ,18.7,,Range ,30.8,56050,,,,Range ,7.7,,Range ,7.7,56050,,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,22.0,,Range ,45.1,56050,,,,Range ,27.5,,Range ,41.8,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,22.0,,Range ,60.5,56050,,,,,,,DPS,1171020,,,,940000,940%,105.70,2381075,,,,,,,,,,,,,,,,,,,,,,,,,,,,940000,940%,105.70,2381033
,SPA,6.3,,SPA,11.7,56050,,,,SPA,0.0,,SPA,0.0,56050,,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.9,56050,,,,SPA,9.9,,SPA,13.5,56050,,,,SPA,5.9,,SPA,4.5,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,7.2,,SPA,8.1,56050,,,,,,,DPS,1182665,,,,960000,960%,106.75,2404753,,,,,,,,,,,,,,,,,,,,,,,,,,,,960000,960%,106.75,2404710
,,,,,,125950,,3,,,,,,,30000,3,,,,,,,,,100000,,3,,,,,,,122350,,2,,,,,,,77400,,3,,,,,,,56050,,4,,,,,,,55900,,4,,,,,,,50500,,4,,,,,DPS,1194182,,,,980000,980%,107.79,2428171,,,,,,,,,,,,,,,,,,,,,,,,,,,,980000,980%,107.79,2428128
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,Superior 2 DPS,,,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,,,,DPS,1205575,,,,1000000,1000%,108.82,2451337,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,1000%,108.82,2451293
,Damage,7455,,Damage,354125,56050,300,113501.6827,,Damage,0,,Damage,0,56050,0,,,,Damage,6336,,Damage,233612,56050,324,97338.40705,,Damage,11429,,Damage,382704,56050,535,130839.12,,Damage,12438,,Damage,497516,56050,476,110559,,Damage,6105,,Damage,83870,56050,333,74551.2,,Damage,7267,,Damage,124378,56050,494,110558.4,,Damage,8695,,Damage,208748,56050,510,103085.3333,,,,,DPS,1216848,,,,1020000,1020%,109.84,2474258,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020000,1020%,109.84,2474214
,Range ,18.7,,Range ,30.8,56050,,,,Range ,7.7,,Range ,7.7,56050,,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,22.0,,Range ,45.1,56050,,,,Range ,27.5,,Range ,41.8,56050,,,,Range ,23.1,,Range ,36.3,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,22.0,,Range ,60.5,56050,,,,,,,DPS,1228005,,,,1040000,1040%,110.85,2496943,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040000,1040%,110.85,2496899
