,Ariva,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Eto,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Tarata,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jouzo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,1493,,Damage,46063,56050,133,34120.72444,,Damage,2147,,Damage,47225,56050,64,15741.5284,,Damage,948,,Damage,15794,56050,80,19537.97722,,Damage,700,,Damage,20999,56050,96,23332.31333
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,1148,,Damage,35433,56050,128,32808.38889,,Damage,1651,,Damage,36327,56050,61,15136.085,,Damage,729,,Damage,12149,56050,77,18786.51656,,Damage,538,,Damage,16153,56050,93,22434.91667
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,5.8,,SPA,4.3,56050,,,,SPA,6.1,,SPA,7.2,56050,,,,SPA,2.9,,SPA,4.3,56050,,,,SPA,5.0,,SPA,3.6,56050,,
,,,,Max Upgrade,,64300,,4,,,,,Max Upgrade,,82500,,3,,,,,Max Upgrade,,60950,,4,,,,,Max Upgrade,,60500,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,1148,,Damage,35433,56050,102,26246.71111,,Damage,1651,,Damage,36327,56050,49,12108.868,,Damage,729,,Damage,12149,56050,62,15029.21324,,Damage,538,,Damage,16153,56050,74,17947.93333
,Range ,30.3,,Range ,55.0,56050,,,,Range ,28.9,,Range ,68.8,56050,,,,Range ,11.0,,Range ,37.8,56050,,,,Range ,20.6,,Range ,41.3,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,1320,,Damage,40748,56050,117,30183.71778,,Damage,1899,,Damage,41776,56050,56,13925.1982,,Damage,838,,Damage,13972,56050,71,17283.59523,,Damage,619,,Damage,18576,56050,85,20640.12333
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,1292,,Damage,39862,56050,115,29527.55,,Damage,1858,,Damage,40867,56050,55,13622.4765,,Damage,820,,Damage,13668,56050,69,16907.8649,,Damage,606,,Damage,18172,56050,83,20191.425
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,1263,,Damage,38976,56050,112,28871.38222,,Damage,1816,,Damage,39959,56050,54,13319.7548,,Damage,802,,Damage,13364,56050,68,16532.13457,,Damage,592,,Damage,17768,56050,82,19742.72667
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,1148,,Damage,35433,56050,117,29996.24127,,Damage,1651,,Damage,36327,56050,56,13838.70629,,Damage,729,,Damage,12149,56050,70,17176.24371,,Damage,538,,Damage,16153,56050,85,20511.92381
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,6.3,,SPA,4.7,56050,,,,SPA,6.7,,SPA,7.9,56050,,,,SPA,3.2,,SPA,4.7,56050,,,,SPA,5.5,,SPA,3.9,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,1148,,Damage,35433,56050,110,28374.82282,,Damage,1651,,Damage,36327,56050,53,13090.66811,,Damage,729,,Damage,12149,56050,67,16247.7981,,Damage,538,,Damage,16153,56050,80,19403.17117
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,6.7,,SPA,5.0,56050,,,,SPA,7.1,,SPA,8.3,56050,,,,SPA,3.3,,SPA,5.0,56050,,,,SPA,5.8,,SPA,4.2,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,1148,,Damage,35433,56050,107,27628.11696,,Damage,1651,,Damage,36327,56050,51,12746.17684,,Damage,729,,Damage,12149,56050,65,15820.22447,,Damage,538,,Damage,16153,56050,78,18892.5614
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,6.8,,SPA,5.1,56050,,,,SPA,7.3,,SPA,8.6,56050,,,,SPA,3.4,,SPA,5.1,56050,,,,SPA,6.0,,SPA,4.3,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,1148,,Damage,35433,56050,102,26246.71111,,Damage,1651,,Damage,36327,56050,49,12108.868,,Damage,729,,Damage,12149,56050,62,15029.21324,,Damage,538,,Damage,16153,56050,74,17947.93333
,Range ,27.8,,Range ,50.6,56050,,,,Range ,26.6,,Range ,63.3,56050,,,,Range ,10.1,,Range ,34.8,56050,,,,Range ,19.0,,Range ,38.0,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,1148,,Damage,35433,56050,102,26246.71111,,Damage,1651,,Damage,36327,56050,49,12108.868,,Damage,729,,Damage,12149,56050,62,15029.21324,,Damage,538,,Damage,16153,56050,74,17947.93333
,Range ,27.2,,Range ,49.5,56050,,,,Range ,26.0,,Range ,61.9,56050,,,,Range ,9.9,,Range ,34.0,56050,,,,Range ,18.6,,Range ,37.1,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,1148,,Damage,35433,56050,102,26246.71111,,Damage,1651,,Damage,36327,56050,49,12108.868,,Damage,729,,Damage,12149,56050,62,15029.21324,,Damage,538,,Damage,16153,56050,74,17947.93333
,Range ,26.6,,Range ,48.4,56050,,,,Range ,25.4,,Range ,60.5,56050,,,,Range ,9.7,,Range ,33.3,56050,,,,Range ,18.2,,Range ,36.3,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
