v,Atsushi,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Dazai,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chuya,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Akutagawa,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Izu,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,5.0,,SPA,4.3,56050,,,,SPA,4.3,,SPA,7.9,56050,,,,SPA,5.4,,SPA,6.5,56050,,,,SPA,5.0,,SPA,7.2,56050,,,,SPA,4.7,,SPA,8.6,56050,,,
,,,,Max Upgrade,,56100,,4,,,,,Max Upgrade,,90050,,3,,,,,Max Upgrade,,50000,,4,,,,,Max Upgrade,,100100,,3,,,,,Max Upgrade,,83300,,3,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,8284,,Damage,165672,56050,547,122720,,Damage,7889,,Damage,298210,56050,335,90366.54545,,Damage,5964,,Damage,223658,56050,553,110571.4498,,Damage,7793,,Damage,432959,56050,481,144319.6,,Damage,5798,,Damage,449040,56050,499,124733.3333,
,Range ,26.1,,Range ,38.5,56050,,,,Range ,19.3,,Range ,34.4,56050,,,,Range ,27.5,,Range ,55.0,56050,,,,Range ,30.3,,Range ,48.1,56050,,,,Range ,33.0,,Range ,45.4,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,9526,,Damage,190523,56050,629,141128,,Damage,9072,,Damage,342941,56050,385,103921.5273,,Damage,6859,,Damage,257207,56050,636,127157.1672,,Damage,8962,,Damage,497903,56050,553,165967.54,,Damage,6668,,Damage,516396,56050,574,143443.3333,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,9319,,Damage,186381,56050,615,138060,,Damage,8875,,Damage,335486,56050,376,101662.3636,,Damage,6710,,Damage,251616,56050,622,124392.881,,Damage,8767,,Damage,487079,56050,541,162359.55,,Damage,6523,,Damage,505170,56050,562,140325,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,9112,,Damage,182239,56050,602,134992,,Damage,8678,,Damage,328031,56050,368,99403.2,,Damage,6560,,Damage,246024,56050,608,121628.5947,,Damage,8572,,Damage,476255,56050,529,158751.56,,Damage,6378,,Damage,493944,56050,549,137206.6667,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,8284,,Damage,165672,56050,625,140251.4286,,Damage,7889,,Damage,298210,56050,382,103276.0519,,Damage,5964,,Damage,223658,56050,632,126367.3712,,Damage,7793,,Damage,432959,56050,549,164936.6857,,Damage,5798,,Damage,449040,56050,570,142552.381,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,5.5,,SPA,4.7,56050,,,,SPA,4.7,,SPA,8.7,56050,,,,SPA,5.9,,SPA,7.1,56050,,,,SPA,5.5,,SPA,7.9,56050,,,,SPA,5.1,,SPA,9.5,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,8284,,Damage,165672,56050,591,132670.2703,,Damage,7889,,Damage,298210,56050,362,97693.56265,,Damage,5964,,Damage,223658,56050,598,119536.7024,,Damage,7793,,Damage,432959,56050,520,156021.1892,,Damage,5798,,Damage,449040,56050,540,134846.8468,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,5.8,,SPA,5.0,56050,,,,SPA,5.0,,SPA,9.2,56050,,,,SPA,6.2,,SPA,7.5,56050,,,,SPA,5.8,,SPA,8.3,56050,,,,SPA,5.4,,SPA,10.0,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,8284,,Damage,165672,56050,576,129178.9474,,Damage,7889,,Damage,298210,56050,352,95122.67943,,Damage,5964,,Damage,223658,56050,582,116390.9997,,Damage,7793,,Damage,432959,56050,506,151915.3684,,Damage,5798,,Damage,449040,56050,525,131298.2456,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,6.0,,SPA,5.1,56050,,,,SPA,5.1,,SPA,9.4,56050,,,,SPA,6.4,,SPA,7.7,56050,,,,SPA,6.0,,SPA,8.6,56050,,,,SPA,5.6,,SPA,10.3,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,8284,,Damage,165672,56050,547,122720,,Damage,7889,,Damage,298210,56050,335,90366.54545,,Damage,5964,,Damage,223658,56050,553,110571.4498,,Damage,7793,,Damage,432959,56050,481,144319.6,,Damage,5798,,Damage,449040,56050,499,124733.3333,
,Range ,24.0,,Range ,35.4,56050,,,,Range ,17.7,,Range ,31.6,56050,,,,Range ,25.3,,Range ,50.6,56050,,,,Range ,27.8,,Range ,44.3,56050,,,,Range ,30.4,,Range ,41.7,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,8284,,Damage,165672,56050,547,122720,,Damage,7889,,Damage,298210,56050,335,90366.54545,,Damage,5964,,Damage,223658,56050,553,110571.4498,,Damage,7793,,Damage,432959,56050,481,144319.6,,Damage,5798,,Damage,449040,56050,499,124733.3333,
,Range ,23.5,,Range ,34.7,56050,,,,Range ,17.3,,Range ,30.9,56050,,,,Range ,24.8,,Range ,49.5,56050,,,,Range ,27.2,,Range ,43.3,56050,,,,Range ,29.7,,Range ,40.8,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
,Damage,8284,,Damage,165672,56050,547,122720,,Damage,7889,,Damage,298210,56050,335,90366.54545,,Damage,5964,,Damage,223658,56050,553,110571.4498,,Damage,7793,,Damage,432959,56050,481,144319.6,,Damage,5798,,Damage,449040,56050,499,124733.3333,
,Range ,23.0,,Range ,33.9,56050,,,,Range ,16.9,,Range ,30.3,56050,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,26.6,,Range ,42.4,56050,,,,Range ,29.0,,Range ,39.9,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,
,Unique Atsushi DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,WITH POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DMG,,,Bleed DMG,,, DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,662688,,,276120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,347911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attacks,SPA,Bleed Time,,Ticks,,200% DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,4.3,6.3,,3,,773136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8.6,10.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,12.9,14.9,,3,,300% DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,17.2,19.2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,21.5,23.5,,3,,1275674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,25.8,27.8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,30.1,32.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,34.4,36.4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,38.7,40.7,,3,,Dmg,Bleed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,43,45,,3,,1325376,662688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,47.3,49.3,,3,,1988064,1159704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,51.6,53.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,55.9,57.9,,3,,Aoe DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,100%,5218668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,200%,11597040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,,300%,19135116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,56050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique Atsushi DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,WITH POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DMG,,,Bleed DMG,,, DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,198806,,,82836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,417493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attacks,SPA,Bleed Time,,Ticks,,200% DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,4.3,6.3,,3,,927763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8.6,10.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,12.9,14.9,,3,,300% DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,17.2,19.2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,21.5,23.5,,3,,1530809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,25.8,27.8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,30.1,32.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,34.4,36.4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,38.7,40.7,,3,,Dmg,Bleed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,43,45,,3,,397613,198806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,47.3,49.3,,3,,596419,347911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,51.6,53.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,55.9,57.9,,3,,Aoe DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,100%,6262402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,200%,13916448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,,300%,22962139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
