,Gon,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Killua,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kite(Focus),,,,,,,,Kite(Frenzy),,,,,,,,Kite(Precision),,,,,,,,Kite(Lethal),,,,,,,,Meruem,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Netero,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Pitou,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Damage,9112,,Damage,164015,56050,128,27054.0668,,Damage,2187,,Damage,22780,56050,119,30373.4112,,Damage,3645,,Damage,32803,,,,Damage,3645,,Damage,32803,,,,Damage,3645,,Damage,32803,,,,Damage,4556,,Damage,41004,,,,Damage,2369,,Damage,28430,56050,146,30324.81408,,Damage,1640,,Damage,62386,56050,129,24954.2568,,Damage,2843,,Damage,34115,56050,218,50035.93936
,Range ,13.2,,Range ,62.9,56050,,,,Range ,16.5,,Range ,30.3,56050,,,,Range ,30.3,,Range ,45.4,,,,Range ,24.2,,Range ,36.3,,,,Range ,24.2,,Range ,26.6,,,,Range ,24.2,,Range ,36.3,,,,Range ,16.5,,Range ,36.3,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,13.2,,Range ,36.3,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,,,,Golden,,,,,,,,Golden,,,,,,,,Golden,,,,,,,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,10769,,Damage,193836,56050,126,26644.1567,,Damage,2584,,Damage,26922,56050,118,29913.208,,Damage,4308,,Damage,38768,,,,Damage,4308,,Damage,38768,,,,Damage,4308,,Damage,38768,,,,Damage,5384,,Damage,48459,,,,Damage,2800,,Damage,33599,56050,143,29865.3472,,Damage,1938,,Damage,73728,56050,127,24576.162,,Damage,3360,,Damage,40318,56050,214,49277.81907
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,,,,Godspeed,,,,,,,,Godspeed,,,,,,,,Godspeed,,,,,,,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,8284,,Damage,149105,56050,122,25619.38144,,Damage,1988,,Damage,20709,56050,113,28762.7,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,138,28716.68,,Damage,1491,,Damage,56714,56050,122,23630.925,,Damage,2585,,Damage,31014,56050,206,47382.51833
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,7.2,,SPA,17.5,56050,,,,SPA,5.0,,SPA,2.9,56050,,,,SPA,5.8,,SPA,5.8,,,,SPA,4.3,,SPA,4.3,,,,SPA,5.8,,SPA,5.8,,,,SPA,5.8,,SPA,5.8,,,,SPA,5.0,,SPA,3.6,56050,,,,SPA,5.8,,SPA,7.2,56050,,,,SPA,5.0,,SPA,3.6,56050,,
,,,,Max Upgrade,,70250,,3,,,,,Max Upgrade,,63600,,4,,,,,Max Upgrade,,,,,,,,Max Upgrade,,,,,,,,Max Upgrade,,,,,,,,Max Upgrade,,,,,,,,Max Upgrade,,52050,,4,,,,,Max Upgrade,,64400,,3,,,,,Max Upgrade,,57500,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,,,,Sniper,,,,,,,,Sniper,,,,,,,,Sniper,,,,,,,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,8284,,Damage,149105,56050,97,20495.50515,,Damage,1988,,Damage,20709,56050,90,23010.16,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,110,22973.344,,Damage,1491,,Damage,56714,56050,98,18904.74,,Damage,2585,,Damage,31014,56050,165,37906.01467
,Range ,16.5,,Range ,71.5,56050,,,,Range ,20.6,,Range ,34.4,56050,,,,Range ,37.8,,Range ,51.6,,,,Range ,30.3,,Range ,41.3,,,,Range ,30.3,,Range ,30.3,,,,Range ,30.3,,Range ,41.3,,,,Range ,20.6,,Range ,41.3,56050,,,,Range ,30.3,,Range ,48.1,56050,,,,Range ,16.5,,Range ,41.3,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,,,,Superior 3/Reaper,,,,,,,,Superior 3/Reaper,,,,,,,,Superior 3/Reaper,,,,,,,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,9526,,Damage,171471,56050,112,23569.83093,,Damage,2286,,Damage,23816,56050,104,26461.684,,Damage,3810,,Damage,34294,,,,Damage,3810,,Damage,34294,,,,Damage,3810,,Damage,34294,,,,Damage,4763,,Damage,42868,,,,Damage,2477,,Damage,29722,56050,127,26419.3456,,Damage,1715,,Damage,65221,56050,113,21740.451,,Damage,2972,,Damage,35666,56050,190,43591.91687
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,,,,Superior 2,,,,,,,,Superior 2,,,,,,,,Superior 2,,,,,,,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,9319,,Damage,167743,56050,109,23057.4433,,Damage,2237,,Damage,23298,56050,102,25886.43,,Damage,3728,,Damage,33549,,,,Damage,3728,,Damage,33549,,,,Damage,3728,,Damage,33549,,,,Damage,4660,,Damage,41936,,,,Damage,2423,,Damage,29076,56050,124,25845.012,,Damage,1677,,Damage,63803,56050,110,21267.8325,,Damage,2908,,Damage,34891,56050,185,42644.2665
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,,,,Superior 1,,,,,,,,Superior 1,,,,,,,,Superior 1,,,,,,,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,9112,,Damage,164015,56050,107,22545.05567,,Damage,2187,,Damage,22780,56050,99,25311.176,,Damage,3645,,Damage,32803,,,,Damage,3645,,Damage,32803,,,,Damage,3645,,Damage,32803,,,,Damage,4556,,Damage,41004,,,,Damage,2369,,Damage,28430,56050,121,25270.6784,,Damage,1640,,Damage,62386,56050,108,20795.214,,Damage,2843,,Damage,34115,56050,181,41696.61613
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,,,,Nimble 3,,,,,,,,Nimble 3,,,,,,,,Nimble 3,,,,,,,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,8284,,Damage,149105,56050,111,23423.43446,,Damage,1988,,Damage,20709,56050,103,26297.32571,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,126,26255.25029,,Damage,1491,,Damage,56714,56050,112,21605.41714,,Damage,2585,,Damage,31014,56050,188,43321.15962
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,7.9,,SPA,19.1,56050,,,,SPA,5.5,,SPA,3.2,56050,,,,SPA,6.3,,SPA,6.3,,,,SPA,4.7,,SPA,4.7,,,,SPA,6.3,,SPA,6.3,,,,SPA,6.3,,SPA,6.3,,,,SPA,5.5,,SPA,3.9,56050,,,,SPA,6.3,,SPA,7.9,56050,,,,SPA,5.5,,SPA,3.9,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,,,,Nimble 2,,,,,,,,Nimble 2,,,,,,,,Nimble 2,,,,,,,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,8284,,Damage,149105,56050,105,22157.30287,,Damage,1988,,Damage,20709,56050,98,24875.84865,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,119,24836.04757,,Damage,1491,,Damage,56714,56050,106,20437.55676,,Damage,2585,,Damage,31014,56050,178,40979.47532
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,8.3,,SPA,20.2,56050,,,,SPA,5.8,,SPA,3.3,56050,,,,SPA,6.7,,SPA,6.7,,,,SPA,5.0,,SPA,5.0,,,,SPA,6.7,,SPA,6.7,,,,SPA,6.7,,SPA,6.7,,,,SPA,5.8,,SPA,4.2,56050,,,,SPA,6.7,,SPA,8.3,56050,,,,SPA,5.8,,SPA,4.2,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,,,,Nimble 1,,,,,,,,Nimble 1,,,,,,,,Nimble 1,,,,,,,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,8284,,Damage,149105,56050,102,21574.21595,,Damage,1988,,Damage,20709,56050,95,24221.22105,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,116,24182.46737,,Damage,1491,,Damage,56714,56050,103,19899.72632,,Damage,2585,,Damage,31014,56050,173,39901.06807
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,8.6,,SPA,20.7,56050,,,,SPA,6.0,,SPA,3.4,56050,,,,SPA,6.8,,SPA,6.8,,,,SPA,5.1,,SPA,5.1,,,,SPA,6.8,,SPA,6.8,,,,SPA,6.8,,SPA,6.8,,,,SPA,6.0,,SPA,4.3,56050,,,,SPA,6.8,,SPA,8.6,56050,,,,SPA,6.0,,SPA,4.3,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,,,,Range 3,,,,,,,,Range 3,,,,,,,,Range 3,,,,,,,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,8284,,Damage,149105,56050,97,20495.50515,,Damage,1988,,Damage,20709,56050,90,23010.16,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,110,22973.344,,Damage,1491,,Damage,56714,56050,98,18904.74,,Damage,2585,,Damage,31014,56050,165,37906.01467
