,Brook,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Moria,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Perona,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,,,,,
,SPA,7.7,,SPA,10.5,56050,,,,SPA,6.5,,SPA,4.9,56050,,,,SPA,6.1,,SPA,4.9,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,,,,,
,Damage,11928,,Damage,129225,56050,204,36816.25846,,Damage,3579,,Damage,55666,56050,178,45815.78667,,Damage,5799,,Damage,39762,56050,126,40906.96296,,,,,,
,Range ,14.5,,Range ,19.8,56050,,,,Range ,15.8,,Range ,35.6,56050,,,,Range ,26.4,,Range ,39.6,56050,,,,,,,,
,SPA,7.7,,SPA,10.5,56050,,,,SPA,6.5,,SPA,4.9,56050,,,,SPA,6.1,,SPA,4.9,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,,,,,
,Damage,10934,,Damage,118456,56050,202,36448.09588,,Damage,3280,,Damage,51027,56050,177,45357.6288,,Damage,5315,,Damage,36448,56050,125,40497.89333,,,,,,
,Range ,12.1,,Range ,18.2,56050,,,,Range ,13.2,,Range ,32.7,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,,,,,
,Damage,12923,,Damage,139994,56050,199,35895.852,,Damage,3877,,Damage,60305,56050,174,44670.392,,Damage,6282,,Damage,43075,56050,123,39884.28889,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,,,,,
,Damage,9940,,Damage,107688,56050,191,34515.24231,,Damage,2982,,Damage,46388,56050,167,42952.3,,Damage,4832,,Damage,33135,56050,118,38350.27778,,,,,,33135
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,33.0
,SPA,6.8,,SPA,9.4,56050,,,,SPA,5.8,,SPA,4.3,56050,,,,SPA,5.4,,SPA,4.3,56050,,,,,,,,3.6
,,,,Max Upgrade,,60100,,3,,,,,Max Upgrade,,64200,,4,,,,,Max Upgrade,,64800,,5,,,,,,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,,,,,
,Damage,9940,,Damage,107688,56050,153,27612.19385,,Damage,2982,,Damage,46388,56050,134,34361.84,,Damage,4832,,Damage,33135,56050,95,30680.22222,,,,,,
,Range ,15.1,,Range ,20.6,56050,,,,Range ,16.5,,Range ,37.1,56050,,,,Range ,27.5,,Range ,41.3,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,,,,,
,Damage,11431,,Damage,123841,56050,176,31754.02292,,Damage,3429,,Damage,53347,56050,154,39516.116,,Damage,5557,,Damage,38105,56050,109,35282.25556,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,,,,,
,Damage,11183,,Damage,121149,56050,172,31063.71808,,Damage,3355,,Damage,52187,56050,151,38657.07,,Damage,5436,,Damage,37276,56050,107,34515.25,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,,,,,
,Damage,10934,,Damage,118456,56050,168,30373.41323,,Damage,3280,,Damage,51027,56050,147,37798.024,,Damage,5315,,Damage,36448,56050,104,33748.24444,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,,,,,
,Damage,9940,,Damage,107688,56050,175,31556.79297,,Damage,2982,,Damage,46388,56050,153,39270.67429,,Damage,4832,,Damage,33135,56050,108,35063.11111,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,7.5,,SPA,10.2,56050,,,,SPA,6.3,,SPA,4.7,56050,,,,SPA,5.9,,SPA,4.7,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,,,,,
,Damage,9940,,Damage,107688,56050,166,29851.02037,,Damage,2982,,Damage,46388,56050,145,37147.93514,,Damage,4832,,Damage,33135,56050,102,33167.80781,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,7.9,,SPA,10.8,56050,,,,SPA,6.7,,SPA,5.0,56050,,,,SPA,6.2,,SPA,5.0,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,,,,,
,Damage,9940,,Damage,107688,56050,161,29065.46721,,Damage,2982,,Damage,46388,56050,141,36170.35789,,Damage,4832,,Damage,33135,56050,100,32294.97076,,,,,,
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,
,SPA,8.1,,SPA,11.1,56050,,,,SPA,6.8,,SPA,5.1,56050,,,,SPA,6.4,,SPA,5.1,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,,,,,
,Damage,9940,,Damage,107688,56050,153,27612.19385,,Damage,2982,,Damage,46388,56050,134,34361.84,,Damage,4832,,Damage,33135,56050,95,30680.22222,,,,,,
,Range ,13.9,,Range ,19.0,56050,,,,Range ,15.2,,Range ,34.2,56050,,,,Range ,25.3,,Range ,38.0,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,,,,,
,Damage,9940,,Damage,107688,56050,153,27612.19385,,Damage,2982,,Damage,46388,56050,134,34361.84,,Damage,4832,,Damage,33135,56050,95,30680.22222,,,,,,
,Range ,13.6,,Range ,18.6,56050,,,,Range ,14.9,,Range ,33.4,56050,,,,Range ,24.8,,Range ,37.1,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,,,,,
,Damage,9940,,Damage,107688,56050,153,27612.19385,,Damage,2982,,Damage,46388,56050,134,34361.84,,Damage,4832,,Damage,33135,56050,95,30680.22222,,,,,,
,Range ,13.3,,Range ,18.2,56050,,,,Range ,14.5,,Range ,32.7,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,,,,,
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,
