,Itachi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sasuke,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Shisui,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Damage,3236,,Damage,86109,56050,329,88316.54308,,Damage,3231,,Damage,129225,56050,271,71791.71,,Damage,4349,,Damage,173957,56050,299,72482.01188
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,3164,,Damage,84195,56050,321,86353.95323,,Damage,3159,,Damage,126353,56050,265,70196.33867,,Damage,4252,,Damage,170091,56050,293,70871.3005
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,2876,,Damage,76541,56050,334,89718.39297,,Damage,2872,,Damage,114867,56050,275,72931.26095,,Damage,3866,,Damage,154628,56050,304,73632.52
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,5.5,,SPA,5.1,56050,,,,SPA,5.1,,SPA,6.3,56050,,,,SPA,5.1,,SPA,6.3,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,2876,,Damage,76541,56050,316,84868.7501,,Damage,2872,,Damage,114867,56050,261,68989.03063,,Damage,3866,,Damage,154628,56050,288,69652.38378
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,5.8,,SPA,5.4,56050,,,,SPA,5.4,,SPA,6.7,56050,,,,SPA,5.4,,SPA,6.7,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,2876,,Damage,76541,56050,307,82635.36194,,Damage,2872,,Damage,114867,56050,254,67173.52982,,Damage,3866,,Damage,154628,56050,280,67819.42632
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,6.0,,SPA,5.6,56050,,,,SPA,5.6,,SPA,6.8,56050,,,,SPA,5.6,,SPA,6.8,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,2876,,Damage,76541,56050,219,78503.59385,,Damage,2872,,Damage,114867,56050,241,63814.85333,,Damage,3866,,Damage,154628,56050,199,64428.455
,Range ,29.1,,Range ,50.6,56050,,,,Range ,29.1,,Range ,44.3,56050,,,,Range ,27.8,,Range ,44.3,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,2876,,Damage,76541,56050,292,78503.59385,,Damage,2872,,Damage,114867,56050,241,63814.85333,,Damage,3866,,Damage,154628,56050,266,64428.455
,Range ,28.5,,Range ,49.5,56050,,,,Range ,28.5,,Range ,43.3,56050,,,,Range ,27.2,,Range ,43.3,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,2876,,Damage,76541,56050,292,78503.59385,,Damage,2872,,Damage,114867,56050,241,63814.85333,,Damage,3866,,Damage,154628,56050,266,64428.455
,Range ,27.8,,Range ,48.4,56050,,,,Range ,27.8,,Range ,42.4,56050,,,,Range ,26.6,,Range ,42.4,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
,Unique Itachi DPS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,DMG,,,Burn DMG,,, DPS,,,,,,,,,,,,,,,,,,,
,306164,,,62764,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,184540,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attacks,SPA,Burn Time,,Ticks,,200% DPS,,,,,,,,,,,,,,,,,,,
,1,0,20,,10,,,,4.68,,,,,,,,,,,,,,,,,
,2,4.68,20,,10,,605490,,4.68,,,,,,,,,,,,,,,,,
,3,9.36,20,,10,,,,4.68,,,,,,,,,,,,,,,,,
,4,14.04,20,,10,,300% DPS,,4.68,,,,,,,,,,,,,,,,,
,5,18.72,20,,10,,,,4.68,,,,,,,,,,,,,,,,,
,6,23.4,20,,10,,1262850,,4.68,,,,,,,,,,,,,,,,,
,7,28.08,20,,10,,,,4.68,,,,,,,,,,,,,,,,,
,8,32.76,20,,10,,,,4.68,,,,,,,,,,,,,,,,,
,9,37.44,20,,10,,Dmg,Burn,4.68,,,,,,,,,,,,,,,,,
,10,42.12,17.88,,9,,612328,251054,4.68,,,,,,,,,,,,,,,,,
,11,46.8,13.2,,7,,918492,564873,4.68,,,,,,,,,,,,,,,,,
,12,51.48,8.52,,5,,,,4.68,,,,,,,,,,,,,,,,,
,13,56.16,3.84,,2,,,,4.68,,,,,,,,,,,,,,,,,
,,,,,,,Aoe DPS,,4.68,,,,,,,,,,,,,,,,,
,,,,,,,100%,4281336,4.68,,,,,,,,,,,,,,,,,
,,,,,,,200%,14652867,4.68,,,,,,,,,,,,,,,,,
,,,,,113,,300%,30560971,,,,,,,,,,,,,,,,,,
