,Erza(TrueHeart),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Erza(Lightning),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Erza(Valkyrie),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gildarts,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gray,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jellal,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Natsu,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,8284,,Damage,165673,56050,672,42611.40741,,Damage,6627,,Damage,212062,56050,580,37400.64339,,Damage,7179,,Damage,244092,56050,651,41853.87654,,Damage,8942,,Damage,238570,56050,363,29453.03704,,Damage,9940,,Damage,182240,56050,307,18749.02222,,Damage,6318,,Damage,244090,56050,558,33482.79835,,Damage,5964,,Damage,122267,56050,626,35220.88889
,Range ,18.8,,Range ,31.5,56050,,,,Range ,30.3,,Range ,48.4,56050,,,,Range ,20.6,,Range ,39.9,56050,,,,Range ,20.0,,Range ,30.3,56050,,,,Range ,21.8,,Range ,42.4,56050,,,,Range ,24.2,,Range ,33.3,56050,,,,Range ,18.2,,Range ,30.3,56050,,
,SPA,6.5,,SPA,4.9,56050,,,,SPA,7.3,,SPA,5.7,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,6.9,,SPA,8.1,56050,,,,SPA,9.7,,SPA,9.7,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,6.1,,SPA,4.9,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,2485,,Damage,49702,56050,202,51133.68889,,Damage,1988,,Damage,63618,56050,174,44880.77206,,Damage,2154,,Damage,73228,56050,195,50224.65185,,Damage,2683,,Damage,71571,56050,109,35343.64444,,Damage,2982,,Damage,54672,56050,92,22498.82667,,Damage,1895,,Damage,73227,56050,167,40179.35802,,Damage,1789,,Damage,36680,56050,188,42265.06667
,Range ,20.5,,Range ,34.3,56050,,,,Range ,33.0,,Range ,52.8,56050,,,,Range ,22.4,,Range ,43.6,56050,,,,Range ,21.8,,Range ,33.0,56050,,,,Range ,23.8,,Range ,46.2,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,19.8,,Range ,33.0,56050,,
,SPA,6.5,,SPA,4.9,56050,,,,SPA,7.3,,SPA,5.7,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,6.9,,SPA,8.1,56050,,,,SPA,9.7,,SPA,9.7,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,6.1,,SPA,4.9,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,2278,,Damage,45560,56050,200,50622.352,,Damage,1822,,Damage,58317,56050,172,44431.96434,,Damage,1974,,Damage,67125,56050,193,49722.40533,,Damage,2459,,Damage,65607,56050,106,34460.05333,,Damage,2734,,Damage,50116,56050,91,22273.8384,,Damage,1737,,Damage,67125,56050,166,39777.56444,,Damage,1640,,Damage,33623,56050,186,41842.416
,Range ,17.1,,Range ,31.5,56050,,,,Range ,27.5,,Range ,48.4,56050,,,,Range ,18.7,,Range ,39.9,56050,,,,Range ,18.2,,Range ,30.3,56050,,,,Range ,19.8,,Range ,42.4,56050,,,,Range ,22.0,,Range ,33.3,56050,,,,Range ,16.5,,Range ,30.3,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,2692,,Damage,53844,56050,197,49855.34667,,Damage,2154,,Damage,68920,56050,170,43758.75276,,Damage,2333,,Damage,79330,56050,191,48969.03556,,Damage,2906,,Damage,77535,56050,106,34460.05333,,Damage,3231,,Damage,59228,56050,90,21936.356,,Damage,2053,,Damage,79329,56050,163,39174.87407,,Damage,1938,,Damage,39737,56050,183,41208.44
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,2071,,Damage,41418,56050,189,47937.83333,,Damage,1657,,Damage,53015,56050,163,42075.72381,,Damage,1795,,Damage,61023,56050,183,47085.61111,,Damage,2236,,Damage,59642,56050,102,33134.66667,,Damage,2485,,Damage,45560,56050,86,21092.65,,Damage,1579,,Damage,61022,56050,157,37668.14815,,Damage,1491,,Damage,30567,56050,176,39623.5
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,5.8,,SPA,4.3,56050,,,,SPA,6.5,,SPA,5.0,56050,,,,SPA,5.0,,SPA,6.5,56050,,,,SPA,6.1,,SPA,7.2,56050,,,,SPA,8.6,,SPA,8.6,56050,,,,SPA,5.0,,SPA,6.5,56050,,,,SPA,5.4,,SPA,4.3,56050,,
,,,,Max Upgrade,,63400,,4,,,,,Max Upgrade,,64500,,4,,,,,Max Upgrade,,64250,,4,,,,,Max Upgrade,,81050,,4,,,,,Max Upgrade,,61150,,4,,,,,Max Upgrade,,60025,,4,,,,,Max Upgrade,,56250,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,2071,,Damage,41418,56050,151,38350.26667,,Damage,1657,,Damage,53015,56050,130,33660.57905,,Damage,1795,,Damage,61023,56050,147,37668.48889,,Damage,2236,,Damage,59642,56050,82,26507.73333,,Damage,2485,,Damage,45560,56050,69,16874.12,,Damage,1579,,Damage,61022,56050,126,30134.51852,,Damage,1491,,Damage,30567,56050,141,31698.8
,Range ,21.3,,Range ,35.8,56050,,,,Range ,34.4,,Range ,55.0,56050,,,,Range ,23.4,,Range ,45.4,56050,,,,Range ,22.7,,Range ,34.4,56050,,,,Range ,24.8,,Range ,48.1,56050,,,,Range ,27.5,,Range ,37.8,56050,,,,Range ,20.6,,Range ,34.4,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,2382,,Damage,47631,56050,174,44102.80667,,Damage,1905,,Damage,60968,56050,150,38709.6659,,Damage,2064,,Damage,70176,56050,169,43318.76222,,Damage,2571,,Damage,68589,56050,94,30483.89333,,Damage,2858,,Damage,52394,56050,79,19405.238,,Damage,1816,,Damage,70176,56050,144,34654.6963,,Damage,1715,,Damage,35152,56050,162,36453.62
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,2330,,Damage,46596,56050,170,43144.05,,Damage,1864,,Damage,59642,56050,147,37868.15143,,Damage,2019,,Damage,68651,56050,165,42377.05,,Damage,2515,,Damage,67098,56050,92,29821.2,,Damage,2796,,Damage,51255,56050,78,18983.385,,Damage,1777,,Damage,68650,56050,141,33901.33333,,Damage,1677,,Damage,34388,56050,158,35661.15
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,2278,,Damage,45560,56050,166,42185.29333,,Damage,1822,,Damage,58317,56050,144,37026.63695,,Damage,1974,,Damage,67125,56050,161,41435.33778,,Damage,2459,,Damage,65607,56050,90,29158.50667,,Damage,2734,,Damage,50116,56050,76,18561.532,,Damage,1737,,Damage,67125,56050,138,33147.97037,,Damage,1640,,Damage,33623,56050,155,34868.68
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,2071,,Damage,41418,56050,173,43828.87619,,Damage,1657,,Damage,53015,56050,149,38469.2332,,Damage,1795,,Damage,61023,56050,168,43049.70159,,Damage,2236,,Damage,59642,56050,93,30294.55238,,Damage,2485,,Damage,45560,56050,79,19284.70857,,Damage,1579,,Damage,61022,56050,143,34439.44974,,Damage,1491,,Damage,30567,56050,161,36227.2
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,6.3,,SPA,4.7,56050,,,,SPA,7.1,,SPA,5.5,56050,,,,SPA,5.5,,SPA,7.1,56050,,,,SPA,6.7,,SPA,7.9,56050,,,,SPA,9.5,,SPA,9.5,56050,,,,SPA,5.5,,SPA,7.1,56050,,,,SPA,5.9,,SPA,4.7,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,2071,,Damage,41418,56050,163,41459.74775,,Damage,1657,,Damage,53015,56050,141,36389.81519,,Damage,1795,,Damage,61023,56050,158,40722.69069,,Damage,2236,,Damage,59642,56050,88,28657.00901,,Damage,2485,,Damage,45560,56050,75,18242.29189,,Damage,1579,,Damage,61022,56050,136,32577.85786,,Damage,1491,,Damage,30567,56050,152,34268.97297
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,6.7,,SPA,5.0,56050,,,,SPA,7.5,,SPA,5.8,56050,,,,SPA,5.8,,SPA,7.5,56050,,,,SPA,7.1,,SPA,8.3,56050,,,,SPA,10.0,,SPA,10.0,56050,,,,SPA,5.8,,SPA,7.5,56050,,,,SPA,6.2,,SPA,5.0,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,2071,,Damage,41418,56050,159,40368.70175,,Damage,1657,,Damage,53015,56050,137,35432.18847,,Damage,1795,,Damage,61023,56050,154,39651.04094,,Damage,2236,,Damage,59642,56050,86,27902.87719,,Damage,2485,,Damage,45560,56050,73,17762.23158,,Damage,1579,,Damage,61022,56050,132,31720.54581,,Damage,1491,,Damage,30567,56050,148,33367.15789
,Range ,17.1,,Range ,28.6,56050,,,,Range ,27.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.2,,Range ,27.5,56050,,,,Range ,19.8,,Range ,38.5,56050,,,,Range ,22.0,,Range ,30.3,56050,,,,Range ,16.5,,Range ,27.5,56050,,
,SPA,6.8,,SPA,5.1,56050,,,,SPA,7.7,,SPA,6.0,56050,,,,SPA,6.0,,SPA,7.7,56050,,,,SPA,7.3,,SPA,8.6,56050,,,,SPA,10.3,,SPA,10.3,56050,,,,SPA,6.0,,SPA,7.7,56050,,,,SPA,6.4,,SPA,5.1,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,2071,,Damage,41418,56050,151,38350.26667,,Damage,1657,,Damage,53015,56050,130,33660.57905,,Damage,1795,,Damage,61023,56050,147,37668.48889,,Damage,2236,,Damage,59642,56050,82,26507.73333,,Damage,2485,,Damage,45560,56050,69,16874.12,,Damage,1579,,Damage,61022,56050,126,30134.51852,,Damage,1491,,Damage,30567,56050,141,31698.8
,Range ,19.6,,Range ,32.9,56050,,,,Range ,31.6,,Range ,50.6,56050,,,,Range ,21.5,,Range ,41.7,56050,,,,Range ,20.9,,Range ,31.6,56050,,,,Range ,22.8,,Range ,44.3,56050,,,,Range ,25.3,,Range ,34.8,56050,,,,Range ,19.0,,Range ,31.6,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,2071,,Damage,41418,56050,151,38350.26667,,Damage,1657,,Damage,53015,56050,130,33660.57905,,Damage,1795,,Damage,61023,56050,147,37668.48889,,Damage,2236,,Damage,59642,56050,82,26507.73333,,Damage,2485,,Damage,45560,56050,69,16874.12,,Damage,1579,,Damage,61022,56050,126,30134.51852,,Damage,1491,,Damage,30567,56050,141,31698.8
,Range ,19.2,,Range ,32.2,56050,,,,Range ,30.9,,Range ,49.5,56050,,,,Range ,21.0,,Range ,40.8,56050,,,,Range ,20.4,,Range ,30.9,56050,,,,Range ,22.3,,Range ,43.3,56050,,,,Range ,24.8,,Range ,34.0,56050,,,,Range ,18.6,,Range ,30.9,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,8.1,,SPA,6.3,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,10.8,,SPA,10.8,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.8,,SPA,5.4,56050,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
