v,Homura,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Madoka,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Sayako,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Kyoka,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Mamy,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Charmi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Mash Vandead,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Range ,20.6,,Range ,44.0,56050,,,,Range ,37.5,,Range ,61.9,56050,,,,Range ,26.1,,Range ,34.4,56050,,,,Range ,27.5,,Range ,55.0,56050,,,,Range ,20.6,,Range ,48.1,56050,,,,Range ,27.5,,Range ,48.1,56050,,,,Range ,33.7,,Range ,42.6,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,9525,,Damage,158770,56050,397,88205.46,,Damage,7017,,Damage,122189,56050,332,83548.26667,,Damage,8281,,Damage,107153,56050,752,165359.3519,,Damage,6605,,Damage,198145,56050,343,110080.3,,Damage,13336,,Damage,275625,56050,354,102083.2,,Damage,4954,,Damage,66048,56050,186,45866.79167,,Damage,4128,,Damage,115585,56050,327,98790.30769
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,9318,,Damage,155318,56050,388,86287.95,,Damage,6865,,Damage,119533,56050,325,81732,,Damage,8101,,Damage,104823,56050,735,161764.5833,,Damage,6461,,Damage,193837,56050,335,107687.25,,Damage,13046,,Damage,269633,56050,346,99864,,Damage,4847,,Damage,64612,56050,182,44869.6875,,Damage,4038,,Damage,113072,56050,320,96642.69231
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,9111,,Damage,151867,56050,380,84370.44,,Damage,6712,,Damage,116877,56050,318,79915.73333,,Damage,7921,,Damage,102494,56050,719,158169.8148,,Damage,6318,,Damage,189530,56050,328,105294.2,,Damage,12756,,Damage,263641,56050,338,97644.8,,Damage,4739,,Damage,63177,56050,178,43872.58333,,Damage,3949,,Damage,110559,56050,313,94495.07692
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,8282,,Damage,138061,56050,394,87657.6,,Damage,6102,,Damage,106252,56050,330,83029.33333,,Damage,7201,,Damage,93176,56050,747,164332.2751,,Damage,5743,,Damage,172300,56050,341,109396.5714,,Damage,11597,,Damage,239674,56050,352,101449.1429,,Damage,4308,,Damage,57433,56050,185,45581.90476,,Damage,3590,,Damage,100508,56050,325,98176.7033
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,3.9,,SPA,4.7,56050,,,,SPA,6.3,,SPA,5.1,56050,,,,SPA,5.5,,SPA,3.5,56050,,,,SPA,5.1,,SPA,6.3,56050,,,,SPA,4.7,,SPA,7.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.1,,SPA,5.1,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,8282,,Damage,138061,56050,373,82919.35135,,Damage,6102,,Damage,106252,56050,312,78541.26126,,Damage,7201,,Damage,93176,56050,707,155449.4494,,Damage,5743,,Damage,172300,56050,322,103483.2432,,Damage,11597,,Damage,239674,56050,333,95965.40541,,Damage,4308,,Damage,57433,56050,175,43118.01802,,Damage,3590,,Damage,100508,56050,308,92869.85447
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.2,,SPA,5.0,56050,,,,SPA,6.7,,SPA,5.4,56050,,,,SPA,5.8,,SPA,3.7,56050,,,,SPA,5.4,,SPA,6.7,56050,,,,SPA,5.0,,SPA,7.5,56050,,,,SPA,6.7,,SPA,6.7,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,8282,,Damage,138061,56050,363,80737.26316,,Damage,6102,,Damage,106252,56050,304,76474.38596,,Damage,7201,,Damage,93176,56050,688,151358.6745,,Damage,5743,,Damage,172300,56050,314,100760,,Damage,11597,,Damage,239674,56050,324,93440,,Damage,4308,,Damage,57433,56050,170,41983.33333,,Damage,3590,,Damage,100508,56050,299,90425.91093
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.3,,SPA,5.1,56050,,,,SPA,6.8,,SPA,5.6,56050,,,,SPA,6.0,,SPA,3.8,56050,,,,SPA,5.6,,SPA,6.8,56050,,,,SPA,5.1,,SPA,7.7,56050,,,,SPA,6.8,,SPA,6.8,56050,,,,SPA,5.6,,SPA,5.6,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,8282,,Damage,138061,56050,345,76700.4,,Damage,6102,,Damage,106252,56050,289,72650.66667,,Damage,7201,,Damage,93176,56050,654,143790.7407,,Damage,5743,,Damage,172300,56050,298,95722,,Damage,11597,,Damage,239674,56050,308,88768,,Damage,4308,,Damage,57433,56050,162,39884.16667,,Damage,3590,,Damage,100508,56050,284,85904.61538
,Range ,19.0,,Range ,40.5,56050,,,,Range ,34.5,,Range ,56.9,56050,,,,Range ,24.0,,Range ,31.6,56050,,,,Range ,25.3,,Range ,50.6,56050,,,,Range ,19.0,,Range ,44.3,56050,,,,Range ,25.3,,Range ,44.3,56050,,,,Range ,31.0,,Range ,39.2,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,8282,,Damage,138061,56050,345,76700.4,,Damage,6102,,Damage,106252,56050,289,72650.66667,,Damage,7201,,Damage,93176,56050,654,143790.7407,,Damage,5743,,Damage,172300,56050,298,95722,,Damage,11597,,Damage,239674,56050,308,88768,,Damage,4308,,Damage,57433,56050,162,39884.16667,,Damage,3590,,Damage,100508,56050,284,85904.61538
,Range ,18.6,,Range ,39.6,56050,,,,Range ,33.8,,Range ,55.7,56050,,,,Range ,23.5,,Range ,30.9,56050,,,,Range ,24.8,,Range ,49.5,56050,,,,Range ,18.6,,Range ,43.3,56050,,,,Range ,24.8,,Range ,43.3,56050,,,,Range ,30.3,,Range ,38.4,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
