v,Tengen,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gyutaro,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Daki,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Carrot,,,Phy,Cost Per Units,¥,DPS VALUE,Placement Limit,,Mirko,,,Phy,Cost Per Units,¥,DPS VALUE,Placement Limit,,Fugo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yoshino,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Damage,8744,,Damage,262350,56050,328,91093.89583,,Damage,7366,,Damage,174963,56050,392,97201.83333,,Damage,7111,,Damage,120030,56050,396,93356.38667,,Damage,4541,,Damage,124475,56050,332,69152.56667,,Damage,6429,,Damage,84020,56050,379,82982.63704,,Damage,6857,,Damage,85734,56050,168,41438.042,,Damage,4444,,Damage,76208,56050,170,42337.63333
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,8554,,Damage,256647,56050,320,89113.59375,,Damage,7206,,Damage,171160,56050,384,95088.75,,Damage,6957,,Damage,117420,56050,387,91326.9,,Damage,4442,,Damage,121769,56050,325,67649.25,,Damage,6290,,Damage,82193,56050,371,81178.66667,,Damage,6708,,Damage,83870,56050,165,40537.215,,Damage,4347,,Damage,74551,56050,167,41417.25
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,8364,,Damage,250944,56050,313,87133.29167,,Damage,7046,,Damage,167356,56050,375,92975.66667,,Damage,6802,,Damage,114811,56050,379,89297.41333,,Damage,4343,,Damage,119063,56050,317,66145.93333,,Damage,6150,,Damage,80367,56050,363,79374.6963,,Damage,6559,,Damage,82006,56050,161,39636.388,,Damage,4250,,Damage,72894,56050,163,40496.86667
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,7603,,Damage,228131,56050,326,90528.09524,,Damage,6406,,Damage,152142,56050,390,96598.09524,,Damage,6184,,Damage,104374,56050,393,92776.53333,,Damage,3949,,Damage,108239,56050,330,68723.04762,,Damage,5591,,Damage,73061,56050,377,82467.21693,,Damage,5963,,Damage,74551,56050,161,39583.13714,,Damage,3864,,Damage,66268,56050,169,42074.66667
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,5.9,,SPA,9.5,56050,,,,SPA,5.1,,SPA,6.3,56050,,,,SPA,4.7,,SPA,6.3,56050,,,,SPA,4.7,,SPA,6.3,56050,,,,SPA,5.1,,SPA,3.5,56050,,,,SPA,9.5,,SPA,7.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,7603,,Damage,228131,56050,308,85634.68468,,Damage,6406,,Damage,152142,56050,369,91376.57658,,Damage,6184,,Damage,104374,56050,372,87761.58559,,Damage,3949,,Damage,108239,56050,312,65008.28829,,Damage,5591,,Damage,73061,56050,357,78009.52953,,Damage,5963,,Damage,74551,56050,155,38047.9773,,Damage,3864,,Damage,66268,56050,160,39800.36036
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.2,,SPA,10.0,56050,,,,SPA,5.4,,SPA,6.7,56050,,,,SPA,5.0,,SPA,6.7,56050,,,,SPA,5.0,,SPA,6.7,56050,,,,SPA,5.4,,SPA,3.7,56050,,,,SPA,10.0,,SPA,8.3,56050,,,,SPA,6.7,,SPA,6.7,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,7603,,Damage,228131,56050,300,83381.14035,,Damage,6406,,Damage,152142,56050,359,88971.92982,,Damage,6184,,Damage,104374,56050,362,85452.07018,,Damage,3949,,Damage,108239,56050,304,63297.54386,,Damage,5591,,Damage,73061,56050,347,75956.64717,,Damage,5963,,Damage,74551,56050,152,37340.99579,,Damage,3864,,Damage,66268,56050,156,38752.98246
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.4,,SPA,10.3,56050,,,,SPA,5.6,,SPA,6.8,56050,,,,SPA,5.1,,SPA,6.8,56050,,,,SPA,5.1,,SPA,6.8,56050,,,,SPA,5.6,,SPA,3.8,56050,,,,SPA,10.3,,SPA,8.6,56050,,,,SPA,6.8,,SPA,6.8,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,7603,,Damage,228131,56050,214,79212.08333,,Damage,6406,,Damage,152142,56050,341,84523.33333,,Damage,6184,,Damage,104374,56050,344,81179.46667,,Damage,3949,,Damage,108239,56050,289,60132.66667,,Damage,5591,,Damage,73061,56050,330,72158.81481,,Damage,5963,,Damage,74551,56050,110,36033.08,,Damage,3864,,Damage,66268,56050,148,36815.33333
,Range ,25.3,,Range ,31.6,56050,,,,Range ,25.3,,Range ,44.3,56050,,,,Range ,12.7,,Range ,44.3,56050,,,,Range ,32.9,,Range ,44.3,56050,,,,Range ,24.0,,Range ,41.7,56050,,,,Range ,29.1,,Range ,41.7,56050,,,,Range ,20.2,,Range ,44.3,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,7603,,Damage,228131,56050,285,79212.08333,,Damage,6406,,Damage,152142,56050,341,84523.33333,,Damage,6184,,Damage,104374,56050,344,81179.46667,,Damage,3949,,Damage,108239,56050,289,60132.66667,,Damage,5591,,Damage,73061,56050,330,72158.81481,,Damage,5963,,Damage,74551,56050,146,36033.08,,Damage,3864,,Damage,66268,56050,148,36815.33333
,Range ,24.8,,Range ,30.9,56050,,,,Range ,24.8,,Range ,43.3,56050,,,,Range ,12.4,,Range ,43.3,56050,,,,Range ,32.2,,Range ,43.3,56050,,,,Range ,23.5,,Range ,40.8,56050,,,,Range ,28.5,,Range ,40.8,56050,,,,Range ,19.8,,Range ,43.3,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
