v,Asuna,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Kirito,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Leafa,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Heathcliff,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Klien,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Stain,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,40635,,Damage,463881,56050,2271,127265.0535,,Damage,43070,,Damage,1091232,56050,2073,149688.8889,,Damage,19882,,Damage,198807,56050,1023,30680.07407,,Damage,88334,,Damage,1466737,56050,2373,181078.6284,,Damage,36446,,Damage,331344,56050,2076,81813.33333,,Damage,19049,,Damage,380630,56050,2836,188846.7185,
,Range ,24.2,,Range ,44.8,56050,,,,Range ,21.8,,Range ,38.7,56050,,,,Range ,30.3,,Range ,30.3,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,20.6,,Range ,37.5,56050,,,,Range ,23.0,,Range ,39.9,56050,,,
,SPA,5.7,,SPA,3.6,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,8.1,,SPA,6.5,56050,,,,SPA,7.3,,SPA,8.1,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,4.9,,SPA,5.3,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,12191,,Damage,139164,56050,681,152718.0642,,Damage,12921,,Damage,327370,56050,622,179626.6667,,Damage,5964,,Damage,59642,56050,307,55224.13333,,Damage,26500,,Damage,424117,56050,686,157080.256,,Damage,10934,,Damage,99403,56050,779,153400,,Damage,5715,,Damage,114189,56050,851,169962.0467,
,Range ,26.4,,Range ,48.8,56050,,,,Range ,23.8,,Range ,42.2,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,22.4,,Range ,39.6,56050,,,,Range ,22.4,,Range ,40.9,56050,,,,Range ,25.1,,Range ,43.6,56050,,,
,SPA,5.7,,SPA,3.6,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,8.1,,SPA,6.5,56050,,,,SPA,7.3,,SPA,8.1,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,4.9,,SPA,5.3,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,11175,,Damage,127567,56050,674,151190.8836,,Damage,11844,,Damage,300089,56050,616,177830.4,,Damage,5467,,Damage,54672,56050,304,54671.892,,Damage,24292,,Damage,388774,56050,679,155509.4534,,Damage,10023,,Damage,91120,56050,771,151866,,Damage,5239,,Damage,104673,56050,878,175327.878,
,Range ,22.0,,Range ,44.8,56050,,,,Range ,19.8,,Range ,38.7,56050,,,,Range ,27.5,,Range ,30.3,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,18.7,,Range ,37.5,56050,,,,Range ,20.9,,Range ,39.9,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,13206,,Damage,150761,56050,664,148900.1126,,Damage,13998,,Damage,354650,56050,606,175136,,Damage,6462,,Damage,64612,56050,299,53843.53,,Damage,28709,,Damage,459460,56050,669,153153.2496,,Damage,11845,,Damage,107687,56050,759,149565,,Damage,6191,,Damage,123705,56050,864,172671.395,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,10159,,Damage,115970,56050,639,143173.1852,,Damage,10768,,Damage,272808,56050,583,168400,,Damage,4970,,Damage,49702,56050,288,51772.625,,Damage,22084,,Damage,353431,56050,643,147262.74,,Damage,9112,,Damage,82836,56050,730,143812.5,,Damage,4762,,Damage,95158,56050,764,152648.65,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,5.0,,SPA,3.2,56050,,,,SPA,5.0,,SPA,6.5,56050,,,,SPA,7.2,,SPA,5.8,56050,,,,SPA,6.5,,SPA,7.2,56050,,,,SPA,5.0,,SPA,3.6,56050,,,,SPA,4.3,,SPA,4.7,56050,,,
,,,,Max Upgrade,,56050,,4,,,,,Max Upgrade,,72200,,4,,,,,Max Upgrade,,30000,,6,,,,,Max Upgrade,,76300,,3,,,,,Max Upgrade,,39400,,5,,,,,Max Upgrade,,66600,,3,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,10159,,Damage,115970,56050,511,114538.5481,,Damage,10768,,Damage,272808,56050,466,134720,,Damage,4970,,Damage,49702,56050,230,41418.1,,Damage,22084,,Damage,353431,56050,515,117810.192,,Damage,9112,,Damage,82836,56050,584,115050,,Damage,4762,,Damage,95158,56050,665,132824.15,
,Range ,27.5,,Range ,50.9,56050,,,,Range ,24.8,,Range ,44.0,56050,,,,Range ,34.4,,Range ,34.4,56050,,,,Range ,23.4,,Range ,41.3,56050,,,,Range ,23.4,,Range ,42.6,56050,,,,Range ,26.1,,Range ,45.4,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,11683,,Damage,133366,56050,588,131719.3304,,Damage,12383,,Damage,313729,56050,536,154928,,Damage,5716,,Damage,57157,56050,265,47630.815,,Damage,25396,,Damage,406445,56050,592,135481.7208,,Damage,10478,,Damage,95261,56050,672,132307.5,,Damage,5477,,Damage,109431,56050,765,152747.7725,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,11429,,Damage,130467,56050,575,128855.8667,,Damage,12114,,Damage,306909,56050,525,151560,,Damage,5592,,Damage,55914,56050,259,46595.3625,,Damage,24844,,Damage,397609,56050,579,132536.466,,Damage,10251,,Damage,93191,56050,657,129431.25,,Damage,5358,,Damage,107052,56050,748,149427.1688,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,11175,,Damage,127567,56050,562,125992.403,,Damage,11844,,Damage,300089,56050,513,148192,,Damage,5467,,Damage,54672,56050,253,45559.91,,Damage,24292,,Damage,388774,56050,566,129591.2112,,Damage,10023,,Damage,91120,56050,642,126555,,Damage,5239,,Damage,104673,56050,731,146106.565,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,10159,,Damage,115970,56050,584,130901.1979,,Damage,10768,,Damage,272808,56050,533,153965.7143,,Damage,4970,,Damage,49702,56050,263,47334.97143,,Damage,22084,,Damage,353431,56050,588,134640.2194,,Damage,9112,,Damage,82836,56050,667,131485.7143,,Damage,4762,,Damage,95158,56050,721,144152.4357,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,5.5,,SPA,3.5,56050,,,,SPA,5.5,,SPA,7.1,56050,,,,SPA,7.9,,SPA,6.3,56050,,,,SPA,7.1,,SPA,7.9,56050,,,,SPA,5.5,,SPA,3.9,56050,,,,SPA,4.7,,SPA,5.1,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,10159,,Damage,115970,56050,552,123825.4575,,Damage,10768,,Damage,272808,56050,504,145643.2432,,Damage,4970,,Damage,49702,56050,249,44776.32432,,Damage,22084,,Damage,353431,56050,556,127362.3697,,Damage,9112,,Damage,82836,56050,631,124378.3784,,Damage,4762,,Damage,95158,56050,697,139253.7176,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,5.8,,SPA,3.7,56050,,,,SPA,5.8,,SPA,7.5,56050,,,,SPA,8.3,,SPA,6.7,56050,,,,SPA,7.5,,SPA,8.3,56050,,,,SPA,5.8,,SPA,4.2,56050,,,,SPA,5.0,,SPA,5.4,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,10159,,Damage,115970,56050,538,120566.8928,,Damage,10768,,Damage,272808,56050,491,141810.5263,,Damage,4970,,Damage,49702,56050,242,43598,,Damage,22084,,Damage,353431,56050,542,124010.7284,,Damage,9112,,Damage,82836,56050,615,121105.2632,,Damage,4762,,Damage,95158,56050,686,136997.7289,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,6.0,,SPA,3.8,56050,,,,SPA,6.0,,SPA,7.7,56050,,,,SPA,8.6,,SPA,6.8,56050,,,,SPA,7.7,,SPA,8.6,56050,,,,SPA,6.0,,SPA,4.3,56050,,,,SPA,5.1,,SPA,5.6,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,10159,,Damage,115970,56050,511,114538.5481,,Damage,10768,,Damage,272808,56050,466,134720,,Damage,4970,,Damage,49702,56050,230,41418.1,,Damage,22084,,Damage,353431,56050,515,117810.192,,Damage,9112,,Damage,82836,56050,584,115050,,Damage,4762,,Damage,95158,56050,665,132824.15,
,Range ,25.3,,Range ,46.8,56050,,,,Range ,22.8,,Range ,40.5,56050,,,,Range ,31.6,,Range ,31.6,56050,,,,Range ,21.5,,Range ,38.0,56050,,,,Range ,21.5,,Range ,39.2,56050,,,,Range ,24.0,,Range ,41.7,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,10159,,Damage,115970,56050,511,114538.5481,,Damage,10768,,Damage,272808,56050,466,134720,,Damage,4970,,Damage,49702,56050,230,41418.1,,Damage,22084,,Damage,353431,56050,515,117810.192,,Damage,9112,,Damage,82836,56050,584,115050,,Damage,4762,,Damage,95158,56050,665,132824.15,
,Range ,24.8,,Range ,45.8,56050,,,,Range ,22.3,,Range ,39.6,56050,,,,Range ,30.9,,Range ,30.9,56050,,,,Range ,21.0,,Range ,37.1,56050,,,,Range ,21.0,,Range ,38.4,56050,,,,Range ,23.5,,Range ,40.8,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
,Damage,10159,,Damage,115970,56050,511,114538.5481,,Damage,10768,,Damage,272808,56050,466,134720,,Damage,4970,,Damage,49702,56050,230,41418.1,,Damage,22084,,Damage,353431,56050,515,117810.192,,Damage,9112,,Damage,82836,56050,584,115050,,Damage,4762,,Damage,95158,56050,665,132824.15,
,Range ,24.2,,Range ,44.8,56050,,,,Range ,21.8,,Range ,38.7,56050,,,,Range ,30.3,,Range ,30.3,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,20.6,,Range ,37.5,56050,,,,Range ,23.0,,Range ,39.9,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unique Stain DPS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITH POWER,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG,,,Bleed DMG,,, DPS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380630,,,190315,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263269,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacks,SPA,Bleed Time,,Ticks,,200% DPS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.7,6.7,,3,,576021,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9.4,11.4,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14.1,16.1,,3,,300% DPS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18.8,20.8,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23.5,25.5,,3,,938254,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,28.2,30.2,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,32.9,34.9,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,37.6,39.6,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,42.3,44.3,,3,,Dmg,Bleed,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,47,49,,3,,761261,456756,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,51.7,53.7,,3,,1141891,799324,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,56.4,58.4,,3,,,,
