,All Might,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Armin,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Broly,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Diavolo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Levi,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Madara,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Rengoku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,3535,,Damage,105519,56050,250,52108.368,,Damage,57433,,Damage,244092,56050,106,18080.86222,,Damage,3949,,Damage,51600,56050,83,19111.21333,,Damage,1436,,Damage,21538,56050,108,11965.55533,,Damage,1953,,Damage,28027,56050,281,70068.687,,Damage,6461,,Damage,99073,56050,139,35225.7984,,Damage,897,,Damage,22435,56050,103,24927.67333
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,2719,,Damage,81169,56050,241,50104.2,,Damage,44179,,Damage,187763,56050,102,17385.44444,,Damage,3037,,Damage,39693,56050,80,18376.16667,,Damage,1104,,Damage,16568,56050,104,11505.34167,,Damage,1502,,Damage,21560,56050,271,67373.7375,,Damage,4970,,Damage,76210,56050,134,33870.96,,Damage,690,,Damage,17258,56050,99,23968.91667
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,6.5,,SPA,6.5,56050,,,,SPA,43.2,,SPA,32.4,56050,,,,SPA,5.8,,SPA,8.6,56050,,,,SPA,6.5,,SPA,4.3,56050,,,,SPA,5.0,,SPA,3.6,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,4.3,,SPA,4.3,56050,,
,,,,Max Upgrade,,52025,,4,,,,,Max Upgrade,,57000,,3,,,,,Max Upgrade,,57500,,4,,,,,Max Upgrade,,36900,,3,,,,,Max Upgrade,,41500,,6,,,,,Max Upgrade,,63400,,4,,,,,Max Upgrade,,60500,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,2719,,Damage,81169,56050,193,40083.36,,Damage,44179,,Damage,187763,56050,81,13908.35556,,Damage,3037,,Damage,39693,56050,64,14700.93333,,Damage,1104,,Damage,16568,56050,83,9204.273333,,Damage,1502,,Damage,21560,56050,216,53898.99,,Damage,4970,,Damage,76210,56050,107,27096.768,,Damage,690,,Damage,17258,56050,79,19175.13333
,Range ,16.5,,Range ,34.4,56050,,,,Range ,41.3,,Range ,41.3,56050,,,,Range ,16.5,,Range ,61.9,56050,,,,Range ,13.8,,Range ,27.5,56050,,,,Range ,24.8,,Range ,41.3,56050,,,,Range ,15.1,,Range ,41.3,56050,,,,Range ,20.6,,Range ,41.3,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,3127,,Damage,93344,56050,222,46095.864,,Damage,50806,,Damage,215927,56050,94,15994.60889,,Damage,3493,,Damage,45646,56050,74,16906.07333,,Damage,1270,,Damage,19053,56050,96,10584.91433,,Damage,1727,,Damage,24794,56050,249,61983.8385,,Damage,5716,,Damage,87641,56050,123,31161.2832,,Damage,794,,Damage,19846,56050,91,22051.40333
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,3059,,Damage,91315,56050,217,45093.78,,Damage,49702,,Damage,211233,56050,92,15646.9,,Damage,3417,,Damage,44654,56050,72,16538.55,,Damage,1243,,Damage,18639,56050,94,10354.8075,,Damage,1690,,Damage,24255,56050,244,60636.36375,,Damage,5591,,Damage,85736,56050,120,30483.864,,Damage,777,,Damage,19415,56050,89,21572.025
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,2991,,Damage,89286,56050,212,44091.696,,Damage,48597,,Damage,206539,56050,89,15299.19111,,Damage,3341,,Damage,43662,56050,70,16171.02667,,Damage,1215,,Damage,18224,56050,91,10124.70067,,Damage,1652,,Damage,23716,56050,238,59288.889,,Damage,5467,,Damage,83831,56050,118,29806.4448,,Damage,759,,Damage,18983,56050,87,21092.64667
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,2719,,Damage,81169,56050,220,45809.55429,,Damage,44179,,Damage,187763,56050,93,15895.26349,,Damage,3037,,Damage,39693,56050,73,16801.06667,,Damage,1104,,Damage,16568,56050,95,10519.16952,,Damage,1502,,Damage,21560,56050,247,61598.84571,,Damage,4970,,Damage,76210,56050,122,30967.73486,,Damage,690,,Damage,17258,56050,91,21914.4381
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.1,,SPA,7.1,56050,,,,SPA,47.3,,SPA,35.4,56050,,,,SPA,6.3,,SPA,9.5,56050,,,,SPA,7.1,,SPA,4.7,56050,,,,SPA,5.5,,SPA,3.9,56050,,,,SPA,7.9,,SPA,11.8,56050,,,,SPA,4.7,,SPA,4.7,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,2719,,Damage,81169,56050,208,43333.36216,,Damage,44179,,Damage,187763,56050,88,15036.06006,,Damage,3037,,Damage,39693,56050,69,15892.9009,,Damage,1104,,Damage,16568,56050,90,9950.565766,,Damage,1502,,Damage,21560,56050,234,58269.17838,,Damage,4970,,Damage,76210,56050,116,29293.80324,,Damage,690,,Damage,17258,56050,86,20729.87387
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.5,,SPA,7.5,56050,,,,SPA,50.0,,SPA,37.5,56050,,,,SPA,6.7,,SPA,10.0,56050,,,,SPA,7.5,,SPA,5.0,56050,,,,SPA,5.8,,SPA,4.2,56050,,,,SPA,8.3,,SPA,12.5,56050,,,,SPA,5.0,,SPA,5.0,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,2719,,Damage,81169,56050,203,42193.01053,,Damage,44179,,Damage,187763,56050,86,14640.37427,,Damage,3037,,Damage,39693,56050,67,15474.66667,,Damage,1104,,Damage,16568,56050,88,9688.708772,,Damage,1502,,Damage,21560,56050,228,56735.77895,,Damage,4970,,Damage,76210,56050,112,28522.91368,,Damage,690,,Damage,17258,56050,83,20184.35088
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.7,,SPA,7.7,56050,,,,SPA,51.3,,SPA,38.5,56050,,,,SPA,6.8,,SPA,10.3,56050,,,,SPA,7.7,,SPA,5.1,56050,,,,SPA,6.0,,SPA,4.3,56050,,,,SPA,8.6,,SPA,12.8,56050,,,,SPA,5.1,,SPA,5.1,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,2719,,Damage,81169,56050,193,40083.36,,Damage,44179,,Damage,187763,56050,81,13908.35556,,Damage,3037,,Damage,39693,56050,64,14700.93333,,Damage,1104,,Damage,16568,56050,83,9204.273333,,Damage,1502,,Damage,21560,56050,216,53898.99,,Damage,4970,,Damage,76210,56050,107,27096.768,,Damage,690,,Damage,17258,56050,79,19175.13333
,Range ,15.2,,Range ,31.6,56050,,,,Range ,38.0,,Range ,38.0,56050,,,,Range ,15.2,,Range ,56.9,56050,,,,Range ,12.7,,Range ,25.3,56050,,,,Range ,22.8,,Range ,38.0,56050,,,,Range ,13.9,,Range ,38.0,56050,,,,Range ,19.0,,Range ,38.0,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,2719,,Damage,81169,56050,193,40083.36,,Damage,44179,,Damage,187763,56050,81,13908.35556,,Damage,3037,,Damage,39693,56050,64,14700.93333,,Damage,1104,,Damage,16568,56050,83,9204.273333,,Damage,1502,,Damage,21560,56050,216,53898.99,,Damage,4970,,Damage,76210,56050,107,27096.768,,Damage,690,,Damage,17258,56050,79,19175.13333
,Range ,14.9,,Range ,30.9,56050,,,,Range ,37.1,,Range ,37.1,56050,,,,Range ,14.9,,Range ,55.7,56050,,,,Range ,12.4,,Range ,24.8,56050,,,,Range ,22.3,,Range ,37.1,56050,,,,Range ,13.6,,Range ,37.1,56050,,,,Range ,18.6,,Range ,37.1,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
