,Ghiaccio,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Hermes Castello,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jolyne Kujo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jotaro Kujo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Pucci,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Weather Report,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Damage,4666,,Damage,78397,56050,241,53604.48,,Damage,4487,,Damage,49357,56050,199,54840.88133,,Damage,5366,,Damage,148609,56050,256,66048.32,,Damage,5384,,Damage,301525,56050,355,67005.59493,,Damage,2872,,Damage,71792,56050,240,68373.06171,,Damage,3518,,Damage,66336,56050,179,49137.43467
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,3590,,Damage,60305,56050,232,51542.76923,,Damage,3452,,Damage,37967,56050,192,52731.61667,,Damage,4128,,Damage,114314,56050,246,63508,,Damage,4142,,Damage,231942,56050,341,64428.45667,,Damage,2209,,Damage,55224,56050,231,65743.32857,,Damage,2706,,Damage,51027,56050,172,47247.53333
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,5.8,,SPA,4.7,56050,,,,SPA,5.0,,SPA,3.6,56050,,,,SPA,5.8,,SPA,7.2,56050,,,,SPA,3.6,,SPA,10.8,56050,,,,SPA,3.6,,SPA,2.5,56050,,,,SPA,4.3,,SPA,4.3,56050,,
,,,,Max Upgrade,,55550,,4,,,,,Max Upgrade,,55000,,5,,,,,Max Upgrade,,64500,,4,,,,,Max Upgrade,,63000,,3,,,,,Max Upgrade,,94821,,3,,,,,Max Upgrade,,68700,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,3590,,Damage,60305,56050,186,41234.21538,,Damage,3452,,Damage,37967,56050,153,42185.29333,,Damage,4128,,Damage,114314,56050,197,50806.4,,Damage,4142,,Damage,231942,56050,273,51542.76533,,Damage,2209,,Damage,55224,56050,185,52594.66286,,Damage,2706,,Damage,51027,56050,138,37798.02667
,Range ,27.5,,Range ,44.0,56050,,,,Range ,22.0,,Range ,34.4,56050,,,,Range ,31.6,,Range ,39.9,56050,,,,Range ,19.3,,Range ,31.6,56050,,,,Range ,30.3,,Range ,48.1,56050,,,,Range ,33.0,,Range ,48.1,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,4128,,Damage,69351,56050,213,47419.34769,,Damage,3969,,Damage,43662,56050,176,48513.08733,,Damage,4747,,Damage,131462,56050,226,58427.36,,Damage,4763,,Damage,266734,56050,314,59274.18013,,Damage,2540,,Damage,63508,56050,213,60483.86229,,Damage,3112,,Damage,58681,56050,158,43467.73067
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,4038,,Damage,67843,56050,209,46388.49231,,Damage,3883,,Damage,42713,56050,173,47458.455,,Damage,4644,,Damage,128604,56050,222,57157.2,,Damage,4660,,Damage,260935,56050,307,57985.611,,Damage,2485,,Damage,62127,56050,208,59168.99571,,Damage,3044,,Damage,57406,56050,155,42522.78
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,3949,,Damage,66336,56050,204,45357.63692,,Damage,3797,,Damage,41763,56050,169,46403.82267,,Damage,4541,,Damage,125746,56050,217,55887.04,,Damage,4556,,Damage,255137,56050,300,56697.04187,,Damage,2430,,Damage,60747,56050,203,57854.12914,,Damage,2977,,Damage,56130,56050,151,41577.82933
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,3590,,Damage,60305,56050,212,47124.81758,,Damage,3452,,Damage,37967,56050,175,48211.76381,,Damage,4128,,Damage,114314,56050,225,58064.45714,,Damage,4142,,Damage,231942,56050,312,58906.01752,,Damage,2209,,Damage,55224,56050,211,60108.18612,,Damage,2706,,Damage,51027,56050,157,43197.74476
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,6.3,,SPA,5.1,56050,,,,SPA,5.5,,SPA,3.9,56050,,,,SPA,6.3,,SPA,7.9,56050,,,,SPA,3.9,,SPA,11.8,56050,,,,SPA,3.9,,SPA,2.8,56050,,,,SPA,4.7,,SPA,4.7,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,3590,,Damage,60305,56050,201,44577.53015,,Damage,3452,,Damage,37967,56050,166,45605.72252,,Damage,4128,,Damage,114314,56050,213,54925.83784,,Damage,4142,,Damage,231942,56050,295,55721.90847,,Damage,2209,,Damage,55224,56050,200,56859.09498,,Damage,2706,,Damage,51027,56050,149,40862.73153
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,6.7,,SPA,5.4,56050,,,,SPA,5.8,,SPA,4.2,56050,,,,SPA,6.7,,SPA,8.3,56050,,,,SPA,4.2,,SPA,12.5,56050,,,,SPA,4.2,,SPA,2.9,56050,,,,SPA,5.0,,SPA,5.0,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,3590,,Damage,60305,56050,195,43404.43725,,Damage,3452,,Damage,37967,56050,161,44405.57193,,Damage,4128,,Damage,114314,56050,207,53480.42105,,Damage,4142,,Damage,231942,56050,287,54255.54246,,Damage,2209,,Damage,55224,56050,195,55362.80301,,Damage,2706,,Damage,51027,56050,145,39787.39649
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,6.8,,SPA,5.6,56050,,,,SPA,6.0,,SPA,4.3,56050,,,,SPA,6.8,,SPA,8.6,56050,,,,SPA,4.3,,SPA,12.8,56050,,,,SPA,4.3,,SPA,3.0,56050,,,,SPA,5.1,,SPA,5.1,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,3590,,Damage,60305,56050,186,41234.21538,,Damage,3452,,Damage,37967,56050,153,42185.29333,,Damage,4128,,Damage,114314,56050,197,50806.4,,Damage,4142,,Damage,231942,56050,273,51542.76533,,Damage,2209,,Damage,55224,56050,185,52594.66286,,Damage,2706,,Damage,51027,56050,138,37798.02667
,Range ,25.3,,Range ,40.5,56050,,,,Range ,20.2,,Range ,31.6,56050,,,,Range ,29.1,,Range ,36.7,56050,,,,Range ,17.7,,Range ,29.1,56050,,,,Range ,27.8,,Range ,44.3,56050,,,,Range ,30.4,,Range ,44.3,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,3590,,Damage,60305,56050,186,41234.21538,,Damage,3452,,Damage,37967,56050,153,42185.29333,,Damage,4128,,Damage,114314,56050,197,50806.4,,Damage,4142,,Damage,231942,56050,273,51542.76533,,Damage,2209,,Damage,55224,56050,185,52594.66286,,Damage,2706,,Damage,51027,56050,138,37798.02667
,Range ,24.8,,Range ,39.6,56050,,,,Range ,19.8,,Range ,30.9,56050,,,,Range ,28.5,,Range ,35.9,56050,,,,Range ,17.3,,Range ,28.5,56050,,,,Range ,27.2,,Range ,43.3,56050,,,,Range ,29.7,,Range ,43.3,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,3590,,Damage,60305,56050,186,41234.21538,,Damage,3452,,Damage,37967,56050,153,42185.29333,,Damage,4128,,Damage,114314,56050,197,50806.4,,Damage,4142,,Damage,231942,56050,273,51542.76533,,Damage,2209,,Damage,55224,56050,185,52594.66286,,Damage,2706,,Damage,51027,56050,138,37798.02667
,Range ,24.2,,Range ,38.7,56050,,,,Range ,19.4,,Range ,30.3,56050,,,,Range ,27.8,,Range ,35.1,56050,,,,Range ,16.9,,Range ,27.8,56050,,,,Range ,26.6,,Range ,42.4,56050,,,,Range ,29.0,,Range ,42.4,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
