v,Gilgamesh ,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Saber,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Archer,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Illya,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Lancer,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Medea,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Bell,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Tsuna,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,30922,,Damage,2164795,56050,1887,222716,,Damage,40200,,Damage,1837867,56050,3033,226897.1852,,Damage,35784,,Damage,894634,56050,2523,157784,,Damage,33134,,Damage,1656730,56050,2319,227261,,Damage,40200,,Damage,1005082,56050,3981,193881.4815,,Damage,23856,,Damage,536779,56050,2139,94670.05291,,Damage,33134,,Damage,662688,56050,1967,102266.6667,,Damage,16099,,Damage,357850,56050,1552,103084.2469,
,Range ,27.8,,Range ,42.4,56050,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,25.4,,Range ,50.8,56050,,,,Range ,16.9,,Range ,30.3,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,30.3,,Range ,54.5,56050,,,,Range ,23.0,,Range ,33.9,56050,,,,Range ,25.4,,Range ,38.7,56050,,,
,SPA,5.7,,SPA,9.7,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,4.9,,SPA,7.3,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,6.1,,SPA,4.9,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,9276,,Damage,649439,56050,566,200444,,Damage,12060,,Damage,551360,56050,910,204207.4667,,Damage,10735,,Damage,268390,56050,757,189340.4,,Damage,9940,,Damage,497019,56050,696,204535,,Damage,12060,,Damage,301524,56050,1194,232657.7778,,Damage,7157,,Damage,161034,56050,642,142005.0794,,Damage,9940,,Damage,198806,56050,590,122720,,Damage,4830,,Damage,107355,56050,466,123701.0963,
,Range ,30.4,,Range ,46.2,56050,,,,Range ,26.4,,Range ,52.8,56050,,,,Range ,27.7,,Range ,55.4,56050,,,,Range ,18.5,,Range ,33.0,56050,,,,Range ,22.4,,Range ,39.6,56050,,,,Range ,33.0,,Range ,59.4,56050,,,,Range ,25.1,,Range ,37.0,56050,,,,Range ,27.7,,Range ,42.2,56050,,,
,SPA,5.7,,SPA,9.7,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,4.9,,SPA,7.3,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,6.1,,SPA,4.9,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,8503,,Damage,595319,56050,561,198439.56,,Damage,11055,,Damage,505413,56050,901,202165.392,,Damage,9841,,Damage,246024,56050,749,187447,,Damage,9112,,Damage,455601,56050,689,202489.1733,,Damage,11055,,Damage,276397,56050,1182,230331.2,,Damage,6560,,Damage,147614,56050,635,140585.0286,,Damage,9112,,Damage,182239,56050,584,121492.8,,Damage,4427,,Damage,98409,56050,461,122464.0853,
,Range ,25.3,,Range ,42.4,56050,,,,Range ,22.0,,Range ,48.4,56050,,,,Range ,23.1,,Range ,50.8,56050,,,,Range ,15.4,,Range ,30.3,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,27.5,,Range ,54.5,56050,,,,Range ,20.9,,Range ,33.9,56050,,,,Range ,23.1,,Range ,38.7,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,10050,,Damage,703558,56050,552,195432.9,,Damage,13065,,Damage,597307,56050,887,199102.28,,Damage,11630,,Damage,290756,56050,738,184606.9333,,Damage,10769,,Damage,538437,56050,678,199421.1556,,Damage,13065,,Damage,326652,56050,1164,226841.3333,,Damage,7753,,Damage,174453,56050,626,138454.9524,,Damage,10769,,Damage,215374,56050,575,119652,,Damage,5232,,Damage,116301,56050,454,120608.5689,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,7730,,Damage,541199,56050,531,187916.25,,Damage,10050,,Damage,459467,56050,853,191444.5,,Damage,8946,,Damage,223658,56050,709,177506.6667,,Damage,8284,,Damage,414182,56050,652,191751.1111,,Damage,10050,,Damage,251270,56050,1120,218116.6667,,Damage,5964,,Damage,134195,56050,602,133129.7619,,Damage,8284,,Damage,165672,56050,553,115050,,Damage,4025,,Damage,89462,56050,437,115969.7778,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,5.0,,SPA,8.6,56050,,,,SPA,5.0,,SPA,7.2,56050,,,,SPA,5.0,,SPA,5.0,56050,,,,SPA,4.3,,SPA,6.5,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.0,,SPA,5.0,56050,,,,SPA,5.0,,SPA,5.8,56050,,,,SPA,5.4,,SPA,4.3,56050,,,
,,,,Max Upgrade,,118000,,3,,,,,Max Upgrade,,74800,,3,,,,,Max Upgrade,,62550,,4,,,,,Max Upgrade,,98000,,3,,,,,Max Upgrade,,48700,,4,,,,,Max Upgrade,,44250,,5,,,,,Max Upgrade,,52000,,4,,,,,Max Upgrade,,66400,,4,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,7730,,Damage,541199,56050,425,150333,,Damage,10050,,Damage,459467,56050,683,153155.6,,Damage,8946,,Damage,223658,56050,568,142005.3333,,Damage,8284,,Damage,414182,56050,522,153400.8889,,Damage,10050,,Damage,251270,56050,896,174493.3333,,Damage,5964,,Damage,134195,56050,481,106503.8095,,Damage,8284,,Damage,165672,56050,443,92040,,Damage,4025,,Damage,89462,56050,349,92775.82222,
,Range ,31.6,,Range ,48.1,56050,,,,Range ,27.5,,Range ,55.0,56050,,,,Range ,28.9,,Range ,57.8,56050,,,,Range ,19.3,,Range ,34.4,56050,,,,Range ,23.4,,Range ,41.3,56050,,,,Range ,34.4,,Range ,61.9,56050,,,,Range ,26.1,,Range ,38.5,56050,,,,Range ,28.9,,Range ,44.0,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,8890,,Damage,622379,56050,488,172882.95,,Damage,11558,,Damage,528387,56050,785,176128.94,,Damage,10288,,Damage,257207,56050,653,163306.1333,,Damage,9526,,Damage,476310,56050,600,176411.0222,,Damage,11558,,Damage,288961,56050,1030,200667.3333,,Damage,6859,,Damage,154324,56050,554,122479.381,,Damage,9526,,Damage,190523,56050,509,105846,,Damage,4629,,Damage,102882,56050,402,106692.1956,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,8697,,Damage,608849,56050,478,169124.625,,Damage,11306,,Damage,516900,56050,768,172300.05,,Damage,10064,,Damage,251616,56050,639,159756,,Damage,9319,,Damage,465955,56050,587,172576,,Damage,11306,,Damage,282679,56050,1008,196305,,Damage,6710,,Damage,150969,56050,542,119816.7857,,Damage,9319,,Damage,186381,56050,498,103545,,Damage,4528,,Damage,100645,56050,393,104372.8,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,8503,,Damage,595319,56050,467,165366.3,,Damage,11055,,Damage,505413,56050,751,168471.16,,Damage,9841,,Damage,246024,56050,624,156205.8667,,Damage,9112,,Damage,455601,56050,574,168740.9778,,Damage,11055,,Damage,276397,56050,985,191942.6667,,Damage,6560,,Damage,147614,56050,530,117154.1905,,Damage,9112,,Damage,182239,56050,487,101244,,Damage,4427,,Damage,98409,56050,384,102053.4044,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,7730,,Damage,541199,56050,485,171809.1429,,Damage,10050,,Damage,459467,56050,780,175034.9714,,Damage,8946,,Damage,223658,56050,649,162291.8095,,Damage,8284,,Damage,414182,56050,596,175315.3016,,Damage,10050,,Damage,251270,56050,1024,199420.9524,,Damage,5964,,Damage,134195,56050,550,121718.6395,,Damage,8284,,Damage,165672,56050,506,105188.5714,,Damage,4025,,Damage,89462,56050,399,106029.5111,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,5.5,,SPA,9.5,56050,,,,SPA,5.5,,SPA,7.9,56050,,,,SPA,5.5,,SPA,5.5,56050,,,,SPA,4.7,,SPA,7.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.5,,SPA,5.5,56050,,,,SPA,5.5,,SPA,6.3,56050,,,,SPA,5.9,,SPA,4.7,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,7730,,Damage,541199,56050,459,162522.1622,,Damage,10050,,Damage,459467,56050,738,165573.6216,,Damage,8946,,Damage,223658,56050,614,153519.2793,,Damage,8284,,Damage,414182,56050,564,165838.7988,,Damage,10050,,Damage,251270,56050,968,188641.4414,,Damage,5964,,Damage,134195,56050,520,115139.2535,,Damage,8284,,Damage,165672,56050,478,99502.7027,,Damage,4025,,Damage,89462,56050,378,100298.1862,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,5.8,,SPA,10.0,56050,,,,SPA,5.8,,SPA,8.3,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.0,,SPA,7.5,56050,,,,SPA,6.7,,SPA,6.7,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.8,,SPA,6.7,56050,,,,SPA,6.2,,SPA,5.0,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,7730,,Damage,541199,56050,447,158245.2632,,Damage,10050,,Damage,459467,56050,718,161216.4211,,Damage,8946,,Damage,223658,56050,597,149479.2982,,Damage,8284,,Damage,414182,56050,549,161474.6199,,Damage,10050,,Damage,251270,56050,943,183677.193,,Damage,5964,,Damage,134195,56050,507,112109.2732,,Damage,8284,,Damage,165672,56050,466,96884.21053,,Damage,4025,,Damage,89462,56050,368,97658.76023,
,Range ,25.3,,Range ,38.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,23.1,,Range ,46.2,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,27.5,,Range ,49.5,56050,,,,Range ,20.9,,Range ,30.8,56050,,,,Range ,23.1,,Range ,35.2,56050,,,
,SPA,6.0,,SPA,10.3,56050,,,,SPA,6.0,,SPA,8.6,56050,,,,SPA,6.0,,SPA,6.0,56050,,,,SPA,5.1,,SPA,7.7,56050,,,,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.0,,SPA,6.0,56050,,,,SPA,6.0,,SPA,6.8,56050,,,,SPA,6.4,,SPA,5.1,56050,,,
