,Akoji,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,DIO,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Esdeath,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Haku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Todoroki,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Toshiro,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,26508,,Damage,430750,56050,586,35452.69333,,Damage,110448,,Damage,1016129,56050,1538,192996.9231,,Damage,22973,,Damage,962009,56050,813,59383.26519,,Damage,23285,,Damage,259444,56050,756,45757.35026,,Damage,9278,,Damage,236581,56050,598,36509.45926,,Damage,15463,,Damage,165673,56050,560,42611.40741
,Range ,24.2,,Range ,32.7,56050,,,,Range ,27.8,,Range ,42.4,56050,,,,Range ,26.6,,Range ,38.7,56050,,,,Range ,24.2,,Range ,37.5,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,25.4,,Range ,46.0,56050,,
,SPA,12.2,,SPA,12.2,56050,,,,SPA,5.3,,SPA,5.3,56050,,,,SPA,6.5,,SPA,16.2,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,7952,,Damage,129225,56050,176,42543.232,,Damage,33134,,Damage,304839,56050,461,57899.07692,,Damage,6892,,Damage,288603,56050,244,53444.93867,,Damage,6986,,Damage,77833,56050,227,54908.82032,,Damage,2783,,Damage,70974,56050,179,43811.35111,,Damage,4639,,Damage,49702,56050,168,51133.68889
,Range ,26.4,,Range ,35.6,56050,,,,Range ,30.4,,Range ,46.2,56050,,,,Range ,29.0,,Range ,42.2,56050,,,,Range ,26.4,,Range ,40.9,56050,,,,Range ,25.1,,Range ,39.6,56050,,,,Range ,27.7,,Range ,50.2,56050,,
,SPA,12.2,,SPA,12.2,56050,,,,SPA,5.3,,SPA,5.3,56050,,,,SPA,6.5,,SPA,16.2,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,7290,,Damage,118456,56050,174,42117.79968,,Damage,30373,,Damage,279435,56050,457,57320.08615,,Damage,6318,,Damage,264552,56050,242,52910.48928,,Damage,6403,,Damage,71347,56050,224,54359.73211,,Damage,2551,,Damage,65060,56050,178,43373.2376,,Damage,4252,,Damage,45560,56050,166,50622.352
,Range ,22.0,,Range ,32.7,56050,,,,Range ,25.3,,Range ,42.4,56050,,,,Range ,24.2,,Range ,38.7,56050,,,,Range ,22.0,,Range ,37.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,23.1,,Range ,46.0,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,8615,,Damage,139994,56050,171,41479.6512,,Damage,35896,,Damage,330242,56050,450,56451.6,,Damage,7466,,Damage,312653,56050,238,52108.8152,,Damage,7568,,Damage,84319,56050,221,53536.09981,,Damage,3015,,Damage,76889,56050,175,42716.06733,,Damage,5025,,Damage,53844,56050,131,39884.27733
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,6627,,Damage,107688,56050,165,39884.28,,Damage,27612,,Damage,254032,56050,433,54280.38462,,Damage,5743,,Damage,240502,56050,229,50104.63,,Damage,5821,,Damage,64861,56050,213,51477.01905,,Damage,2319,,Damage,59145,56050,168,41073.14167,,Damage,3866,,Damage,41418,56050,157,47937.83333
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,10.8,,SPA,10.8,56050,,,,SPA,4.7,,SPA,4.7,56050,,,,SPA,5.8,,SPA,14.4,56050,,,,SPA,5.0,,SPA,5.0,56050,,,,SPA,5.0,,SPA,5.8,56050,,,,SPA,5.0,,SPA,4.3,56050,,
,,,,Max Upgrade,,60500,,4,,,,,Max Upgrade,,125500,,1,,,,,Max Upgrade,,73000,,3,,,,,Max Upgrade,,60550,,4,,,,,Max Upgrade,,61050,,4,,,,,Max Upgrade,,76100,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,6627,,Damage,107688,56050,132,31907.424,,Damage,27612,,Damage,254032,56050,346,43424.30769,,Damage,5743,,Damage,240502,56050,183,40083.704,,Damage,5821,,Damage,64861,56050,170,41181.61524,,Damage,2319,,Damage,59145,56050,135,32858.51333,,Damage,3866,,Damage,41418,56050,126,38350.26667
,Range ,27.5,,Range ,37.1,56050,,,,Range ,31.6,,Range ,48.1,56050,,,,Range ,30.3,,Range ,44.0,56050,,,,Range ,27.5,,Range ,42.6,56050,,,,Range ,26.1,,Range ,41.3,56050,,,,Range ,28.9,,Range ,52.3,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,7621,,Damage,123841,56050,152,36693.5376,,Damage,31754,,Damage,292137,56050,398,49937.95385,,Damage,6605,,Damage,276578,56050,210,46096.2596,,Damage,6695,,Damage,74590,56050,196,47358.85752,,Damage,2667,,Damage,68017,56050,155,37787.29033,,Damage,4446,,Damage,47631,56050,145,44102.80667
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,7455,,Damage,121149,56050,148,35895.852,,Damage,31064,,Damage,285786,56050,389,48852.34615,,Damage,6461,,Damage,270565,56050,206,45094.167,,Damage,6549,,Damage,72969,56050,191,46329.31714,,Damage,2609,,Damage,66538,56050,151,36965.8275,,Damage,4349,,Damage,46596,56050,142,43144.05
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,7290,,Damage,118456,56050,145,35098.1664,,Damage,30373,,Damage,279435,56050,381,47766.73846,,Damage,6318,,Damage,264552,56050,201,44092.0744,,Damage,6403,,Damage,71347,56050,187,45299.77676,,Damage,2551,,Damage,65060,56050,148,36144.36467,,Damage,4252,,Damage,45560,56050,139,42185.29333
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,6627,,Damage,107688,56050,151,36465.62743,,Damage,27612,,Damage,254032,56050,395,49627.78022,,Damage,5743,,Damage,240502,56050,209,45809.94743,,Damage,5821,,Damage,64861,56050,194,47064.70313,,Damage,2319,,Damage,59145,56050,154,37552.58667,,Damage,3866,,Damage,41418,56050,144,43828.87619
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,11.8,,SPA,11.8,56050,,,,SPA,5.1,,SPA,5.1,56050,,,,SPA,6.3,,SPA,15.8,56050,,,,SPA,5.5,,SPA,5.5,56050,,,,SPA,5.5,,SPA,6.3,56050,,,,SPA,5.5,,SPA,4.7,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,6627,,Damage,107688,56050,143,34494.51243,,Damage,27612,,Damage,254032,56050,374,46945.19751,,Damage,5743,,Damage,240502,56050,198,43333.73405,,Damage,5821,,Damage,64861,56050,184,44520.66512,,Damage,2319,,Damage,59145,56050,145,35522.71712,,Damage,3866,,Damage,41418,56050,136,41459.74775
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,12.5,,SPA,12.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.7,,SPA,16.7,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.8,,SPA,6.7,56050,,,,SPA,5.8,,SPA,5.0,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,6627,,Damage,107688,56050,139,33586.76211,,Damage,27612,,Damage,254032,56050,364,45709.79757,,Damage,5743,,Damage,240502,56050,193,42193.37263,,Damage,5821,,Damage,64861,56050,179,43349.06867,,Damage,2319,,Damage,59145,56050,142,34587.90877,,Damage,3866,,Damage,41418,56050,133,40368.70175
,Range ,22.0,,Range ,29.7,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,35.2,56050,,,,Range ,22.0,,Range ,34.1,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,23.1,,Range ,41.8,56050,,
,SPA,12.8,,SPA,12.8,56050,,,,SPA,5.6,,SPA,5.6,56050,,,,SPA,6.8,,SPA,17.1,56050,,,,SPA,6.0,,SPA,6.0,56050,,,,SPA,6.0,,SPA,6.8,56050,,,,SPA,6.0,,SPA,5.1,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,6627,,Damage,107688,56050,132,31907.424,,Damage,27612,,Damage,254032,56050,87,43424.30769,,Damage,5743,,Damage,240502,56050,137,40083.704,,Damage,5821,,Damage,64861,56050,170,41181.61524,,Damage,2319,,Damage,59145,56050,135,32858.51333,,Damage,3866,,Damage,41418,56050,126,38350.26667
,Range ,25.3,,Range ,34.2,56050,,,,Range ,29.1,,Range ,44.3,56050,,,,Range ,27.8,,Range ,40.5,56050,,,,Range ,25.3,,Range ,39.2,56050,,,,Range ,24.0,,Range ,38.0,56050,,,,Range ,26.6,,Range ,48.1,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,6627,,Damage,107688,56050,132,31907.424,,Damage,27612,,Damage,254032,56050,346,43424.30769,,Damage,5743,,Damage,240502,56050,183,40083.704,,Damage,5821,,Damage,64861,56050,170,41181.61524,,Damage,2319,,Damage,59145,56050,135,32858.51333,,Damage,3866,,Damage,41418,56050,126,38350.26667
,Range ,24.8,,Range ,33.4,56050,,,,Range ,28.5,,Range ,43.3,56050,,,,Range ,27.2,,Range ,39.6,56050,,,,Range ,24.8,,Range ,38.4,56050,,,,Range ,23.5,,Range ,37.1,56050,,,,Range ,26.0,,Range ,47.0,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,60500,,4,,,,,,,125500,,1,,,,,,,73000,,3,,,,,,,60550,,4,,,,,,,61050,,4,,,,,,,76100,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,6627,,Damage,107688,56050,132,31907.424,,Damage,27612,,Damage,254032,56050,346,43424.30769,,Damage,5743,,Damage,240502,56050,183,40083.704,,Damage,5821,,Damage,64861,56050,170,41181.61524,,Damage,2319,,Damage,59145,56050,135,32858.51333,,Damage,3866,,Damage,41418,56050,126,38350.26667
,Range ,24.2,,Range ,32.7,56050,,,,Range ,27.8,,Range ,42.4,56050,,,,Range ,26.6,,Range ,38.7,56050,,,,Range ,24.2,,Range ,37.5,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,25.4,,Range ,46.0,56050,,
,SPA,13.5,,SPA,13.5,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,7.2,,SPA,18.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
