v,Sasuke(Mangekyo),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Naruto(Six Tails),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Jiriya(Sage),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Pain,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Konan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chiko,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,3865,,Damage,185554,56050,683,171808.8889,,Damage,11597,,Damage,381048,56050,752,226814.2857,,Damage,5743,,Damage,172300,56050,417,119652.5,,Damage,7455,,Damage,402586,56050,480,129033.8462,,Damage,8946,,Damage,149105,56050,1640,268940.88,,Damage,4307,,Damage,142856,56050,1045,214681.4233,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,5.0,,SPA,6.5,56050,,,,SPA,3.6,,SPA,5.0,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.0,,SPA,9.4,56050,,,,SPA,5.0,,SPA,4.3,56050,,,,SPA,3.6,,SPA,5.8,56050,,,
,,,,Max Upgrade,,83850,,3,,,,,Max Upgrade,,100500,,3,,,,,Max Upgrade,,71700,,4,,,,,Max Upgrade,,89650,,3,,,,,Max Upgrade,,41000,,4,,,,,Max Upgrade,,51350,,4,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,3865,,Damage,185554,56050,546,137447.1111,,Damage,11597,,Damage,381048,56050,1351,407358.4571,,Damage,5743,,Damage,172300,56050,794,227818.36,,Damage,7455,,Damage,402586,56050,1173,315358.72,,Damage,8946,,Damage,149105,56050,1421,233045.28,,Damage,4307,,Damage,142856,56050,920,188887.9067,
,Range ,31.6,,Range ,50.9,56050,,,,Range ,23.4,,Range ,41.3,56050,,,,Range ,33.0,,Range ,45.4,56050,,,,Range ,27.5,,Range ,45.4,56050,,,,Range ,33.0,,Range ,55.0,56050,,,,Range ,41.3,,Range ,60.5,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,4445,,Damage,213387,56050,628,158064.1778,,Damage,13336,,Damage,438205,56050,1554,468462.2257,,Damage,6605,,Damage,198145,56050,913,261991.114,,Damage,8574,,Damage,462973,56050,1348,362662.528,,Damage,10288,,Damage,171471,56050,1634,268002.072,,Damage,4953,,Damage,164285,56050,1058,217221.0927,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,4348,,Damage,208748,56050,615,154628,,Damage,13046,,Damage,428679,56050,1520,458278.2643,,Damage,6461,,Damage,193837,56050,894,256295.655,,Damage,8387,,Damage,452909,56050,1319,354778.56,,Damage,10064,,Damage,167743,56050,1599,262175.94,,Damage,4845,,Damage,160713,56050,1035,212498.895,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,4252,,Damage,204109,56050,601,151191.8222,,Damage,12756,,Damage,419153,56050,1486,448094.3029,,Damage,6318,,Damage,189530,56050,874,250600.196,,Damage,8201,,Damage,442844,56050,1290,346894.592,,Damage,9841,,Damage,164015,56050,1563,256349.808,,Damage,4737,,Damage,157142,56050,1012,207776.6973,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,3865,,Damage,185554,56050,624,157082.4127,,Damage,11597,,Damage,381048,56050,1463,441056.5796,,Damage,5743,,Damage,172300,56050,856,245595.3029,,Damage,7455,,Damage,402586,56050,1244,334529.4629,,Damage,8946,,Damage,149105,56050,1546,253557.0514,,Damage,4307,,Damage,142856,56050,991,203627.059,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,5.5,,SPA,7.1,56050,,,,SPA,3.9,,SPA,5.5,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.5,,SPA,10.2,56050,,,,SPA,5.5,,SPA,4.7,56050,,,,SPA,3.9,,SPA,6.3,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,3865,,Damage,185554,56050,591,148591.4715,,Damage,11597,,Damage,381048,56050,1415,426484.4185,,Damage,5743,,Damage,172300,56050,830,237907.9762,,Damage,7455,,Damage,402586,56050,1213,326239.4119,,Damage,8946,,Damage,149105,56050,1492,244687.0962,,Damage,4307,,Damage,142856,56050,960,197253.3715,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,5.8,,SPA,7.5,56050,,,,SPA,4.2,,SPA,5.8,56050,,,,SPA,6.7,,SPA,6.7,56050,,,,SPA,5.8,,SPA,10.8,56050,,,,SPA,5.8,,SPA,5.0,56050,,,,SPA,4.2,,SPA,6.7,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,3865,,Damage,185554,56050,575,144681.1696,,Damage,11597,,Damage,381048,56050,1392,419773.5549,,Damage,5743,,Damage,172300,56050,817,234367.76,,Damage,7455,,Damage,402586,56050,1199,322421.6253,,Damage,8946,,Damage,149105,56050,1467,240602.2484,,Damage,4307,,Damage,142856,56050,946,194318.1207,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,6.0,,SPA,7.7,56050,,,,SPA,4.3,,SPA,6.0,56050,,,,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.0,,SPA,11.1,56050,,,,SPA,6.0,,SPA,5.1,56050,,,,SPA,4.3,,SPA,6.8,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,3865,,Damage,185554,56050,546,137447.1111,,Damage,11597,,Damage,381048,56050,1351,407358.4571,,Damage,5743,,Damage,172300,56050,794,227818.36,,Damage,7455,,Damage,402586,56050,1173,315358.72,,Damage,8946,,Damage,149105,56050,1421,233045.28,,Damage,4307,,Damage,142856,56050,920,188887.9067,
,Range ,29.1,,Range ,46.8,56050,,,,Range ,21.5,,Range ,38.0,56050,,,,Range ,30.4,,Range ,41.7,56050,,,,Range ,25.3,,Range ,41.7,56050,,,,Range ,30.4,,Range ,50.6,56050,,,,Range ,38.0,,Range ,55.7,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,3865,,Damage,185554,56050,546,137447.1111,,Damage,11597,,Damage,381048,56050,1351,407358.4571,,Damage,5743,,Damage,172300,56050,794,227818.36,,Damage,7455,,Damage,402586,56050,1173,315358.72,,Damage,8946,,Damage,149105,56050,1421,233045.28,,Damage,4307,,Damage,142856,56050,920,188887.9067,
,Range ,28.5,,Range ,45.8,56050,,,,Range ,21.0,,Range ,37.1,56050,,,,Range ,29.7,,Range ,40.8,56050,,,,Range ,24.8,,Range ,40.8,56050,,,,Range ,29.7,,Range ,49.5,56050,,,,Range ,37.1,,Range ,54.5,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
,Damage,3865,,Damage,185554,56050,546,137447.1111,,Damage,11597,,Damage,381048,56050,1351,407358.4571,,Damage,5743,,Damage,172300,56050,794,227818.36,,Damage,7455,,Damage,402586,56050,1173,315358.72,,Damage,8946,,Damage,149105,56050,1421,233045.28,,Damage,4307,,Damage,142856,56050,920,188887.9067,
,Range ,27.8,,Range ,44.8,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,29.0,,Range ,39.9,56050,,,,Range ,24.2,,Range ,39.9,56050,,,,Range ,29.0,,Range ,48.4,56050,,,,Range ,36.3,,Range ,53.2,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,
,Unique Sasuke DPS,,,,,,,,,Unique Naruto DPS,,,,,,,,,Unique Jiriya DPS,,,,,,,,,Unique Pain DPS,,,,,,,,,Unique Konan DPS,,,,,,,,,Unique Chiko DPS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DMG,,,Burn DMG,,, DPS,,,DMG,,,,,, DPS,,,DMG,,,,,, DPS,,,DMG,,,,,, DPS,,,DMG,,,,,, DPS,,,DMG,,,,,, DPS,,
,742214,,,152154,,,,,,1524192,,,,,,,,,689198,,,,,,,,,1610342,,,,,,,,,596419,,,,,,,,,571426,,,,,,,,
,,,,,,,336718,,,,,,,,,304838,,,,,,,,,126353,,,,,,,,,187873,,,,,,,,,139164,,,,,,,,,104761,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attacks,SPA,Burn Time,,Ticks,,200% DPS,,,Attacks,SPA,,,,,200% DPS,,,Attacks,SPA,,,,,200% DPS,,,Attacks,SPA,,,,,200% DPS,,,Attacks,SPA,,,,,200% DPS,,,Attacks,SPA,,,,,200% DPS,,
,1,0,18,,10,,,,6.48,1,0.0,,,,,,,5.04,1,0.0,,,,,,,5.76,1,0.0,,,,,,,9.36,1,0.0,,,,,,,4.32,1,0.0,,,,,,,5.76
,2,6.5,18,,10,,1099467,,6.48,2,5.0,,,,,609677,,5.04,2,5.8,,,,,252706,,5.76,2,9.4,,,,,375747,,9.36,2,4.3,,,,,278329,,4.32,2,5.8,,,,,209523,,5.76
,3,13.0,18,,10,,,,6.48,3,10.1,,,,,,,5.04,3,11.5,,,,,,,5.76,3,18.7,,,,,,,9.36,3,8.6,,,,,,,4.32,3,11.5,,,,,,,5.76
,4,19.4,18,,10,,300% DPS,,6.48,4,15.1,,,,,300% DPS,,5.04,4,17.3,,,,,300% DPS,,5.76,4,28.1,,,,,300% DPS,,9.36,4,13.0,,,,,300% DPS,,4.32,4,17.3,,,,,300% DPS,,5.76
,5,25.9,18,,10,,,,6.48,5,20.2,,,,,,,5.04,5,23.0,,,,,,,5.76,5,37.4,,,,,,,9.36,5,17.3,,,,,,,4.32,5,23.0,,,,,,,5.76
