,Asta,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Julius,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Luck,,,,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Noelle,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yami,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yuno,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,Max UpgradeBattlelusted,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,5384,,Damage,75381,56050,253,59826.41905,,Damage,26508,,Damage,212062,56050,259,39172.50064,,Damage,2154,,Damage,50254,,Damage,62818,56050,228,58164.58333,,Damage,3527,,Damage,50254,56050,169,43623.4375,,Damage,8350,,Damage,66799,56050,254,61851.31556,,Damage,2872,,Damage,75381,56050,174,41878.49333
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,4.7,,SPA,5.0,56050,,,,SPA,5.0,,SPA,5.8,56050,,,,SPA,5.4,,SPA,4.3,,SPA,4.3,56050,,,,SPA,5.4,,SPA,5.8,56050,,,,SPA,3.6,,SPA,4.3,56050,,,,SPA,6.1,,SPA,7.2,56050,,
,,,,Max Upgrade,,59100,,4,,,,,Max Upgrade,,151500,,1,,,,,Max Upgrade,,,,,63900,,4,,,,,Max Upgrade,,51650,,5,,,,,Max Upgrade,,60950,,4,,,,,Max Upgrade,,60200,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,5384,,Damage,75381,56050,202,47861.13524,,Damage,26508,,Damage,212062,56050,210,31809.24864,,Damage,2154,,Damage,50254,,Damage,62818,56050,182,46531.66667,,Damage,3527,,Damage,50254,56050,135,34898.75,,Damage,8350,,Damage,66799,56050,203,49481.05244,,Damage,2872,,Damage,75381,56050,139,33502.79467
,Range ,20.6,,Range ,35.8,56050,,,,Range ,28.9,,Range ,34.4,56050,,,,Range ,33.0,,Range ,55.0,,Range ,55.0,56050,,,,Range ,30.3,,Range ,41.3,56050,,,,Range ,13.8,,Range ,68.8,56050,,,,Range ,30.3,,Range ,44.0,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,6192,,Damage,86688,56050,233,55040.30552,,Damage,30484,,Damage,243871,56050,241,36580.63594,,Damage,2477,,Damage,57792,,Damage,72240,56050,209,53511.41667,,Damage,4056,,Damage,57792,56050,155,40133.5625,,Damage,9602,,Damage,76819,56050,233,56903.21031,,Damage,3302,,Damage,86688,56050,160,38528.21387
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,6057,,Damage,84804,56050,228,53843.77714,,Damage,29821,,Damage,238569,56050,236,35785.40472,,Damage,2423,,Damage,56536,,Damage,70670,56050,205,52348.125,,Damage,3968,,Damage,56536,56050,152,39261.09375,,Damage,9394,,Damage,75149,56050,228,55666.184,,Damage,3231,,Damage,84804,56050,157,37690.644
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,5923,,Damage,82919,56050,223,52647.24876,,Damage,29158,,Damage,233268,56050,231,34990.1735,,Damage,2369,,Damage,55280,,Damage,69100,56050,200,51184.83333,,Damage,3880,,Damage,55280,56050,149,38388.625,,Damage,9185,,Damage,73479,56050,223,54429.15769,,Damage,3159,,Damage,82919,56050,153,36853.07413
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,5384,,Damage,75381,56050,231,54698.44027,,Damage,26508,,Damage,212062,56050,238,36016.82121,,Damage,2154,,Damage,50254,,Damage,62818,56050,208,53179.04762,,Damage,3527,,Damage,50254,56050,154,39884.28571,,Damage,8350,,Damage,66799,56050,232,56549.77422,,Damage,2872,,Damage,75381,56050,159,38288.90819
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.1,,SPA,5.5,56050,,,,SPA,5.5,,SPA,6.3,56050,,,,SPA,5.9,,SPA,4.7,,SPA,4.7,56050,,,,SPA,5.9,,SPA,6.3,56050,,,,SPA,3.9,,SPA,4.7,56050,,,,SPA,6.7,,SPA,7.9,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,5384,,Damage,75381,56050,219,51741.76782,,Damage,26508,,Damage,212062,56050,226,34197.33037,,Damage,2154,,Damage,50254,,Damage,62818,56050,197,50304.5045,,Damage,3527,,Damage,50254,56050,146,37728.37838,,Damage,8350,,Damage,66799,56050,219,53493.02967,,Damage,2872,,Damage,75381,56050,150,36219.23748
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.4,,SPA,5.8,56050,,,,SPA,5.8,,SPA,6.7,56050,,,,SPA,6.2,,SPA,5.0,,SPA,5.0,56050,,,,SPA,6.2,,SPA,6.7,56050,,,,SPA,4.2,,SPA,5.0,56050,,,,SPA,7.1,,SPA,8.3,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,5384,,Damage,75381,56050,213,50380.14236,,Damage,26508,,Damage,212062,56050,220,33359.40696,,Damage,2154,,Damage,50254,,Damage,62818,56050,192,48980.70175,,Damage,3527,,Damage,50254,56050,142,36735.52632,,Damage,8350,,Damage,66799,56050,214,52085.31836,,Damage,2872,,Damage,75381,56050,146,35266.09965
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.6,,SPA,6.0,56050,,,,SPA,6.0,,SPA,6.8,56050,,,,SPA,6.4,,SPA,5.1,,SPA,5.1,56050,,,,SPA,6.4,,SPA,6.8,56050,,,,SPA,4.3,,SPA,5.1,56050,,,,SPA,7.3,,SPA,8.6,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,5384,,Damage,75381,56050,202,47861.13524,,Damage,26508,,Damage,212062,56050,210,31809.24864,,Damage,2154,,Damage,50254,,Damage,62818,56050,182,46531.66667,,Damage,3527,,Damage,50254,56050,135,34898.75,,Damage,8350,,Damage,66799,56050,203,49481.05244,,Damage,2872,,Damage,75381,56050,139,33502.79467
,Range ,19.0,,Range ,32.9,56050,,,,Range ,26.6,,Range ,31.6,56050,,,,Range ,30.4,,Range ,50.6,,Range ,50.6,56050,,,,Range ,27.8,,Range ,38.0,56050,,,,Range ,12.7,,Range ,63.3,56050,,,,Range ,27.8,,Range ,40.5,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,5384,,Damage,75381,56050,202,47861.13524,,Damage,26508,,Damage,212062,56050,210,31809.24864,,Damage,2154,,Damage,50254,,Damage,62818,56050,182,46531.66667,,Damage,3527,,Damage,50254,56050,135,34898.75,,Damage,8350,,Damage,66799,56050,203,49481.05244,,Damage,2872,,Damage,75381,56050,139,33502.79467
,Range ,18.6,,Range ,32.2,56050,,,,Range ,26.0,,Range ,30.9,56050,,,,Range ,29.7,,Range ,49.5,,Range ,49.5,56050,,,,Range ,27.2,,Range ,37.1,56050,,,,Range ,12.4,,Range ,61.9,56050,,,,Range ,27.2,,Range ,39.6,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,5384,,Damage,75381,56050,202,47861.13524,,Damage,26508,,Damage,212062,56050,210,31809.24864,,Damage,2154,,Damage,50254,,Damage,62818,56050,182,46531.66667,,Damage,3527,,Damage,50254,56050,135,34898.75,,Damage,8350,,Damage,66799,56050,203,49481.05244,,Damage,2872,,Damage,75381,56050,139,33502.79467
,Range ,18.2,,Range ,31.5,56050,,,,Range ,25.4,,Range ,30.3,56050,,,,Range ,29.0,,Range ,48.4,,Range ,48.4,56050,,,,Range ,26.6,,Range ,36.3,56050,,,,Range ,12.1,,Range ,60.5,56050,,,,Range ,26.6,,Range ,38.7,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
