v,Luffy,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Usopp,,,Air,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Doflamingo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Trafalger D. Law,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sabo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Fujitora,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,Range ,22.4,,Range ,46.2,56050,,,,Range ,19.8,,Range ,13.2,56050,,,,Range ,30.4,,Range ,50.2,56050,,,,Range ,23.8,,Range ,43.6,56050,,,,Range ,30.4,,Range ,47.5,56050,,,,Range ,31.7,,Range ,52.8,56050,,
,SPA,5.5,,SPA,5.5,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,4.9,,SPA,6.5,56050,,,,SPA,6.5,,SPA,5.3,56050,,,,SPA,7.3,,SPA,6.5,56050,,,,SPA,6.9,,SPA,8.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,13031,,Damage,213221,56050,583,167232.0941,,Damage,18223,,Damage,546720,56050,1008,207178.1962,,Damage,8334,,Damage,382705,56050,532,191352.48,,Damage,12756,,Damage,170090,56050,477,104670.72,,Damage,5739,,Damage,106610,56050,608,124378.1,,Damage,8296,,Damage,207511,56050,378,100611.2
,Range ,18.7,,Range ,42.4,56050,,,,Range ,16.5,,Range ,12.1,56050,,,,Range ,25.3,,Range ,46.0,56050,,,,Range ,19.8,,Range ,39.9,56050,,,,Range ,25.3,,Range ,43.6,56050,,,,Range ,26.4,,Range ,48.4,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,15400,,Damage,251988,56050,574,164698.2745,,Damage,21536,,Damage,646124,56050,993,204039.1326,,Damage,9850,,Damage,452288,56050,523,188453.2,,Damage,15076,,Damage,201015,56050,470,103084.8,,Damage,6783,,Damage,125993,56050,599,122493.5833,,Damage,9805,,Damage,245240,56050,373,99086.78788
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,11846,,Damage,193837,56050,552,158363.7255,,Damage,16566,,Damage,497018,56050,844,173378.5116,,Damage,7577,,Damage,347914,56050,503,181205,,Damage,11597,,Damage,154627,56050,452,99120,,Damage,5218,,Damage,96918,56050,576,117782.2917,,Damage,7542,,Damage,188646,56050,358,95275.75758
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,4.9,,SPA,4.9,56050,,,,SPA,5.0,,SPA,3.6,56050,,,,SPA,4.3,,SPA,5.8,56050,,,,SPA,5.8,,SPA,4.7,56050,,,,SPA,6.5,,SPA,5.8,56050,,,,SPA,6.1,,SPA,7.9,56050,,
,,,,Max Upgrade,,71700,,4,,,,,Max Upgrade,,68500,,3,,,,,Max Upgrade,,120000,,3,,,,,Max Upgrade,,73150,,3,,,,,Max Upgrade,,40900,,5,,,,,Max Upgrade,,66500,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,11846,,Damage,193837,56050,442,126690.9804,,Damage,16566,,Damage,497018,56050,764,156953.1789,,Damage,7577,,Damage,347914,56050,403,144964,,Damage,11597,,Damage,154627,56050,361,79296,,Damage,5218,,Damage,96918,56050,461,94225.83333,,Damage,7542,,Damage,188646,56050,287,76220.60606
,Range ,23.4,,Range ,48.1,56050,,,,Range ,20.6,,Range ,13.8,56050,,,,Range ,31.6,,Range ,52.3,56050,,,,Range ,24.8,,Range ,45.4,56050,,,,Range ,31.6,,Range ,49.5,56050,,,,Range ,33.0,,Range ,55.0,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,13623,,Damage,222913,56050,508,145694.6275,,Damage,19051,,Damage,571571,56050,878,180496.1558,,Damage,8713,,Damage,400101,56050,463,166708.6,,Damage,13336,,Damage,177821,56050,416,91190.4,,Damage,6000,,Damage,111456,56050,530,108359.7083,,Damage,8673,,Damage,216943,56050,330,87653.69697
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
,Damage,13327,,Damage,218067,56050,497,142527.3529,,Damage,18637,,Damage,559146,56050,859,176572.3263,,Damage,8524,,Damage,391403,56050,453,163084.5,,Damage,13046,,Damage,173956,56050,407,89208,,Damage,5870,,Damage,109033,56050,518,106004.0625,,Damage,8485,,Damage,212227,56050,322,85748.18182
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS
,Damage,13031,,Damage,213221,56050,486,139360.0784,,Damage,18223,,Damage,546720,56050,840,172648.4968,,Damage,8334,,Damage,382705,56050,443,159460.4,,Damage,12756,,Damage,170090,56050,397,87225.6,,Damage,5739,,Damage,106610,56050,507,103648.4167,,Damage,8296,,Damage,207511,56050,315,83842.66667
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS
,Damage,11846,,Damage,193837,56050,505,144789.6919,,Damage,16566,,Damage,497018,56050,812,166831.351,,Damage,7577,,Damage,347914,56050,460,165673.1429,,Damage,11597,,Damage,154627,56050,413,90624,,Damage,5218,,Damage,96918,56050,527,107686.6667,,Damage,7542,,Damage,188646,56050,327,87109.26407
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,5.4,,SPA,5.4,56050,,,,SPA,5.5,,SPA,3.9,56050,,,,SPA,4.7,,SPA,6.3,56050,,,,SPA,6.3,,SPA,5.1,56050,,,,SPA,7.1,,SPA,6.3,56050,,,,SPA,6.7,,SPA,8.7,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS
,Damage,11846,,Damage,193837,56050,478,136963.222,,Damage,16566,,Damage,497018,56050,792,162734.5375,,Damage,7577,,Damage,347914,56050,435,156717.8378,,Damage,11597,,Damage,154627,56050,391,85725.40541,,Damage,5218,,Damage,96918,56050,498,101865.7658,,Damage,7542,,Damage,188646,56050,310,82400.6552
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.8,,SPA,4.2,56050,,,,SPA,5.0,,SPA,6.7,56050,,,,SPA,6.7,,SPA,5.4,56050,,,,SPA,7.5,,SPA,6.7,56050,,,,SPA,7.1,,SPA,9.2,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS
,Damage,11846,,Damage,193837,56050,465,133358.9267,,Damage,16566,,Damage,497018,56050,782,160760.6685,,Damage,7577,,Damage,347914,56050,424,152593.6842,,Damage,11597,,Damage,154627,56050,380,83469.47368,,Damage,5218,,Damage,96918,56050,485,99185.08772,,Damage,7542,,Damage,188646,56050,302,80232.21691
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,5.8,,SPA,5.8,56050,,,,SPA,6.0,,SPA,4.3,56050,,,,SPA,5.1,,SPA,6.8,56050,,,,SPA,6.8,,SPA,5.6,56050,,,,SPA,7.7,,SPA,6.8,56050,,,,SPA,7.3,,SPA,9.4,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS
,Damage,11846,,Damage,193837,56050,442,126690.9804,,Damage,16566,,Damage,497018,56050,764,156953.1789,,Damage,7577,,Damage,347914,56050,403,144964,,Damage,11597,,Damage,154627,56050,361,79296,,Damage,5218,,Damage,96918,56050,461,94225.83333,,Damage,7542,,Damage,188646,56050,287,76220.60606
,Range ,21.5,,Range ,44.3,56050,,,,Range ,19.0,,Range ,12.7,56050,,,,Range ,29.1,,Range ,48.1,56050,,,,Range ,22.8,,Range ,41.7,56050,,,,Range ,29.1,,Range ,45.5,56050,,,,Range ,30.4,,Range ,50.6,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS
,Damage,11846,,Damage,193837,56050,442,126690.9804,,Damage,16566,,Damage,497018,56050,764,156953.1789,,Damage,7577,,Damage,347914,56050,403,144964,,Damage,11597,,Damage,154627,56050,361,79296,,Damage,5218,,Damage,96918,56050,461,94225.83333,,Damage,7542,,Damage,188646,56050,287,76220.60606
,Range ,21.0,,Range ,43.3,56050,,,,Range ,18.6,,Range ,12.4,56050,,,,Range ,28.5,,Range ,47.0,56050,,,,Range ,22.3,,Range ,40.8,56050,,,,Range ,28.5,,Range ,44.6,56050,,,,Range ,29.7,,Range ,49.5,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS
,Damage,11846,,Damage,193837,56050,442,126690.9804,,Damage,16566,,Damage,497018,56050,764,156953.1789,,Damage,7577,,Damage,347914,56050,403,144964,,Damage,11597,,Damage,154627,56050,361,79296,,Damage,5218,,Damage,96918,56050,461,94225.83333,,Damage,7542,,Damage,188646,56050,287,76220.60606
,Range ,20.6,,Range ,42.4,56050,,,,Range ,18.2,,Range ,12.1,56050,,,,Range ,27.8,,Range ,46.0,56050,,,,Range ,21.8,,Range ,39.9,56050,,,,Range ,27.8,,Range ,43.6,56050,,,,Range ,29.0,,Range ,48.4,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,
